calculation,successful_designs,mean_seconds,median_seconds,p95_seconds,min_seconds,max_seconds
mech,148,0.0037097216133858907,0.0030204999493435025,0.0043716599931940435,0.002104799961671233,0.04956980003044009
prop_m1,148,0.004941815535563069,0.0044615501537919044,0.007219754962716252,0.0036464999429881573,0.014510999899357557
prop_m2,148,0.005192324338241707,0.004312950070016086,0.007558709906879813,0.003679899964481592,0.058388999896124005
prop_m3,148,0.004496620936520599,0.004155450034886599,0.006283190043177456,0.00367900007404387,0.007938600145280361
prop_total,148,0.014630760810325376,0.014054900035262108,0.017365120083559307,0.01109130005352199,0.0676571000367403
aero_m1,148,0.01588391958314271,0.015193850034847856,0.020525904849637303,0.012651999946683645,0.04228510009124875
aero_m2,148,0.01516372904911436,0.014845649944618344,0.0175783250015229,0.012198499869555235,0.028048699954524636
aero_m3,148,0.014961690522377958,0.014619349967688322,0.01777335999067873,0.012077199993655086,0.02320179995149374
aero_total,148,0.04600933915463503,0.04491129983216524,0.055146050045732406,0.04018340026959777,0.07318340009078383
other,148,0.00013743246892920216,0.00011990021448582411,0.00023225975455716253,0.00010229949839413166,0.000651499954983592
main,148,0.0644872540472755,0.062332550063729286,0.07558039012365043,0.055591699900105596,0.14814020018093288
prop_database_load_once,1,0.6674697999842465,0.6674697999842465,0.6674697999842465,0.6674697999842465,0.6674697999842465
