case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_error,coarse_elapsed_seconds,coarse_total_score,coarse_breakdown_0,coarse_breakdown_1,coarse_breakdown_2,coarse_breakdown_3,coarse_M1_can_fly,coarse_M1_lap_time,coarse_M1_penalty,coarse_M1_penalty_static_margin,coarse_M1_penalty_longitudinal,coarse_M1_penalty_directional,coarse_M1_penalty_spiral,coarse_M2_can_fly,coarse_M2_lap_time,coarse_M2_penalty,coarse_M2_penalty_static_margin,coarse_M2_penalty_longitudinal,coarse_M2_penalty_directional,coarse_M2_penalty_spiral,coarse_M3_can_fly,coarse_M3_lap_time,coarse_M3_penalty,coarse_M3_penalty_static_margin,coarse_M3_penalty_longitudinal,coarse_M3_penalty_directional,coarse_M3_penalty_spiral,full_status,full_error,full_elapsed_seconds,full_total_score,full_breakdown_0,full_breakdown_1,full_breakdown_2,full_breakdown_3,full_M1_can_fly,full_M1_lap_time,full_M1_penalty,full_M1_penalty_static_margin,full_M1_penalty_longitudinal,full_M1_penalty_directional,full_M1_penalty_spiral,full_M2_can_fly,full_M2_lap_time,full_M2_penalty,full_M2_penalty_static_margin,full_M2_penalty_longitudinal,full_M2_penalty_directional,full_M2_penalty_spiral,full_M3_can_fly,full_M3_lap_time,full_M3_penalty,full_M3_penalty_static_margin,full_M3_penalty_longitudinal,full_M3_penalty_directional,full_M3_penalty_spiral
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,ok,,0.5647661000257358,4.516388612410738,0.24324324324324326,1.0,1.273145369167495,2.0,True,34.661741017677535,0.0,0.0,0.0,0.0,0.0,True,40.222512072976784,0.0,0.0,0.0,0.0,0.0,False,inf,0.0,nan,nan,nan,nan,ok,,8.257356700021774,-2.457812193779386,0.24324324324324326,1.0,1.273145369167495,2.0,False,33.62245969106028,3.474200806190124,0.0,0.0,9.828005374600826,10.0,False,38.006725415275326,3.5,0.0,0.0,10.0,10.0,False,inf,0.0,nan,nan,nan,nan
1,1.5216835716455137,0.23981233604375757,0.5163277216260798,0.20009386017368375,8,3,1.681891111091934,7.238435240264451,ok,,1.0300180000485852,4.682299570320631,0.32142857142857145,1.0,1.0826400709994626,2.278230927892597,True,32.133869678299234,0.0,0.0,0.0,0.0,0.0,True,33.11584822549313,0.0,0.0,0.0,0.0,0.0,True,40.86469264436718,0.0,0.0,0.0,0.0,0.0,ok,,9.271435600006953,-1.3177004296793688,0.32142857142857145,1.0,1.0826400709994626,2.278230927892597,False,31.26261153696941,2.0,0.0,0.0,0.0,10.0,False,32.30053504784988,2.0,0.0,0.0,0.0,10.0,False,40.571665787466145,2.0,0.0,0.0,0.0,10.0
2,1.7144713439969608,0.258478355845525,0.44901266266069617,0.11076963094344668,9,9,4.224621597021677,1.6314154273117378,ok,,0.21675570006482303,4.945865491310721,0.22784810126582278,1.0,1.427685945297537,2.290331444747362,True,31.119408973814163,0.0,0.0,0.0,0.0,0.0,True,33.54016055577597,0.0,0.0,0.0,0.0,0.0,True,87.34090493818852,0.0,0.0,0.0,0.0,0.0,ok,,7.865658099995926,-1.3010052102744485,0.22784810126582278,1.0,1.471146688459729,2.0,False,29.423202486653867,2.0,0.0,0.0,0.0,10.0,False,31.878153465893732,2.0,0.0,0.0,0.0,10.0,False,1000000.0,2.0,0.0,0.0,0.0,10.0
3,1.3592799124713257,0.15566101149139105,0.41005465421717213,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,ok,,0.30312559998128563,4.310481531672996,0.26865671641791045,1.0,1.3973913036677932,2.3005997664436233,True,32.866079807069475,0.0,0.0,0.0,0.0,0.0,True,36.44669632139261,0.0,0.0,0.0,0.0,0.0,True,57.437109951736616,0.0,0.0,0.0,0.0,0.0,ok,,7.443427399965003,1.7804927051699257,0.26865671641791045,1.0,1.3973913036677932,2.2404798131548986,False,32.41657786378484,0.8605965415368699,0.0,0.0,5.737310276912466,0.0,False,36.280478433591064,0.9549016466103848,0.0,0.0,6.366010977402565,0.0,False,63.50192234410092,0.6543706850670903,0.0,0.0,4.362471233780602,0.0
4,1.2055795710558828,0.26550443226819975,0.31768609422567623,0.27047299037629424,4,2,4.061396506276465,9.490302282516907,ok,,0.7480083999689668,4.526745417865657,0.5454545454545454,1.0,0.9812908724111109,2.0,True,34.17149337558797,0.0,0.0,0.0,0.0,0.0,True,34.86642859916472,0.0,0.0,0.0,0.0,0.0,False,inf,0.0,nan,nan,nan,nan,ok,,7.275032900040969,4.287604332846017,0.5454545454545454,1.0,0.9812908724111109,2.0,False,33.13728501131433,0.09771117652125096,0.0,0.0,0.6514078434750064,0.0,False,33.890101892109655,0.14142990849838796,0.0,0.0,0.9428660566559198,0.0,False,inf,0.0,nan,nan,nan,nan
5,1.7167737840109059,0.3229131523835297,0.8924179656516358,0.23039434244141982,7,6,4.348021868416848,8.256870077578226,ok,,0.7629214000189677,4.4329559591208145,0.3,1.0,1.132955959120815,2.0,True,31.8657811143898,0.0,0.0,0.0,0.0,0.0,True,33.236138054070565,0.0,0.0,0.0,0.0,0.0,True,1000000.0,0.0,0.0,0.0,0.0,0.0,ok,,8.284116100054234,4.4329559591208145,0.3,1.0,1.132955959120815,2.0,True,30.28798394193069,0.0,0.0,0.0,0.0,0.0,True,31.66861449116068,0.0,0.0,0.0,0.0,0.0,False,inf,0.0,nan,nan,nan,nan
6,1.3008472564461542,0.14901117258071933,0.5444485595811379,0.17946382174859163,5,4,4.38972390074183,1.9865410517471127,ok,,0.2184140000026673,4.5944653609731265,0.4090909090909091,1.0,1.1853744518822174,2.0,True,32.23388516188058,0.0,0.0,0.0,0.0,0.0,True,34.04221913021713,0.0,0.0,0.0,0.0,0.0,False,inf,0.0,nan,nan,nan,nan,ok,,7.625905300024897,2.806823697079312,0.4090909090909091,1.0,1.1853744518822174,2.0,False,32.051917680456405,0.878529944229221,0.0,0.0,5.856866294861474,0.0,False,33.97430504520385,0.9091117196645933,0.0,0.0,6.060744797763955,0.0,False,inf,0.0,nan,nan,nan,nan
7,0.9745212671180152,0.27345178468333686,0.49147258583589437,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,ok,,0.29570910008624196,4.702383678404075,0.43902439024390244,1.0,1.132556134727249,2.130803153432924,True,32.07726198595988,0.0,0.0,0.0,0.0,0.0,True,33.4915187530416,0.0,0.0,0.0,0.0,0.0,True,35.25826063581791,0.0,0.0,0.0,0.0,0.0,ok,,8.25372639996931,4.714786528578315,0.43902439024390244,1.0,1.1449589849014883,2.130803153432924,True,31.254830869588556,0.0,0.0,0.0,0.0,0.0,True,32.696593161808906,0.0,0.0,0.0,0.0,0.0,True,34.558487178049106,0.0,0.0,0.0,0.0,0.0
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,ok,,0.48299930000212044,4.77284179702644,0.5142857142857142,1.0,1.0444240039712391,2.2141320787694867,True,34.05141055395468,0.0,0.0,0.0,0.0,0.0,True,34.79606847563019,0.0,0.0,0.0,0.0,0.0,True,43.74783356168886,0.0,0.0,0.0,0.0,0.0,ok,,7.941912599955685,4.77284179702644,0.5142857142857142,1.0,1.0444240039712391,2.2141320787694867,True,33.98680630591379,0.0,0.0,0.0,0.0,0.0,True,34.75999101595571,0.0,0.0,0.0,0.0,0.0,True,45.42513903809524,0.0,0.0,0.0,0.0,0.0
9,1.1511269950763343,0.27386953846478734,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,ok,,0.7998112000059336,4.449049291431728,0.3829787234042553,1.0,1.0660705680274731,2.0,True,34.712130371165884,0.0,0.0,0.0,0.0,0.0,True,36.3270398327261,0.0,0.0,0.0,0.0,0.0,False,inf,0.0,nan,nan,nan,nan,ok,,7.93403720005881,3.7252158832911215,0.3829787234042553,1.0,1.0660705680274731,2.0,False,33.45716973962196,0.32104630758896635,0.0,0.0,2.1403087172597757,0.0,False,35.19910299984532,0.40278710055164024,0.0,0.0,2.685247337010935,0.0,False,inf,0.0,nan,nan,nan,nan
