case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,cruise_velocity,cruise_alpha,coarse_runtime_seconds,full_runtime_seconds,coarse_static_margin,full_static_margin,coarse_CLa,full_CLa,coarse_Cma,full_Cma,coarse_Cmq,full_Cmq,coarse_CYb,full_CYb,coarse_CYr,full_CYr,coarse_Clb,full_Clb,coarse_Clp,full_Clp,coarse_Clr,full_Clr,coarse_Cnb,full_Cnb,coarse_Cnr,full_Cnr,coarse_phugoid_eigenvalue_real,full_phugoid_eigenvalue_real,coarse_phugoid_eigenvalue_imag,full_phugoid_eigenvalue_imag,coarse_phugoid_damping_ratio,full_phugoid_damping_ratio,coarse_short_period_eigenvalue_real,full_short_period_eigenvalue_real,coarse_short_period_eigenvalue_imag,full_short_period_eigenvalue_imag,coarse_short_period_damping_ratio,full_short_period_damping_ratio,coarse_dutch_roll_eigenvalue_real,full_dutch_roll_eigenvalue_real,coarse_dutch_roll_eigenvalue_imag,full_dutch_roll_eigenvalue_imag,coarse_dutch_roll_damping_ratio,full_dutch_roll_damping_ratio,coarse_spiral_eigenvalue_real,full_spiral_eigenvalue_real,coarse_spiral_eigenvalue_imag,full_spiral_eigenvalue_imag,coarse_spiral_damping_ratio,full_spiral_damping_ratio,coarse_roll_subsidence_eigenvalue_real,full_roll_subsidence_eigenvalue_real,coarse_roll_subsidence_eigenvalue_imag,full_roll_subsidence_eigenvalue_imag,coarse_roll_subsidence_damping_ratio,full_roll_subsidence_damping_ratio,coarse_gate_longitudinal,coarse_gate_directional,coarse_gate_static_margin,coarse_gate_spiral,coarse_gate_overall,full_gate_longitudinal,full_gate_directional,full_gate_static_margin,full_gate_spiral,full_gate_overall,status,error
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,29.459832657943068,0.5057087755483857,0.002005399903282523,0.29696519998833537,0.4374185286820144,0.4323196969456854,3.9138115639387197,3.9228975969292788,-1.7119736958367286,-1.6959459002534232,-9.847430837669286,-9.494148358326054,-0.08568156970400566,-0.08226785746707911,0.1159122376910459,0.12576974036668961,0.008242469879104097,0.013092220756518981,-0.4017874301829206,-0.4115123062788552,0.06529544091935392,0.06633876880605134,-0.048983269046934175,-0.09762980472762545,-0.11620208452821425,-0.11378350741717452,-0.0422537809704193,-0.03758880103230395,0.4689313083760492,0.4693282817166827,0.08974296341596706,0.07983499508006273,-5.872304652673529,-5.661632206087825,18.537299752968355,18.507333202212827,0.30199264806706294,0.2925310644469414,4.110159182720274,6.241507873801493,0.0,0.0,-1.0,-1.0,2.1532254375961815,3.01721915717394,0.0,0.0,-1.0,-1.0,-20.487336298019734,-20.983212455577174,0.0,0.0,1.0,1.0,True,False,True,False,False,True,False,True,False,False,ok,
1,1.5216835716455137,0.23981233604375757,0.5163277216260798,0.20009386017368375,8,3,1.681891111091934,7.238435240264451,29.683070821821396,-0.2298376822669581,0.0016286999452859163,0.2725774999707937,0.2774516822516779,0.29101227869195867,5.622362866296701,5.197706509385483,-1.5599340354833853,-1.512596415268296,-7.6388882548262025,-7.112693046724172,-0.1573581994890383,-0.1467602001116063,0.09463100777053668,0.09058029707333448,-0.0038816749370425467,-0.004735192278217041,-0.6116358817482612,-0.5572293401525616,0.06100499650952747,0.06007411663386449,0.0026619149220857177,0.025571651714656377,-0.031234710283361604,-0.03077069933643886,-0.041482649540083606,-0.028247977925580172,0.4654452331776725,0.46643555499125133,0.08877279008270814,0.06045061834120838,-5.383299336470717,-5.01247753359383,22.700209232563697,22.41958574723432,0.2307478038107394,0.21818910937453934,-1.0821051350112578,-1.058161448017666,1.834285912601886,5.46809437767098,0.5081058267813201,0.1899908587531945,0.316372425028112,8.76412098835603,0.0,0.0,-1.0,-1.0,-34.89019710959171,-31.786626804168645,0.0,0.0,1.0,1.0,True,True,True,False,False,True,True,True,False,False,ok,
2,1.7144713439969608,0.258478355845525,0.44901266266069617,0.11076963094344668,9,9,4.224621597021677,1.6314154273117378,29.362866020163825,-0.8279717752142624,0.001590099884197116,0.32500230008736253,0.27280192925545865,0.2774370656922587,5.912344033800514,5.226523945110402,-1.6128988588427808,-1.4500314671017576,-5.84894683777507,-5.7239617422912,-0.19102688019053463,-0.18495181542454725,0.08282891762716887,0.08927088216151129,-0.00957870243865202,-0.007134716145822983,-0.6208248631173613,-0.543970349814888,0.052371419274899536,0.05366973201373421,0.014738969796002645,0.015305039329562009,-0.021794326125930026,-0.024181670298755203,-0.05898343970392164,-0.041158828577771076,0.46868909829847616,0.47058948973990833,0.12486280671934313,0.08712965678660337,-5.3860846620568825,-5.270990385353307,25.41429018354611,24.061650446359685,0.2073264595124822,0.21398761265601737,-1.0453413802258442,-1.1215313134560267,4.2698685932742,4.351677866696372,0.23779560585690246,0.2495687467501147,2.088562131101799,3.230957261437021,0.0,0.0,-1.0,-1.0,-36.58688984500667,-32.05764531995672,0.0,0.0,1.0,1.0,True,True,True,False,False,True,True,True,False,False,ok,
3,1.3592799124713257,0.15566101149139105,0.41005465421717213,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,30.268221390839525,0.4255031448769297,0.0020552000496536493,0.2543707999866456,0.3304461174053758,0.3544140405417735,5.915151171177341,6.410426720511243,-1.9546387383814139,-2.2719452356133396,-12.00925075314071,-11.538528678001855,-0.17157051135472276,-0.1809727662377747,0.10788556212567502,0.10382800094226141,-0.006323141000952454,-0.005876188516806091,-0.6729769141226549,-0.71225734136739,0.06882847275201942,0.07059306659912369,-0.07865974238342432,-0.0488367741889654,-0.03182322229568031,-0.033865591330140644,-0.03204717513483653,-0.032283492506934894,0.457134456833502,0.4571178285347765,0.06993284711267789,0.07044853520732618,-3.1753947048299844,-3.0509299554823537,19.796640152474602,21.399509941771086,0.1583762447688726,0.14114285032183466,7.974970567703735,6.049036423669205,0.0,0.0,-1.0,-1.0,-19.78017739907818,-13.822251793538879,0.0,0.0,1.0,1.0,-29.29844472302837,-31.00854116493553,0.0,0.0,1.0,1.0,True,False,True,True,False,True,False,True,True,False,ok,
4,1.2055795710558828,0.26550443226819975,0.31768609422567623,0.27047299037629424,4,2,4.061396506276465,9.490302282516907,29.163197277759636,0.6683840757766164,0.002078999998047948,0.27673900010995567,0.2683814572197926,0.2446881005667799,5.7875717568445895,5.640422833002749,-1.5532769418660664,-1.3801443494009382,-2.7165325389480244,-3.6061575691815655,-0.19012110174515418,-0.18378291499182722,0.09260743261622811,0.087030357397165,-0.007464912615130642,-0.010427410037022898,-0.5355424737472704,-0.5792542551716723,0.06752546650072136,0.06632821604794918,-0.0005140842442365266,-0.0046187026212370415,-0.020650166090607554,-0.02196364166569085,-0.03718121945871546,-0.030690704571317232,0.47416468810719165,0.4746289868745692,0.07817417726357238,0.06452775391521973,-4.028521640318395,-5.347804083904578,31.556671244610737,29.506732744387435,0.1266322089728314,0.17833482593546043,-0.02842742585709035,1.7683751275436044,0.0,0.0,1.0,-1.0,-0.786600611184613,-1.596274027587844,0.0,0.0,1.0,1.0,-28.487522056411187,-30.812716412592764,0.0,0.0,1.0,1.0,True,False,True,True,False,True,False,True,True,False,ok,
5,1.7167737840109059,0.3229131523835297,0.8924179656516358,0.23039434244141982,7,6,4.348021868416848,8.256870077578226,29.078595080169034,-0.8373440169503176,0.0015887001063674688,0.27337029995396733,0.3173516663009155,0.35939108331301134,5.126888851783036,4.68000753554058,-1.627026720052934,-1.6819529781109857,-10.921753823582995,-9.234380800908106,-0.1178071526685375,-0.10004318522000524,0.09330345792007115,0.09185833125869905,0.002253819599664209,0.002530378172205621,-0.5728552507487125,-0.5116911109161449,0.055051185853653324,0.05360596362256837,0.010980794327935726,0.03101725008019432,-0.057345388594559066,-0.047663757588240915,-0.05317753139963564,-0.031773482300989184,0.47403055971392044,0.475944605192108,0.11148235816015777,0.06661051464104428,-8.08252970012842,-6.83380694082976,19.193242790004557,20.041166088477855,0.3881044882198615,0.3227412517612587,-1.6433931119506489,-1.3685940781638366,3.174771882167049,5.247877927864266,0.4597031064498088,0.2523498106935604,-8.49427602892663,-18.388206471503167,0.0,0.0,1.0,1.0,-37.17235375849916,-33.203436584014106,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True,True,True,True,ok,
6,1.3008472564461542,0.14901117258071933,0.5444485595811379,0.17946382174859163,5,4,4.38972390074183,1.9865410517471127,30.33573869024852,0.04730662323023023,0.0020932001061737537,0.273964999942109,0.26180486318803725,0.209503722667412,5.704402549929567,6.199488654917232,-1.4934403291538012,-1.2988159518395468,-15.235788914282153,-15.576184600817655,-0.13579962662669323,-0.1496522839217761,0.10907359791825438,0.10628388572089639,-0.0006949142085539584,-0.0018274554011489432,-0.6729280618479074,-0.6995180728163887,0.066780015095428,0.06659346256604735,-0.027624105523058693,-0.05007530806979869,-0.04192592808583999,-0.045208784662224305,-0.03360570863627511,-0.033283576955150426,0.455999839491897,0.45602346515836234,0.07349743560846618,0.0727929168390682,-3.5060376166406253,-3.584368977638738,16.35738651785021,15.183476245974342,0.20957957477066824,0.22975513356042523,4.15869320142428,5.864842280945123,0.0,0.0,-1.0,-1.0,-55.59939802862676,-38.55654248607006,0.0,0.0,1.0,1.0,-29.360408437030475,-30.52055262872296,0.0,0.0,1.0,1.0,True,False,True,True,False,True,False,True,True,False,ok,
7,0.9745212671180152,0.27345178468333686,0.49147258583589437,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,30.53750020373611,-0.27621932253134673,0.002866599941626191,0.2720244999509305,0.34222826896434744,0.36680438898469453,4.76802755947765,4.466160316733511,-1.6317538180543383,-1.6382072060871253,-5.852331601952887,-6.089479104631449,-0.1200922287034078,-0.11648650165314954,0.10578982269007868,0.10102677320260758,0.0028818728989711776,0.0030471323030144817,-0.4737542206607168,-0.46002140188117524,0.058310414457678046,0.05967478665961595,-0.019855043004268692,0.011789703857833695,-0.05487870052591366,-0.04989039085803431,-0.04643001201801315,-0.03448493214315916,0.45183623864087463,0.45290453963362204,0.10222022509948353,0.07592196023645179,-5.3898459511635295,-5.608252663919531,25.342586072118266,25.347574020672635,0.208026644783582,0.21602951266544276,3.5464745121205823,-0.9914296361738762,0.0,3.6157787603024603,-1.0,0.2644349395287023,6.059361537327741,-4.904999931504979,0.0,0.0,-1.0,1.0,-25.84812417774395,-25.098858863275634,0.0,0.0,1.0,1.0,True,False,True,False,False,True,True,True,True,True,ok,
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,30.346692550167504,0.6304222432966943,0.0016334999818354845,0.3053085000719875,0.3504494618279365,0.4312082781690683,4.301301452769515,4.596473295209803,-1.507388779282798,-1.982037335277523,-15.167448525201113,-16.43157066761435,-0.08244230904452718,-0.0860366967590572,0.1219242797729459,0.13883925578754566,0.008642207341850621,0.007042220170125803,-0.48777299618524117,-0.5009781820054307,0.07095971868082646,0.0728426858659525,-0.04389960571391337,0.00419143209923068,-0.11881508024673114,-0.1336792750873279,-0.03484182142812895,-0.029085372862678777,0.45574153286045477,0.45614508478319227,0.07622839387889967,0.06363419499485248,-3.8304420359287605,-4.149687991159967,13.91563900812162,16.021629377888484,0.26539102437078504,0.25073184912851554,3.703966287577731,-0.9213701846018857,0.0,1.4370674278174826,-1.0,0.5397379888120395,1.5597433160072072,-1.1427376287020183,0.0,0.0,-1.0,1.0,-22.622683157959703,-23.23513349282547,0.0,0.0,1.0,1.0,True,False,True,False,False,True,True,True,True,True,ok,
9,1.1511269950763343,0.27386953846478734,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,29.074712829765687,0.9548207687808357,0.001628299942240119,0.2745165000669658,0.2996259555733287,0.30906739557368434,5.6498531162112755,5.6266065597193515,-1.6928426387937523,-1.7390006353302678,-3.2522314176871245,-4.105965441180065,-0.17973269074201895,-0.17299602604495343,0.10003191532063967,0.09222419725735428,-0.0057593608759124,-0.007961880977247107,-0.5163958572213484,-0.5771703846120668,0.06842960599167211,0.06724766092911989,-0.047271403464182384,-0.01599244750575301,-0.02711980496018874,-0.025906747238961622,-0.03712565165528299,-0.031654711978706916,0.4756209360899766,0.47601635273161197,0.07782051012821221,0.06635266249371691,-4.263633300094002,-5.38286755636239,30.40141764052393,30.645492039510916,0.13888537023311226,0.1730010639360484,7.102289768085054,3.796152776922106,0.0,0.0,-1.0,-1.0,-15.734660319014134,-4.3021677217706,0.0,0.0,1.0,1.0,-26.969971115346272,-30.144061738567355,0.0,0.0,1.0,1.0,True,False,True,True,False,True,False,True,True,False,ok,
