category,name,successful_designs,failed_designs,mean_signed_error,mean_absolute_error,median_absolute_error,correlation,agreement_rate,false_pass_count,false_rejection_count,both_fail_count,both_pass_count,coarse_median_seconds,full_median_seconds,median_speedup
quantity,CLa,148,2,-0.07534137303308554,0.41845914881633445,0.38507139267041346,0.7913060085646824,,,,,,,,
quantity,Cma,148,2,-0.07806000309510636,0.2294800885328063,0.1774679829996192,0.5202016496912386,,,,,,,,
quantity,Cmq,148,2,3.443220340577867,3.443220340577867,2.273650821369439,0.9867278786615923,,,,,,,,
quantity,CYb,148,2,-0.014158799972343795,0.022677471085979544,0.01724482708268584,0.9581980815687328,,,,,,,,
quantity,CYr,148,2,0.018795915078450093,0.021652423751046816,0.022142994356615188,0.20306894160268735,,,,,,,,
quantity,Clb,148,2,0.015643471116266173,0.016012846991537922,0.011601606284026896,-0.8585311505848554,,,,,,,,
quantity,Clp,148,2,0.0005575394954364639,0.04693259061036235,0.04759041688824667,0.866756457694584,,,,,,,,
quantity,Clr,148,2,-0.014135868134276613,0.014828472546350006,0.01624804462514768,0.9916686916060471,,,,,,,,
quantity,Cnb,148,2,0.04130640246151494,0.048104806371937946,0.026628460900560195,-0.5451992536635109,,,,,,,,
quantity,Cnr,148,2,-0.006137005389482611,0.008772223490040882,0.008669139298027543,0.971432186630676,,,,,,,,
quantity,static_margin,148,2,0.017143189747693556,0.04496755053984587,0.03359453377291255,0.6119883268474715,,,,,,,,
quantity,spiral_eigenvalue_real,148,2,-6.066018523434251,43.22782632651122,7.725846105462189,0.018726506109953765,,,,,,,,
gate,longitudinal,148,2,,,,,1.0,0,0,0,148,,,
gate,directional,148,2,,,,,0.36486486486486486,94,0,0,54,,,
gate,static_margin,148,2,,,,,1.0,0,0,0,148,,,
gate,spiral,148,2,,,,,0.5540540540540541,66,0,0,82,,,
gate,overall,148,2,,,,,0.21621621621621623,116,0,0,32,,,
runtime,stability_analysis,148,2,,,,,,,,,,0.002852599951438606,0.5014161999570206,176.34354566489327
