category,name,successful_designs,failed_designs,mean_signed_error,mean_absolute_error,median_absolute_error,correlation,agreement_rate,false_pass_count,false_rejection_count,both_fail_count,both_pass_count,coarse_median_seconds,full_median_seconds,median_speedup
quantity,CLa,1,0,0.2838493858349209,0.2838493858349209,0.2838493858349209,nan,,,,,,,,
quantity,Cma,1,0,-0.1863456782222579,0.1863456782222579,0.1863456782222579,nan,,,,,,,,
quantity,Cmq,1,0,2.791261706178087,2.791261706178087,2.791261706178087,nan,,,,,,,,
quantity,CYb,1,0,0.013777680317260552,0.013777680317260552,0.013777680317260552,nan,,,,,,,,
quantity,CYr,1,0,-0.001337663175806303,0.001337663175806303,0.001337663175806303,nan,,,,,,,,
quantity,Clb,1,0,-0.004913001816303478,0.004913001816303478,0.004913001816303478,nan,,,,,,,,
quantity,Clp,1,0,-0.042444964228031345,0.042444964228031345,0.042444964228031345,nan,,,,,,,,
quantity,Clr,1,0,-0.016061472444259053,0.016061472444259053,0.016061472444259053,nan,,,,,,,,
quantity,Cnb,1,0,0.1098458433230671,0.1098458433230671,0.1098458433230671,nan,,,,,,,,
quantity,Cnr,1,0,0.0007502048446832027,0.0007502048446832027,0.0007502048446832027,nan,,,,,,,,
quantity,static_margin,1,0,0.01512617659692811,0.01512617659692811,0.01512617659692811,nan,,,,,,,,
quantity,spiral_eigenvalue_real,1,0,-4.50736931297971,4.50736931297971,4.50736931297971,nan,,,,,,,,
gate,longitudinal,1,0,,,,,1.0,0,0,0,1,,,
gate,directional,1,0,,,,,0.0,1,0,0,0,,,
gate,static_margin,1,0,,,,,1.0,0,0,0,1,,,
gate,spiral,1,0,,,,,0.0,1,0,0,0,,,
gate,overall,1,0,,,,,0.0,1,0,0,0,,,
runtime,stability_analysis,1,0,,,,,,,,,,0.003985299961641431,0.5267252000048757,132.16701504895823
