element_id,name,category,missions,mass_kg,x_m,y_m,z_m,length_x_m,width_y_m,height_z_m,notes
1,Main wing structure,airframe,"M1,M2,M3",0.35598723592,0.1535,0,0,0.307,1.181,0.02,
2,Wing servo (left),controls,"M1,M2,M3",0.021,0.1535,-0.29525,0,0.04,0.02,0.04,
3,Wing servo (right),controls,"M1,M2,M3",0.021,0.1535,0.29525,0,0.04,0.02,0.04,
4,Wing integration,integration,"M1,M2,M3",0.1,0.1535,0,0,0.08,0.08,0.06,
5,Wing spar,airframe,"M1,M2,M3",0.202171186441,0.0921,0,0,0.02,1.181,0.02,
6,Horizontal tail structure,airframe,"M1,M2,M3",0.0840963051892,0.919084840286,0,0,0.148169680571,0.444509041714,0.012,
7,Vertical tail structure,airframe,"M1,M2,M3",0.024106452285,0.916584168102,0,0.0637099096104,0.143168336203,0.012,0.127419819221,
8,Horizontal tail servo,controls,"M1,M2,M3",0.021,0.919084840286,0,0,0.04,0.02,0.04,Placed at the horizontal stabilizer geometric center until a measured installation location is supplied.
9,Vertical tail servo,controls,"M1,M2,M3",0.021,0.916584168102,0,0.0637099096104,0.04,0.02,0.04,Placed at the vertical stabilizer geometric center until a measured installation location is supplied.
10,Boom spar,airframe,"M1,M2,M3",0.117462945318,0.650084840286,0,0,0.686169680571,0.02,0.02,
11,Tail integration,integration,"M1,M2,M3",0.025,0.919084840286,0,0,0.06,0.06,0.05,
12,Landing gear,airframe,"M1,M2,M3",0.22,0,0,-0.1016,0.08,0.18,0.08,"Installed directly below the main-wing leading edge, with its center 4 inches below the wing plane."
13,Fuselage structure,airframe,"M1,M2,M3",0.290989234136,-0.0265616128586,0,-0.065,0.4312,0.127,0.13,Fuselage-local uniform shell-area-density approximation from the forward-most electronics/payload edge to the aft-most edge; mass scales with length and cross-sectional perimeter.
14,Battery,propulsion_and_electronics,"M1,M2,M3",0.77058,-0.123161612859,0,-0.0762,0.228,0,0,"Equivalent fat electronics-area CM, packed inside the fuselage before airplane installation."
15,Motor,propulsion_and_electronics,"M1,M2,M3",0.424689428745,-0.123161612859,0,-0.0762,0.228,0,0,"Equivalent fat electronics-area CM, packed inside the fuselage before airplane installation."
16,Propeller,propulsion_and_electronics,"M1,M2,M3",0.038274216,-0.123161612859,0,-0.0762,0.228,0,0,"Equivalent fat electronics-area CM, packed inside the fuselage before airplane installation."
17,ESC,propulsion_and_electronics,"M1,M2,M3",0.118,-0.123161612859,0,-0.0762,0.228,0,0,"Equivalent fat electronics-area CM, packed inside the fuselage before airplane installation."
18,Other electronics,propulsion_and_electronics,"M1,M2,M3",0.05,-0.123161612859,0,-0.0762,0.228,0,0,"Equivalent fat electronics-area CM, packed inside the fuselage before airplane installation."
19,Sensor release mechanism,release_mechanism,"M1,M2,M3",0.0025,0.0874383871414,0,0,0,0,0,Permanent mechanism modeled as a point mass at the top of the center container stack; mass is 1/20 of sensor mass.
20,M2 sensor shipping container,mission_2_payload,M2,0.276796185,0.0874383871414,0,-0.0635,0.2032,0.127,0.127,Mass includes a sensor-equivalent payload plus the 0.5 lb empty container. The center bay fills 3-wide and 2-high before paired aft/forward bays are filled alternately.
21,M3 sensor,mission_3_payload,M3,0.05,0.0874383871414,0,-0.0635,0.1524,0.0762,0.0762,"Three-inch-diameter sensor centered inside the volume formerly occupied by the primary M2 sensor container, with cylindrical intrinsic inertia. Its length is derived from the M3 flown weight and cannot exceed the M2 container envelope."
