rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,1024,-7.491714285714286,7.491714285714286,7.46,True,1.8203782055103022,0.3727140578343685,0.4840416025326122,0.24099116593030018,0.0,0.47287024180347975,15.742318471662294,15.370257525190784,3.098843054430449,14.89158629117062,7.983279459029129,459.42785167350996,2096.1493657931323,0.8111969073486729,0.79058411909342,8
2,2048,-7.46380681795644,7.46380681795644,7.412,True,1.8196404031003024,0.39268279753054003,0.7104172186326184,0.09056253351650007,0.0,0.447937421652414,15.62917142196276,14.723039214314376,3.86599656139975,14.573341765851364,9.561772726622625,451.2500650315085,2716.9861158254253,0.9714328428786931,0.9715827501847283,6
3,512,-7.390844046055008,7.390844046055008,7.351999999999999,True,1.7962499365426363,0.36740194768770984,0.4171346685399269,0.20673648652309726,0.0,0.4240598111748112,14.99064399647311,14.412221453499736,3.9459614554000257,20.479050423048843,10.206667804566072,415.4002990064007,1966.6187292376262,0.9744364745475147,0.8502595072473342,6
4,2516,-7.3667660927269525,7.3667660927269525,7.350451921894597,True,1.7821382430180657,0.38725848702151655,0.8552296063472149,0.15182218362024397,0.0,0.44377327969671676,15.129977402315035,12.674492983516352,4.419337975811884,14.940140569083908,9.280645539726134,476.4373686309885,1820.9607315419232,0.9136964183122971,0.9889164343199935,6
5,677,-7.358622651262813,7.358622651262813,7.3447230973471935,True,1.7255997625702442,0.3599440394290207,0.5393100297545964,0.1791890205420622,0.0,0.4637889660756699,15.688004290015535,13.90090605821488,3.510715586467059,17.155521348080253,10.169679193857332,385.9077729670201,2330.547534392958,0.9656714039738993,0.9503186353564358,6
6,2360,-7.362678568292475,7.362678568292475,7.343714285714285,True,1.813226927933479,0.39673429266750826,0.7350479082811529,0.08368434091311698,0.0,0.46376232766862513,14.69376988649052,14.579103032628842,3.0032764937739103,18.62993075707007,12.017578722934763,393.87569152675735,1943.4068209733966,0.9930912383950283,0.7873174614947793,6
7,3072,-7.362678568292475,7.362678568292475,7.343714285714285,True,1.813226927933479,0.39673429266750826,0.7350479082811529,0.08368434091311698,0.0,0.4637623276686251,14.693769886490522,14.579103032628842,3.0032764937739103,18.62993075707007,12.017578722934763,393.87569152675735,1943.4068209733966,0.9930912383950283,0.7873174614947793,6
8,620,-7.362160835757525,7.362160835757525,7.336719232818327,True,1.8098846712062024,0.3588525793864102,0.8702514091545064,0.2185011959811598,0.0,0.476746334826053,15.74755005581951,13.965501571890941,3.3549659741962676,20.666075018172798,11.74047912732016,311.51288514872635,1884.3704724702447,0.9635417825474879,0.980586883483823,6
9,860,-7.384039728651812,7.384039728651812,7.317142857142857,True,1.8079296967471599,0.3823754693022343,0.5815585353575876,0.223376929198065,0.0,0.44424744972274177,15.29367711718664,13.55279426074205,4.023372693023925,20.497449803637284,12.320400526851513,334.1655749614572,2305.8506626239796,0.9654097678735036,0.9388743216630373,6
10,798,-7.329394255741598,7.329394255741598,7.316209096278795,True,1.7479913434343963,0.39281433449417874,0.5968167022080727,0.12146998033725787,0.0,0.4975472887388111,14.610001600884424,14.326648649522276,3.4588082196496988,19.926292531481554,10.647333416529492,439.99963374068136,2422.9636753988943,0.8784134394564974,0.7781852473897202,6
11,2204,-7.329125104331299,7.329125104331299,7.314857142857143,True,1.820360402454324,0.3721723523146607,0.4846507872190492,0.08556151395667522,0.0,0.5203725102573231,15.182981400450673,13.629377821921352,3.2527995878542355,19.80128507896094,12.446506528064951,381.1722043592257,1917.3955249810167,0.977253445934652,0.7620100532693299,6
12,0,-7.409960809343067,7.409960809343067,7.307785714285714,True,1.7869467880541998,0.3888975223583351,0.49210318700619493,0.20410102830287125,0.0,0.5171345796994737,15.372035816803784,15.232985741620535,3.338987065622414,20.645868179357294,11.311846040212274,338.6602325144721,2267.0841346907664,0.9012477039873439,0.6999879712089898,8
13,2365,-7.312093566435845,7.312093566435845,7.296408762998528,True,1.6649489853111366,0.39923629438038943,0.7995495245387565,0.1443662324641833,0.0,0.5187171427999399,15.21841175974024,13.526201025959978,2.9146195160804647,14.075229425011766,10.837289441008366,421.5686615617727,1492.1473927015288,0.975537063986348,0.9374549940230179,6
14,2558,-7.308492413595843,7.308492413595843,7.2920424387993705,True,1.4970228434677382,0.3818222346770709,0.7629665420153791,0.253128302612412,0.0,0.5585245394200726,15.10108271575151,13.864390512527788,3.9750655946055256,14.054323012821438,10.704590788936072,462.20697782293985,2466.441416774482,0.9611345567818126,0.9443984561795287,6
15,2140,-7.3218468609714265,7.3218468609714265,7.289931575135274,True,1.707173048072958,0.35656021997698484,0.38007127001264635,0.24353885224108834,0.0,0.41394139696092536,14.350444984306876,14.286524817260409,4.234608161541661,15.988453939183913,11.650819648261871,437.11786180348724,2399.532048865166,0.9428144116177966,0.8351418689508262,6
16,2457,-7.330406358773207,7.330406358773207,7.287149120534979,True,1.7994814821408862,0.2991831093130353,0.7082867657658332,0.11802336029857782,0.0,0.5988904944258786,15.374199934729893,13.448495952802059,4.1301121371356455,16.29204641503406,10.731823617995198,463.50564607584437,1939.7073877048763,0.8239291927208907,0.8507992639801949,6
