extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,7.491714285714286,-7.491714285714286,205,0,1.8203782055103022,0.3727140578343685,0.4840416025326122,0.24099116593030018,0.47287024180347975,15.742318471662294,15.370257525190784,3.098843054430449,14.89158629117062,7.983279459029129,459.42785167350996,2096.1493657931323,0.8111969073486729,0.79058411909342,8
1,4.1801506902039485,-4.1801506902039485,74,317,1.8173761481125132,0.38190471713518936,0.3432735437527299,0.20035591784063397,0.4465700551334768,9.874753166551525,9.602464592582463,2.428203747895502,17.954113186318775,12.273745153157453,324.37932411809385,2378.05905643372,0.9536314500782025,0.8515969307405491,6
2,2.4261631423089836,-2.4261631423089836,113,152,1.5714624800906116,0.39255345664991637,0.3149864757012514,0.18438582010003807,0.40635576474100193,5.5281514499746205,2.3716276992005145,2.4847055735264574,24.216927086026622,17.49931338102795,253.14709558340678,2374.7985309853198,0.7597976560612806,0.6185474619750737,8
3,-2.0535775617481544,2.0535775617481544,155,106,1.8147608760608158,0.32465369540241046,0.7622269133719524,0.16832627404219466,0.19925586260983044,4.351886899362501,1.9739698592138266,2.81167351316715,16.607250103973318,12.288626671666664,306.31769148199714,2812.7277019226644,0.9479495676135735,0.8395601776428521,8
4,-2.487368347086525,2.487368347086525,56,98,1.814323461557552,0.3310703030598894,0.5786479702403416,0.18630474573001266,0.5883865225617777,3.007482839910862,2.0892601074669823,1.7103292247683375,18.21300089709305,7.807811998127146,367.20608682638795,2945.958063943543,0.8143002403282469,0.8488879632204771,8
5,-1.080187329020295,1.080187329020295,109,93,1.8256869040066253,0.37618566364049916,0.4235722999201387,0.23162643707298064,0.08222996040172875,0.9533067148950831,0.9508906768152743,4.01183329621748,21.97202450080745,14.760011737408293,351.3743616640568,2603.1929813325405,0.8375937365152901,0.739793058027626,6
6,-2.631219281141786,2.631219281141786,234,248,1.4670754006571103,0.24669182464503642,0.5787511139406611,0.14672375848858993,0.21610479747485356,1.5960577881734874,0.6537765876675286,3.1922170621461845,12.810201923998196,9.952129879703714,474.5400955156232,1592.214220845925,0.9641649885031085,0.98151140135255,6
7,-9.752206658249824,9.752206658249824,161,140,1.3966708517077444,0.34563538981734815,0.7229035782479198,0.13161488528297766,0.1545869846510082,1.0632909887722857,0.25856525451012224,3.9189514676374397,20.814089210802855,14.848716771539657,442.1051898521015,2200.9894391238236,0.5290656092479372,0.7489527298232534,6
8,-10.757314976813875,10.757314976813875,85,471,1.690909627887627,0.34144883717380536,0.6149312054738403,0.0901156552738513,0.18311220917548324,1.23101723741597,0.972888352543908,3.9127199828511667,22.269937302917242,13.655759413213795,417.38279647098955,1389.7801988152387,0.6037965748943079,0.9709524209611118,6
9,-4.46409645537555,4.46409645537555,31,109,1.2718261682882905,0.3959316870197654,0.668806379288435,0.12887101968750359,0.1882415935438126,0.08766724093078793,0.056477804493561656,2.160390696488321,14.340705364011228,11.216277791817205,426.76495807245374,2019.3448550999165,0.8475527637638152,0.7858977140858769,8
10,-7.280862222632221,7.280862222632221,151,388,1.773086971861869,0.3228901901707484,0.44785072995059333,0.2326415762785098,0.12356628381187906,1.1390694110095962,0.6550622484851765,1.404494479764253,12.171251997351646,8.183647955558394,492.71842554293613,1922.4699890726097,0.7568263145448979,0.7064592408733301,8
