extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
0,5.466961944263893,-5.466961944263893,277,0,1.7370882405626529,0.3066037479914468,0.7242564837617608,0.2773892562374773,0.2314027146849711,0.1406382182814821,4.560169959078024,3.7258301367365902,2.6006916331302414,11.684909918392723,5.0,594.8270808278731,1544.3194164061606,0.8803552783438713,0.727301732327343
1,4.903395016861892,-4.903395016861892,188,133,1.770351783906033,0.34593152506902164,0.3088936253201533,0.1390134520349481,0.08297561841605708,0.09750911432671767,1.4264678135852122,1.2131627506363358,2.670260901039128,10.669005959199591,5.0,607.41747967712,1757.2409524137208,0.7740947395167994,0.7491979699890112
2,0.32960086457644344,-0.32960086457644344,163,449,1.794993134755475,0.3509410344243625,0.7932509018415329,0.17233044375537798,0.2848872521026992,0.05083560000832758,1.094768946625237,0.6017218730937941,3.3401097975779237,11.314555941329035,5.0,603.4360229682743,1557.8608708079487,0.8309432046090452,0.8079174145552723
3,-13.338248194296886,13.338248194296886,216,485,1.3668242960451145,0.3093188302635565,0.6997952206201035,0.21132431146225816,0.08484149052561302,0.14266644403745715,0.3230701379801886,0.21702468382730444,2.0233900278959993,12.438791454830866,5.0,567.7272129439764,1924.360386128403,0.9456579671674159,0.8023002523057106
4,-13.950654315562309,13.950654315562309,68,228,1.542037563621237,0.23477435662027285,0.6747572457484058,0.144204822657367,0.12591453709576145,0.11746566301919588,0.3300002925022767,0.31031608842983616,3.2640492670994323,11.677198590342563,5.0,615.2776862122441,1702.7524825457313,0.9571811141928722,0.7367692166063929
5,-17.342430024365175,17.342430024365175,138,507,1.4401776563273565,0.30918637160193213,0.6611108929853652,0.206409876248429,0.5311123598329184,0.09734580978415396,0.1814049421153996,0.12469572072074442,2.4327544312403275,11.400043893423529,5.0,567.2287029527522,1234.9946141559503,0.7601134537215729,0.8727476078604031
6,-22.277992776782966,22.277992776782966,163,360,1.612576026708332,0.34495985080566305,0.7241857982519255,0.19512493250877896,0.3332793411813087,0.07945402870605153,1.9919866129870059,1.5548400600854393,2.7741752059936724,11.143245087054623,5.0,640.4307775402312,2243.2784389741078,0.9265387745302788,0.7245966264767267
7,-23.300225312239412,23.300225312239412,194,102,1.2997922028932605,0.34251496055787417,0.7109111264294133,0.28438372892270214,0.11327517855977687,0.08559739806084918,0.9822033438768898,0.6595522050432336,2.638486905710916,12.211910257004114,5.0,547.9889403548707,1138.8358547881535,0.9027616730683945,0.7722561440437451
8,-27.370746085022347,27.370746085022347,121,123,1.577117018647009,0.3450609289003224,0.39543215906495155,0.10707091676323413,0.055121267000219354,0.11811952287008722,1.416685937018869,0.6282250507963951,2.3055565074866524,10.53385998299568,5.0,641.4098599603908,1191.9941439237223,0.8787014862418377,0.7885777593481567
9,-24.404745944422082,24.404745944422082,69,175,1.7319781376741825,0.39132818618432963,0.8592676649613152,0.24651669789215921,0.18556717306861462,0.08472505512480794,1.0334094365159032,0.32456156891555565,3.083740172009831,10.268481285189683,5.0,612.5353138553246,1341.8729918142562,0.6453592936187117,0.868445593822311
10,-27.993580505954544,27.993580505954544,66,237,1.7120668728435486,0.3618523244855678,0.46206469573080544,0.14689696608337843,0.1605535407407264,0.10237440971909091,1.320899189657439,0.6809207509953907,2.644307035908491,10.823915880173445,5.0,609.2846337705851,1092.945979579196,0.6364286758367835,0.7980213851731803
