evaluation,generation,status,objective,score,raw_score,implied_penalty,message,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,ground,m1,m2,m3
1,0,ok,4.206433918242981,-4.206433918242981,4.480562574506839,8.68699649274982,,0.9487644223520779,0.2877930319590894,0.5611176645350505,0.1230856547094608,39.37032625703411,26.06189143403704,0.776776262059808,2.9250061060453865,10.619836612185207,9.755905219834712,453.0448483559526,1158.4852232153667,0.7450940310073966,0.7162139735829167,0.06428571428571428,1.0,1.2744444444444445,2.141832415776681
2,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.9924 m, at or behind the permitted tail-front limit x=0.6317 m; width 0.1292 m puts the fuselage back at x=1.6877 m, at or behind the permitted tail-front limit x=0.6317 m; width 0.1822 m puts the fuselage back at x=0.9260 m, at or behind the permitted tail-front limit x=0.6317 m; width 0.2352 m puts the fuselage back at x=0.7483 m, at or behind the permitted tail-front limit x=0.6317 m; width 0.2882 m puts the fuselage back at x=0.6499 m, at or behind the permitted tail-front limit x=0.6317 m",0.9367270128544516,0.39573318241154576,0.631714711446573,0.0957996249662765,84.07860637724698,36.65925696580623,2.4615641914546913,4.117001298026708,20.313487058795747,10.988745410691688,467.5269449018788,1290.5818384899758,0.8201957897634571,0.9275526141571849,nan,nan,nan,nan
3,0,ok,17.21700114451839,-17.21700114451839,5.794866042032908,23.0118671865513,,1.4938062399269627,0.21674891910379765,0.7351331476697769,0.25542806278385166,56.09935772806862,23.474373351873698,3.6697103463549166,2.6812592347236954,20.687152446507753,16.12005859627798,281.35435751268454,1925.382774154698,0.6652826931108866,0.9886882969988745,0.05056179775280899,1.0,2.1344440370806863,2.609860207199412
4,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.7130 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.1292 m puts the fuselage back at x=1.3303 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.1822 m puts the fuselage back at x=0.9557 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.2352 m puts the fuselage back at x=0.7905 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.2882 m puts the fuselage back at x=0.6144 m, at or behind the permitted tail-front limit x=0.5223 m",1.3471562375254074,0.33506797855374165,0.5222591294657729,0.2864067504789356,68.87836930676893,16.647712932522104,3.5967217483805136,2.9924979528061,23.655923329124555,7.793705865062885,374.85294601429666,2584.422396067076,0.6494047486560229,0.777157355992761,nan,nan,nan,nan
5,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=1.6411 m, at or behind the permitted tail-front limit x=0.3705 m; width 0.1292 m puts the fuselage back at x=1.6554 m, at or behind the permitted tail-front limit x=0.3705 m; width 0.1822 m puts the fuselage back at x=0.9076 m, at or behind the permitted tail-front limit x=0.3705 m; width 0.2352 m puts the fuselage back at x=0.6324 m, at or behind the permitted tail-front limit x=0.3705 m; width 0.2882 m puts the fuselage back at x=0.6347 m, at or behind the permitted tail-front limit x=0.3705 m",1.0095735950368527,0.37027288904872846,0.37049397558834374,0.2013469825350412,27.630973179730248,35.29824415753757,1.78310835310752,3.434943783443633,12.095662917133325,7.170452830241353,399.57111495098894,2967.8251403619442,0.54394352536089,0.8795615439271481,nan,nan,nan,nan
6,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.1462 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.1292 m puts the fuselage back at x=0.9802 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.1822 m puts the fuselage back at x=0.7405 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.2352 m puts the fuselage back at x=0.5809 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.2882 m puts the fuselage back at x=0.4940 m, at or behind the permitted tail-front limit x=0.4369 m",1.197693103314981,0.22744257956810288,0.43686792644532024,0.2896776339322787,55.56281534919069,20.137660187485846,2.022750152510607,1.2648213881420007,24.84992588810102,10.294592557049242,292.55365572972266,2851.192324349806,0.8387006100265657,0.6714773314546298,nan,nan,nan,nan
7,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=3.3881 m, at or behind the permitted tail-front limit x=0.6207 m; width 0.1292 m puts the fuselage back at x=1.7928 m, at or behind the permitted tail-front limit x=0.6207 m; width 0.1822 m puts the fuselage back at x=1.2395 m, at or behind the permitted tail-front limit x=0.6207 m; width 0.2352 m puts the fuselage back at x=0.9946 m, at or behind the permitted tail-front limit x=0.6207 m; width 0.2882 m puts the fuselage back at x=0.8029 m, at or behind the permitted tail-front limit x=0.6207 m",1.3776285387145009,0.32835171076732345,0.620721850449682,0.0806517967960398,93.484131078214,7.71689617866353,4.733775217480044,2.7249527173464396,14.924571249766707,12.49662793794883,330.24297223298174,1814.870027057274,0.5249661022676618,0.5173137821327196,nan,nan,nan,nan
8,0,ok,28.33717102769816,-28.33717102769816,4.8450098338184935,33.182180861516656,,1.1059502891143345,0.1278021955785807,0.7866113488450586,0.28312605496421306,82.55605390426737,20.737039262038607,1.8161697527770242,4.330231838288835,21.87033214647229,14.445161804057012,368.2734449886708,2397.3642393293258,0.5315687931766178,0.9032671762239288,0.03711340206185567,1.0,1.3933333333333333,2.4145630984233044
9,0,ok,7.391993176811637,-7.391993176811637,5.236716714068619,12.628709890880256,,1.264643027118279,0.24575805060092157,0.8075882133688617,0.2105729345904348,85.02247994986647,19.11636767570515,1.0493981891765016,2.5012450825559442,22.896324713142146,10.097726464995969,308.38406190488996,2154.2702797297725,0.6839691682226383,0.8340083942624228,0.03680981595092025,1.0,1.99277218899193,2.2071347091257683
10,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=1.5954 m, at or behind the permitted tail-front limit x=0.4166 m; width 0.1292 m puts the fuselage back at x=1.6263 m, at or behind the permitted tail-front limit x=0.4166 m; width 0.1822 m puts the fuselage back at x=0.8573 m, at or behind the permitted tail-front limit x=0.4166 m; width 0.2352 m puts the fuselage back at x=0.6463 m, at or behind the permitted tail-front limit x=0.4166 m; width 0.2882 m puts the fuselage back at x=0.6501 m, at or behind the permitted tail-front limit x=0.4166 m",1.0802082892084304,0.30799918269407606,0.41664544672190573,0.2936865450509688,38.03860654362661,34.30359253397495,3.011964995323413,4.370484368871968,18.84327095166076,15.315633322392085,429.7916447341867,1735.3644258883073,0.6968374106387933,0.5425312223019091,nan,nan,nan,nan
