extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,7.123248711438599,-7.123248711438599,16,0,1.8156125725933867,0.3440437582305947,0.7368138221965093,0.27052736742211586,0.5657056880298377,15.535453938530434,9.83979111172949,3.4278480313092268,23.558586792914777,13.962070188200904,308.71525060348927,1769.4057008045293,0.9989582895866391,0.7862057410092639,6
1,4.1801506902039485,-4.1801506902039485,71,317,1.8173761481125132,0.38190471713518936,0.3432735437527299,0.20035591784063397,0.4465700551334768,9.874753166551525,9.602464592582463,2.428203747895502,17.954113186318775,12.273745153157453,324.37932411809385,2378.05905643372,0.9536314500782025,0.8515969307405491,6
2,2.4261631423089836,-2.4261631423089836,97,152,1.5714624800906116,0.39255345664991637,0.3149864757012514,0.18438582010003807,0.40635576474100193,5.5281514499746205,2.3716276992005145,2.4847055735264574,24.216927086026622,17.49931338102795,253.14709558340678,2374.7985309853198,0.7597976560612806,0.6185474619750737,8
3,-2.307740717369123,2.307740717369123,12,415,1.5347346739584147,0.32167074073462243,0.7439779907112185,0.14499809240451383,0.13249948901869354,3.3811825656166015,1.4459524072494663,2.3258722173050046,19.77946802395717,13.565845127771826,344.79844600926344,1463.7084500911337,0.9287785395852133,0.7635469934903085,6
4,-2.487368347086525,2.487368347086525,56,98,1.814323461557552,0.3310703030598894,0.5786479702403416,0.18630474573001266,0.5883865225617777,3.007482839910862,2.0892601074669823,1.7103292247683375,18.21300089709305,7.807811998127146,367.20608682638795,2945.958063943543,0.8143002403282469,0.8488879632204771,8
5,-2.561259342543435,2.561259342543435,23,188,1.588651835594346,0.3302922726795078,0.6623434645320473,0.20735021199684633,0.4162945825855029,2.7980124101897967,1.4211671584315066,3.378378378378378,21.604925978787904,15.281081065332314,372.40435164421797,2648.0781226983227,0.8069043597713759,0.6625764576220619,6
6,-3.9548637018478816,3.9548637018478816,35,237,1.284839943385124,0.30169065456360467,0.8651603813283655,0.16270201816540192,0.5378862395337819,1.0332067311996838,0.289850640701073,1.6414837028276468,21.179798203209003,13.914594187519851,339.73862025494657,2580.4349474332876,0.725192346940396,0.5538445334242449,8
7,-9.752206658249827,9.752206658249827,89,140,1.3966708517077444,0.34563538981734815,0.7229035782479198,0.13161488528297766,0.1545869846510082,1.0632909887722857,0.25856525451012136,3.9189514676374397,20.814089210802855,14.848716771539657,442.1051898521015,2200.9894391238236,0.5290656092479372,0.7489527298232534,6
8,-10.757314976813875,10.757314976813875,79,471,1.690909627887627,0.34144883717380536,0.6149312054738403,0.0901156552738513,0.18311220917548324,1.23101723741597,0.972888352543908,3.9127199828511667,22.269937302917242,13.655759413213795,417.38279647098955,1389.7801988152387,0.6037965748943079,0.9709524209611118,6
9,-4.46409645537555,4.46409645537555,31,109,1.2718261682882905,0.3959316870197654,0.668806379288435,0.12887101968750359,0.1882415935438126,0.08766724093078793,0.056477804493561656,2.160390696488321,14.340705364011228,11.216277791817205,426.76495807245374,2019.3448550999165,0.8475527637638152,0.7858977140858769,8
10,-7.28086222263225,7.28086222263225,36,388,1.773086971861869,0.3228901901707484,0.44785072995059333,0.2326415762785098,0.12356628381187906,1.1390694110095945,0.6550622484851747,1.404494479764253,12.171251997351646,8.183647955558394,492.71842554293613,1922.4699890726097,0.7568263145448979,0.7064592408733301,8
