generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,1024,15.89731725002639,64.41338396252362,874.3524487514514,0.0,nan,nan,1.2901660879854113,0.39562620267272,0.4513933623209596,0.13498427748680114,0.0,0.4158579019738361,8.968980218462029,5.633025331084297,2.2407751753926277,15.951864453963935,9.959407032039458,430.7623743079603,2780.185839161277,0.5843202816322446,0.8121009552851319,8.0
2,0,1536,19.28186300001107,79.66035232171902,700.574355667069,0.0,nan,nan,1.2901660879854113,0.39562620267272,0.4513933623209596,0.13498427748680114,0.0,0.4158579019738361,8.968980218462029,5.633025331084297,2.2407751753926277,15.951864453963935,9.959407032039458,430.7623743079603,2780.185839161277,0.5843202816322446,0.8121009552851319,8.0
3,0,2048,23.09744216699619,88.66782673132423,623.6309385088971,0.0,nan,nan,1.6949006488379093,0.2745415637110401,0.4345513679087162,0.19042478878115607,0.0,0.33115159401076266,9.670074765079232,4.517071474138907,3.0648637253538413,15.298378957197887,11.604279929219636,392.64448849599853,2268.81174945969,0.882433406891451,0.6947376563285206,8.0
4,0,2560,25.45462504203897,100.57111412060064,544.728975899634,0.0,nan,nan,1.6949006488379093,0.2745415637110401,0.4345513679087162,0.19042478878115607,0.0,0.33115159401076266,9.670074765079232,4.517071474138907,3.0648637253538413,15.298378957197887,11.604279929219636,392.64448849599853,2268.81174945969,0.882433406891451,0.6947376563285206,8.0
5,0,3072,28.258045250026044,108.7124028862955,499.22546608379344,0.0,nan,nan,1.7868247583727945,0.3329615742654997,0.5695158246412342,0.2348339858121997,0.0,0.36270325677869847,10.726678280894934,3.5850021191225654,1.2992403808005955,12.778883481828847,9.975499717138142,389.26130547471547,1856.3657256582528,0.9078209913463032,0.7039847164983706,8.0
6,0,3584,30.61785850004526,117.0558679012349,459.2678775006789,0.0,nan,nan,1.7868247583727945,0.3329615742654997,0.5695158246412342,0.2348339858121997,0.0,0.36270325677869847,10.726678280894934,3.5850021191225654,1.2992403808005955,12.778883481828847,9.975499717138142,389.26130547471547,1856.3657256582528,0.9078209913463032,0.7039847164983706,8.0
7,0,4096,33.31542158301454,122.9460653767712,433.100480579189,0.0,nan,nan,1.7868247583727945,0.3329615742654997,0.5695158246412342,0.2348339858121997,0.0,0.36270325677869847,10.726678280894934,3.5850021191225654,1.2992403808005955,12.778883481828847,9.975499717138142,389.26130547471547,1856.3657256582528,0.9078209913463032,0.7039847164983706,8.0
8,0,4608,36.03631958301412,127.87099385620948,412.4156574500505,0.0,nan,nan,1.7868247583727945,0.3329615742654997,0.5695158246412342,0.2348339858121997,0.0,0.36270325677869847,10.726678280894934,3.5850021191225654,1.2992403808005955,12.778883481828847,9.975499717138142,389.26130547471547,1856.3657256582528,0.9078209913463032,0.7039847164983706,8.0
9,0,5120,38.985035500023514,131.33244421431684,397.6473621002399,0.0,nan,nan,1.7868247583727945,0.3329615742654997,0.5695158246412342,0.2348339858121997,0.0,0.36270325677869847,10.726678280894934,3.5850021191225654,1.2992403808005955,12.778883481828847,9.975499717138142,389.26130547471547,1856.3657256582528,0.9078209913463032,0.7039847164983706,8.0
10,0,5632,41.75099037500331,134.89500367330038,383.3500025341213,0.0,nan,nan,1.7868247583727945,0.3329615742654997,0.5695158246412342,0.2348339858121997,0.0,0.36270325677869847,10.726678280894934,3.5850021191225654,1.2992403808005955,12.778883481828847,9.975499717138142,389.26130547471547,1856.3657256582528,0.9078209913463032,0.7039847164983706,8.0
11,1,6144,59.96171795803821,102.46537639731454,499.68098298365175,0.0,nan,nan,1.7156833114411683,0.22670299969613553,0.7630968527868391,0.1832313230447471,0.0,0.3656045732986181,10.957940745665422,3.4418277388520426,2.378711501136422,12.976515349000692,5.763475437894135,495.8323637954891,2868.0851627141237,0.8368695718236268,0.8153195972554386,8.0
12,1,6656,62.725818792008795,106.11260447743996,477.68123541606695,0.0,nan,nan,1.5902482121927277,0.32280167926768427,0.737153854946331,0.22677020244300367,0.0,0.4114631452795657,11.887388046279522,3.906892655269748,1.9274517617983091,18.3070588670671,10.014497258765461,450.29046968014194,2954.8217973908218,0.7136415070740227,0.5681853744550956,8.0
13,1,7168,66.95689737499924,107.05394486627496,468.6982816249947,0.0,nan,nan,1.5902482121927277,0.32280167926768427,0.737153854946331,0.22677020244300367,0.0,0.4114631452795657,11.887388046279522,3.906892655269748,1.9274517617983091,18.3070588670671,10.014497258765461,450.29046968014194,2954.8217973908218,0.7136415070740227,0.5681853744550956,8.0
