generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,512,4.76905700000043,107.35875037768554,92.99661150000838,0.0,-4.737834270567396,4.737834270567396,1.102983808849007,0.34672618204109157,0.6987047172361537,0.22031836409986522,49.0,11.0,1.793839369291004,2.6245340544006672,17.994986125268042,10.01715691579745,311.8156595949688,1422.6518326871999,0.9643227397536569,0.7016948224240731
2,768,5.969894800000475,128.64548299912067,75.61866746667268,0.0,-4.820116862039608,4.820116862039608,1.1983890575706573,0.37251907442024845,0.8056440107524395,0.12205859769135714,68.0,4.0,3.396366553585917,1.8778257585682323,17.362716649658978,11.586688164424416,292.2319460728203,1231.5774989129486,0.9486039700561025,0.769253545725109
3,1024,7.287125300000298,140.5218049427472,67.40590902500276,0.0,-5.047180274988776,5.047180274988776,1.1452333299737585,0.3946084423150942,0.8975119009575443,0.09570448183196968,83.0,12.0,4.489868706113569,4.254015944679948,16.713038418984876,12.877530769685002,323.7811674530341,1547.8108632942492,0.9836915721305258,0.7738666253054621
4,1280,8.408576600000742,152.22552649397127,60.54175152000535,0.0,-5.07829771621197,5.07829771621197,1.2799568748433159,0.39780586501656057,0.8716570037348688,0.23232699222727343,81.0,10.0,1.1680549896830563,4.464570887640011,18.495863834269937,12.801294564371169,300.6572359425626,1557.1225425555917,0.8065650798480084,0.8276056403397318
5,1536,10.063589300000785,152.62944007461434,58.70427091667125,0.0,-5.21504610903396,5.21504610903396,1.4861174226094316,0.32621722652360835,0.8273819539818581,0.12479516617626941,57.0,16.0,1.4379167160582544,4.025010052265308,19.314106688400823,12.077758006540629,297.7014735849552,1980.967770138741,0.8228508714418048,0.9517447836454993
6,1792,11.55787170000076,155.04584637324552,56.138233971432264,0.0,-5.21504610903396,5.21504610903396,1.4861174226094316,0.32621722652360835,0.8273819539818581,0.12479516617626941,57.0,16.0,1.4379167160582544,4.025010052265308,19.314106688400823,12.077758006540629,297.7014735849552,1980.967770138741,0.8228508714418048,0.9517447836454993
7,2048,12.918267800000649,158.5351868924638,53.28785467500268,0.0,-5.21504610903396,5.21504610903396,1.4861174226094316,0.32621722652360835,0.8273819539818581,0.12479516617626941,57.0,16.0,1.4379167160582544,4.025010052265308,19.314106688400823,12.077758006540629,297.7014735849552,1980.967770138741,0.8228508714418048,0.9517447836454993
8,2304,14.288519100000485,161.24834098447064,50.8036234666684,0.0,-5.21504610903396,5.21504610903396,1.4861174226094316,0.32621722652360835,0.8273819539818581,0.12479516617626941,57.0,16.0,1.4379167160582544,4.025010052265308,19.314106688400823,12.077758006540629,297.7014735849552,1980.967770138741,0.8228508714418048,0.9517447836454993
9,2560,15.543137700000443,164.70290937459345,48.18372687000138,0.0,-5.21504610903396,5.21504610903396,1.4861174226094316,0.32621722652360835,0.8273819539818581,0.12479516617626941,57.0,16.0,1.4379167160582544,4.025010052265308,19.314106688400823,12.077758006540629,297.7014735849552,1980.967770138741,0.8228508714418048,0.9517447836454993
10,2816,17.59661050000068,160.0308195717517,47.99075590909276,0.0,-5.21504610903396,5.21504610903396,1.4861174226094316,0.32621722652360835,0.8273819539818581,0.12479516617626941,57.0,16.0,1.4379167160582544,4.025010052265308,19.314106688400823,12.077758006540629,297.7014735849552,1980.967770138741,0.8228508714418048,0.9517447836454993
11,3072,19.901830800000425,154.35765839190705,48.09609110000103,1.676608138187362e-06,-5.21504610903396,5.21504610903396,1.4861174226094316,0.32621722652360835,0.8273819539818581,0.12479516617626941,57.0,16.0,1.4379167160582544,4.025010052265308,19.314106688400823,12.077758006540629,297.7014735849552,1980.967770138741,0.8228508714418048,0.9517447836454993
12,3328,22.27508520000083,149.404591278505,47.977106584617175,1.411279365666168e-06,-5.238644978013658,5.238644978013658,1.43966935161945,0.36728761753295786,0.8416706638975501,0.10604313662579845,97.0,19.0,0.8634571922183853,3.8669980261170727,18.3781295188242,12.20581721552156,315.10161104846384,1684.6065232579608,0.8820631724425262,0.9162877286458799
13,3584,23.42135330000019,153.0227546672109,45.169752792857516,1.259745228843525e-06,-5.238644978013658,5.238644978013658,1.43966935161945,0.36728761753295786,0.8416706638975501,0.10604313662579845,97.0,19.0,0.8634571922183853,3.8669980261170727,18.3781295188242,12.20581721552156,315.10161104846384,1684.6065232579608,0.8820631724425262,0.9162877286458799
14,3840,24.739764000000832,155.21570860578422,42.882257600001445,8.871511751075959e-07,-5.2518005822888565,5.2518005822888565,1.5023868449157796,0.3141419833515901,0.740227609686179,0.18412211861353192,78.0,12.0,1.141474072503783,3.0087276098170186,20.51669585493212,12.79730283965213,275.5424535777562,1197.3653894643219,0.8724009512197397,0.9436887725746725
15,4096,26.85452350000014,152.5255139976689,41.96019296875022,6.259063886663412e-07,-5.2518005822888565,5.2518005822888565,1.5023868449157796,0.3141419833515901,0.740227609686179,0.18412211861353192,78.0,12.0,1.141474072503783,3.0087276098170186,20.51669585493212,12.79730283965213,275.5424535777562,1197.3653894643219,0.8724009512197397,0.9436887725746725
16,4352,29.43082080000022,147.87219254177128,41.54939407058855,6.258486721913657e-07,-5.277362274033695,5.277362274033695,1.4662149038100307,0.3198334970592278,0.8198121257502217,0.21562891484237745,90.0,10.0,1.0151165033974925,2.5581669252575523,17.817767840061798,12.664499946235107,313.32494497634957,1266.0707076719054,0.8891375307641122,0.8626174304129975
17,4608,31.101086800000303,148.16202500035965,39.74027757777816,6.258015636172772e-07,-5.277362274033695,5.277362274033695,1.4662149038100307,0.3198334970592278,0.8198121257502217,0.21562891484237745,90.0,10.0,1.0151165033974925,2.5581669252575523,17.817767840061798,12.664499946235107,313.32494497634957,1266.0707076719054,0.8891375307641122,0.8626174304129975
18,4864,32.6501588000001,148.97324174729542,37.805447031579064,6.257842022499434e-07,-5.277362274033695,5.277362274033695,1.4662149038100307,0.3198334970592278,0.8198121257502217,0.21562891484237745,90.0,10.0,1.0151165033974925,2.5581669252575523,17.817767840061798,12.664499946235107,313.32494497634957,1266.0707076719054,0.8891375307641122,0.8626174304129975
19,5120,34.27114360000087,149.3968237464906,35.984700780000914,6.257500576720868e-07,-5.277362274033695,5.277362274033695,1.4662149038100307,0.3198334970592278,0.8198121257502217,0.21562891484237745,90.0,10.0,1.0151165033974925,2.5581669252575523,17.817767840061798,12.664499946235107,313.32494497634957,1266.0707076719054,0.8891375307641122,0.8626174304129975
20,5376,36.22137510000084,148.4206489995979,34.49654771428652,1.5729293952877787e-05,-5.314254199557857,5.314254199557857,1.4713880493011693,0.35921948707266194,0.8396297624463356,0.17214895457732127,89.0,10.0,1.3325315292005342,2.9753594962377754,19.72152458094434,13.026460684012928,302.23468217574396,2284.5937040195327,0.8966521258067399,0.7726360587886185
21,5632,38.92986390000078,144.6704261403772,33.62124609545522,1.7624774998959047e-05,-5.338990803753882,5.338990803753882,1.4886508725676233,0.31871942845703355,0.8412365894981217,0.1305979831109496,78.0,13.0,1.3453391866539144,4.17616190498265,21.59646149360819,13.714227052994024,298.81557021509013,1448.0538434654986,0.8098670003054234,0.8692938117282537
22,5888,42.114369000000806,139.80976421610134,32.959071391304974,1.96872239403441e-05,-5.338990803753882,5.338990803753882,1.4886508725676233,0.31871942845703355,0.8412365894981217,0.1305979831109496,78.0,13.0,1.3453391866539144,4.17616190498265,21.59646149360819,13.714227052994024,298.81557021509013,1448.0538434654986,0.8098670003054234,0.8692938117282537
