rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-5.365925993936591,5.365925993936591,True,1.444123103306999,0.3981805330915583,0.831452256180192,0.24414482766592616,81.0,23.0,1.4223934673036192,3.4381155779839148,15.198006626151338,10.678044255212743,348.87233231650964,1628.0906304885475,0.8746521178076442,0.9513818310974052
2,225,-5.320815899493764,5.320815899493764,True,1.4241066346786595,0.37154007350428786,0.8704769603790687,0.23938522297880277,81.0,17.0,1.271318027040638,3.10163288358346,17.615729199801812,11.223221134559273,283.9905240082476,1284.7920238054155,0.9460261292683494,0.920422153413786
3,221,-5.303449619902961,5.303449619902961,True,1.4426552091487657,0.3298895735894577,0.8955764788874622,0.289813056205391,99.0,23.0,1.2989467892811242,3.6519474081110896,16.516347994189083,12.48437198492626,385.3381691642102,1001.5372804907176,0.8211508251948485,0.8335249568799186
4,180,-5.301429939585326,5.301429939585326,True,1.4846456707860705,0.39938134011547644,0.8641689793180083,0.29774017966216854,91.0,9.0,1.128385557630843,3.898943396882274,14.693357943105623,10.8766612401217,438.8468685406442,2277.860754074009,0.8769238027079022,0.7910229567773394
5,15,-5.2888104037063695,5.2888104037063695,True,1.5126839976418087,0.2863690943929398,0.7393959643732639,0.2790283217690267,82.0,19.0,1.0648589679672678,3.5644744083788398,17.10404037928392,13.237350203052557,349.21396371556193,1067.7153098165609,0.7775989544734934,0.8550869517483801
6,157,-5.275267214960842,5.275267214960842,True,1.4496345101100148,0.2934184152420792,0.8888325955245036,0.2782279403969141,69.0,18.0,0.7752316468811546,3.2030517214071743,13.85562373700874,10.630907949565888,450.33568066510895,1385.5992304834501,0.8478808340858683,0.8531210969696208
7,162,-5.271428603448521,5.271428603448521,True,1.4669740548656307,0.3810679308681401,0.8453533907375469,0.17759854950457563,89.0,14.0,1.4289575656424023,4.265735972795657,19.820098044143197,14.527224020049768,273.9021532626657,1762.7987587831826,0.7193605009642782,0.8625782772941395
8,7,-5.260237123959728,5.260237123959728,True,1.4747853512379658,0.39558515275183004,0.6882639376741891,0.11227296641416545,60.0,18.0,1.4710615381800807,2.845523788896056,16.453340699621652,11.057282723338547,295.2319698793973,1958.6509725783753,0.8792983581285572,0.9836000198799553
9,183,-5.243749142408705,5.243749142408705,True,1.4358018283927494,0.33875926647956056,0.8601534431234518,0.258237392776148,99.0,24.0,1.2801801487899618,2.4249665749331877,15.702105208673752,12.463117230206766,308.25104038760503,1040.5534359853086,0.9168265286059986,0.9799662203910808
10,241,-5.24101850729363,5.24101850729363,True,1.484851571740437,0.35492575117717634,0.76801549886929,0.1226373492011185,64.0,16.0,1.6210608374313709,2.5565012440797386,13.341654460617512,9.007856849641144,397.40732019517145,1199.9186451319702,0.8363937580317433,0.9454990597636691
11,85,-5.231486203737539,5.231486203737539,True,1.521186909013192,0.3414610077835301,0.8416412369492134,0.255074150459788,96.0,24.0,0.6232667317918241,3.9443253534467657,14.76762163452804,10.915566047510245,452.13567477022855,1038.1387107912233,0.7847960206535866,0.8940425495430486
12,186,-5.221108108289444,5.221108108289444,True,1.3714863333538492,0.3917542890206459,0.8697084197189163,0.27967686743331915,82.0,18.0,0.7520889621295868,3.6741706123474582,14.422737604792587,9.78826855638664,465.4104809635055,1683.2829742037975,0.7889887445470127,0.6646541207651797
13,133,-5.219739949239514,5.219739949239514,True,1.4403293998049351,0.3919045204864883,0.8087683656119624,0.22341820532544276,72.0,15.0,1.0579169480922834,3.0529804730694257,16.162449215517277,12.159221290784119,379.5504759733812,1246.0867818698412,0.8767790258086479,0.6086673767971695
14,124,-5.211358179852522,5.211358179852522,True,1.5112735314133352,0.3838533395621962,0.8922382085088799,0.2702660444616645,103.0,23.0,1.1227801192626181,3.239690952006869,15.086026742566375,9.579797230088179,460.939998514117,2936.272258356355,0.8949300802053717,0.6904707821106866
15,24,-5.208528785662713,5.208528785662713,True,1.381406018306377,0.3632557335677344,0.8235611339297191,0.20098673968905792,79.0,16.0,1.0194760448278515,3.478198202341451,14.030577760379117,9.3983542223564,376.2009579026811,1135.0675988438566,0.9359219245307067,0.9363954375192001
16,156,-5.198762370745785,5.198762370745785,True,1.4255355845791116,0.36305263024350176,0.8551620050720945,0.18047749491722856,75.0,24.0,0.5192181751322047,3.8322823941067714,15.756151822387693,11.466297944595937,381.4971195593612,1310.128897736222,0.848599223237946,0.8631397911467835
17,198,-5.196499006898113,5.196499006898113,True,1.3493694025963392,0.3703868329221134,0.8191372936573188,0.2924123064619317,89.0,13.0,0.6936194638917432,3.040136962647235,17.602820695504636,10.760044365245804,346.88768056947356,1617.556515640405,0.8720103923935141,0.8995253948589287
18,138,-5.191661629696146,5.191661629696146,True,1.46287270154519,0.2943045744049878,0.8915155255810938,0.2343645382991972,107.0,24.0,0.548804752939323,3.3565341185779642,16.438616753281952,12.892435973570638,370.54213116316544,1030.7950539666715,0.9224627873881908,0.8665140591537834
19,43,-5.121714558181275,5.121714558181275,True,1.4584619140374577,0.3577367303457479,0.8624967546666256,0.202102411162427,87.0,24.0,1.5993857923011578,3.0724213451665907,16.682018230214464,12.836534967944894,315.94944816249784,1086.9254287612616,0.8074102318414991,0.9451711534189995
20,26,-5.072354005380918,5.072354005380918,True,1.5150914389072947,0.3723106938258969,0.8988354347000973,0.09124602424985204,92.0,9.0,0.626054544148456,3.208292837786149,16.71053201132067,9.527629671986322,406.17247559987385,1358.2119382818605,0.6577886693804536,0.7847178471626555
21,243,-5.058548009367682,5.058548009367682,True,1.4982876912070995,0.37078533994543283,0.847677994774379,0.26372604861550397,72.0,20.0,3.0840374517319895,3.9652864452097205,15.146989093884851,9.85769301549181,416.7143706766372,1161.4995033719906,0.8529715676649112,0.5166778859062238
22,211,-5.057151801323494,5.057151801323494,True,1.4364354013949752,0.3458337883936965,0.8351859593666611,0.27944557667426767,74.0,18.0,4.309184592065789,3.8666887877741205,13.64690664300177,9.815538439499646,447.66598510335405,1158.1073602405845,0.9512619956132142,0.6954896459573945
23,81,-5.056053811659193,5.056053811659193,True,1.4359934187177634,0.34882277276667406,0.8738655849201018,0.20675486090429862,74.0,23.0,4.484092212702468,3.6435977998153803,12.96418849542165,8.000223136289275,498.77083820205826,2029.5787466608658,0.8651319792319794,0.859918542711252
24,151,-5.05446623093682,5.05446623093682,True,1.4268931515454557,0.3680078602202867,0.7640739556406693,0.11719731040616245,79.0,19.0,1.4485351511231612,2.6480746773951966,17.03656608414013,12.286654966388141,328.06963963371896,1379.645744093989,0.8736980927533129,0.579656537584341
25,68,-5.053533190578158,5.053533190578158,True,1.3855867285522347,0.34088493507103856,0.8314021781086922,0.10709212260091525,83.0,15.0,2.847498758018958,3.675408712878753,13.661889294489026,9.354410857282975,479.46126374057974,1971.0750232103794,0.8430215624994861,0.5507298559258716
26,212,-5.052854122621564,5.052854122621564,True,1.372456566280752,0.30432369511077556,0.8923668550655132,0.1925713629855575,83.0,17.0,4.782049200604016,3.910778750423585,16.311082754587623,10.769074174234099,419.2763392093792,1070.9731757828035,0.8376262328405176,0.6890637536523011
27,86,-5.052742616033755,5.052742616033755,True,1.3293216922807516,0.3194684154128988,0.8682217412896271,0.19437848273642835,82.0,19.0,4.675754169571626,3.217261192813931,13.497914447194749,10.783896240277292,464.05323739871795,1839.5589208651159,0.7770040335994615,0.8408256698912341
