generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,512,4.269117499999993,119.93110988395162,83.24779124999986,0.0,-0.3424657534246575,0.3424657534246575,1.507936859617549,0.2407844426482916,0.7083669366315007,0.11900969584624477,12.0,2.0,1.8938096825395294,4.016193103976548,14.765242372060033,8.119259071829235,309.2712768308787,2408.090083342464,0.6375991901173923,0.6264198440154937
2,768,5.00422940000044,153.47018264189336,63.386905733338914,0.0,-4.078166664306123,4.078166664306123,1.487995559451176,0.2357099194796497,0.6387376768514513,0.29675892947819044,63.0,8.0,2.603027092524573,4.399644047579786,16.044000258808765,12.55983182820009,315.2272214654336,2961.6696666926146,0.8099335346687153,0.5244136298964384
3,1024,5.486930300000495,186.62529757301778,50.75410527500458,0.0,-4.078166664306123,4.078166664306123,1.487995559451176,0.2357099194796497,0.6387376768514513,0.29675892947819044,63.0,8.0,2.603027092524573,4.399644047579786,16.044000258808765,12.55983182820009,315.2272214654336,2961.6696666926146,0.8099335346687153,0.5244136298964384
4,1280,6.668205599999965,191.95568894876408,48.01108031999975,0.0,-4.516045096716541,4.516045096716541,1.5166778730115449,0.3090962878446205,0.8987313937135955,0.29584073438229563,27.0,8.0,2.738367543688854,4.423388688248022,13.549827749543839,10.337462693442818,338.0030391858662,2001.3660226703582,0.8929163711805899,0.5102751505413841
5,1536,7.758234200000516,197.98319571222765,45.25636616666967,0.0,-4.833861678418775,4.833861678418775,1.4501678563225888,0.3999215416233224,0.8379964165507189,0.2953580990204008,42.0,6.0,0.9955104110188631,3.858139187936642,16.044000258808765,12.55983182820009,409.37060457558863,2077.304929995029,0.8099335346687153,0.5244136298964384
6,1792,8.75629360000039,204.6527996731311,42.53056891428761,0.0,-5.256679823117137,5.256679823117137,1.4923207057392387,0.3880247423553933,0.8131552045294247,0.09071404964832958,93.0,16.0,0.9945916642307544,2.7085943983426475,18.435057852295614,10.415872772667013,334.5757215043629,2481.775903841396,0.735199736026956,0.7426141069216107
7,2048,9.747183500000574,210.11197747532705,40.20713193750237,0.0,-5.256679823117137,5.256679823117137,1.4923207057392387,0.3880247423553933,0.8131552045294247,0.09071404964832958,93.0,16.0,0.9945916642307544,2.7085943983426475,18.435057852295614,10.415872772667013,334.5757215043629,2481.775903841396,0.735199736026956,0.7426141069216107
8,2304,10.757946200000333,214.16727293169848,38.25047537777896,0.0,-5.256679823117137,5.256679823117137,1.4923207057392387,0.3880247423553933,0.8131552045294247,0.09071404964832958,93.0,16.0,0.9945916642307544,2.7085943983426475,18.435057852295614,10.415872772667013,334.5757215043629,2481.775903841396,0.735199736026956,0.7426141069216107
9,2560,12.08948109999983,211.75433245021873,37.47739140999947,0.0,-5.256679823117137,5.256679823117137,1.4923207057392387,0.3880247423553933,0.8131552045294247,0.09071404964832958,93.0,16.0,0.9945916642307544,2.7085943983426475,18.435057852295614,10.415872772667013,334.5757215043629,2481.775903841396,0.735199736026956,0.7426141069216107
10,2816,13.098168299999998,214.99189317944558,35.72227718181818,0.0,-5.256679823117137,5.256679823117137,1.4923207057392387,0.3880247423553933,0.8131552045294247,0.09071404964832958,93.0,16.0,0.9945916642307544,2.7085943983426475,18.435057852295614,10.415872772667013,334.5757215043629,2481.775903841396,0.735199736026956,0.7426141069216107
