generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,512,4.402310899999975,116.30255373376808,85.84506254999951,0.0,-2.112369248036318,2.112369248036318,1.1783021968480094,0.18787595795476003,0.31579183649373926,0.24187984285129363,14.0,2.0,4.976215106009529,1.1559467628040487,22.83424924037329,15.061850706999946,221.0125888697803,2018.3266480357863,0.8260533618936952,0.917106413547998
2,768,5.394284699999844,142.37290812626597,68.32760619999803,0.0,-2.112369248036318,2.112369248036318,1.1783021968480094,0.18787595795476003,0.31579183649373926,0.24187984285129363,14.0,2.0,4.976215106009529,1.1559467628040487,22.83424924037329,15.061850706999946,221.0125888697803,2018.3266480357863,0.8260533618936952,0.917106413547998
3,1024,6.480506599999899,158.01233810949532,59.94468604999907,0.0,-2.428120283300956,2.428120283300956,1.2598132299421128,0.30070505091809235,0.7152624858543277,0.25091406760032176,51.0,9.0,0.8280942438585537,1.515628630443046,20.398510155060162,12.811999687094767,240.12451122039437,1454.6107516478764,0.8242809701459602,0.5637922007590532
4,1280,7.479907199999616,171.12511770200382,53.85533183999723,0.0,-3.110670382599257,3.110670382599257,1.3796665989668035,0.3720264875817326,0.7797566315648837,0.20758212558682887,64.0,13.0,1.7821744546807012,1.0580425862133604,22.235051777914922,14.28769395923104,245.1058727659322,1693.0594674074794,0.7600009439726083,0.7065827253035016
5,1536,9.18225910000001,167.27909583819067,53.56317808333339,0.0,-4.7154279464501645,4.7154279464501645,1.4839831122960783,0.3442477414693772,0.7111570741985611,0.23622027095938344,73.0,10.0,1.03977002065248,2.1121133455905596,16.98107387637825,11.081947668015527,290.09200759121927,1508.0389783890246,0.7617728306596627,0.561947646457997
6,1792,10.473574899999676,171.0972630749082,50.871649514284144,0.0,-4.7154279464501645,4.7154279464501645,1.4839831122960783,0.3442477414693772,0.7111570741985611,0.23622027095938344,73.0,10.0,1.03977002065248,2.1121133455905596,16.98107387637825,11.081947668015527,290.09200759121927,1508.0389783890246,0.7617728306596627,0.561947646457997
7,2048,11.559909399999924,177.16401825779133,47.68462627499969,0.0,-4.881360244431383,4.881360244431383,1.3373841937774138,0.3854804732298067,0.7237934545934885,0.2528691306710281,71.0,14.0,1.1333116860889367,1.7746716908329812,14.27937594325567,8.447746562569879,374.79624247679146,2195.440277608921,0.9448569650771499,0.6749622318964652
8,2304,12.839242300000024,179.44984183373467,45.650639288888975,0.0,-4.881360244431383,4.881360244431383,1.3373841937774138,0.3854804732298067,0.7237934545934885,0.2528691306710281,71.0,14.0,1.1333116860889367,1.7746716908329812,14.27937594325567,8.447746562569879,374.79624247679146,2195.440277608921,0.9448569650771499,0.6749622318964652
9,2560,13.819201299999804,185.2494905042042,42.83952402999939,0.0,-4.881360244431383,4.881360244431383,1.3373841937774138,0.3854804732298067,0.7237934545934885,0.2528691306710281,71.0,14.0,1.1333116860889367,1.7746716908329812,14.27937594325567,8.447746562569879,374.79624247679146,2195.440277608921,0.9448569650771499,0.6749622318964652
10,2816,15.076540300000033,186.7802522306788,41.117837181818274,0.0,-5.049115913555992,5.049115913555992,1.4906779909697123,0.37058398931906344,0.8094078935261114,0.2879866590592604,89.0,19.0,2.257551207226866,3.1330276201213807,16.860128514960632,9.836155362166224,353.8857285384082,2391.0955333177817,0.9516545228034535,0.5070341320283532
11,3072,16.14283129999967,190.3011896060676,39.01184230833254,2.750099953256306e-06,-5.049115913555992,5.049115913555992,1.4906779909697123,0.37058398931906344,0.8094078935261114,0.2879866590592604,89.0,19.0,2.257551207226866,3.1330276201213807,16.860128514960632,9.836155362166224,353.8857285384082,2391.0955333177817,0.9516545228034535,0.5070341320283532
12,3328,17.035148099999788,195.36079055280075,36.691088215384156,2.4052162669474163e-06,-5.049115913555992,5.049115913555992,1.4906779909697123,0.37058398931906344,0.8094078935261114,0.2879866590592604,89.0,19.0,2.257551207226866,3.1330276201213807,16.860128514960632,9.836155362166224,353.8857285384082,2391.0955333177817,0.9516545228034535,0.5070341320283532
