rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-5.263112190943354,5.263112190943354,True,1.4884179233321781,0.32249362075203747,0.8810396127652291,0.2502594492179972,92.0,26.0,0.9792401797532906,3.145508438688064,16.27936601547914,9.76780559207659,407.86238833333493,1172.1359411820035,0.8868725277551148,0.807257176113094
2,89,-5.221569049566249,5.221569049566249,True,1.4956003150812036,0.34448950689593655,0.836602563407011,0.27646079183254296,100.0,17.0,1.1470347263680791,2.9969379210691334,12.548292124267064,8.60095217771884,437.942741763523,1052.8446907396947,0.8675553401858846,0.8309689575484374
3,119,-5.210258001776417,5.210258001776417,True,1.487858264984617,0.3840966937865507,0.8820743242039841,0.26126723110167976,103.0,31.0,0.6552493157865973,3.0117664505243056,17.3308410119033,10.430786554879695,343.5057695152417,1288.4340673198412,0.98353734415999,0.8923728083583508
4,207,-5.190746341652003,5.190746341652003,True,1.4837862152623316,0.39340177608423343,0.8792960109880623,0.2320022967865945,107.0,30.0,0.5837013387748224,3.121250348115477,15.985828223573531,11.47654553841044,353.6376213468433,1343.7619046988634,0.8877202946815599,0.9078586811803542
5,14,-5.186817153660266,5.186817153660266,True,1.5134931905130657,0.35179592309853847,0.805896415976612,0.2352719332195788,68.0,17.0,1.3178995413844963,3.5689597945438716,17.970108577736568,10.783162102467386,329.53571647365055,1107.0246513173927,0.9647561044893527,0.9933592816992156
6,90,-5.16095088810123,5.16095088810123,True,1.4767849090354694,0.3223010052251182,0.8664581750930174,0.21096067038939728,83.0,25.0,0.5158214561511625,2.8949666274085883,17.304097949651034,9.772588131873874,408.4515670287045,1440.8401531434283,0.8150750363630475,0.8105727605706441
7,35,-5.152740415252855,5.152740415252855,True,1.5049914108446971,0.3506791425144395,0.7747153626412496,0.24508527711025277,79.0,23.0,1.0922910596261797,3.1601417982162485,13.901973606340558,10.59962696843159,350.4040054500989,1469.5372492394881,0.8603453958816125,0.8488415643271786
8,129,-5.131963623229932,5.131963623229932,True,1.5085896635767293,0.3978543185947613,0.8216299728230771,0.2909152624568184,91.0,10.0,1.5430915550338082,2.828907571346357,16.836585607153918,11.16313927302563,306.09537688604087,1319.2176779127662,0.9418129840511698,0.9118697438044086
9,220,-5.128591142335075,5.128591142335075,True,1.4440993659012096,0.34932271350228006,0.890527172214689,0.22339859126080164,85.0,21.0,0.7550457517228684,3.538124134507632,17.21301214421348,10.140969057499152,391.1885935392645,1037.17653144821,0.8265381845119519,0.8442308680635334
10,185,-5.074905528227796,5.074905528227796,True,1.4801446636447086,0.3035923228955221,0.8201185162361481,0.2612816093218622,78.0,17.0,0.9870667561417681,3.5778258260393363,13.319620370118646,9.498985373879222,400.1661710086262,1694.6770917057445,0.9764632275113175,0.9332378825229847
11,110,-5.056115477492519,5.056115477492519,True,1.4642268291837752,0.38291841763935863,0.7641925214510962,0.22892968242088016,59.0,19.0,1.1250806437825425,4.244102069087681,12.802082236649623,7.071174583321189,483.0509121176695,1231.3692675806114,0.9753601375748995,0.8902672591595743
12,131,-5.043706293706293,5.043706293706293,True,1.494346758470359,0.377012418261506,0.8338795113907771,0.18470828027382025,98.0,25.0,4.969848922114757,3.552168047537786,12.34351197263576,9.86786423591409,496.58979838822063,1324.0242073956279,0.9466599135216169,0.8990389226846055
13,6,-5.043402777777778,5.043402777777778,True,1.4965259373672517,0.36918814948446094,0.8249198411915493,0.14422096081877034,97.0,28.0,3.283386566292517,2.825798838130333,14.195348563001463,6.784936431520968,443.51011326820816,1623.328836487578,0.9941370484659213,0.5543047697140497
14,45,-5.042239651343768,5.042239651343768,True,1.4830236456425883,0.3290279243880202,0.8723349949570878,0.24993072747215425,91.0,21.0,0.8907765326866968,1.9299442604956463,16.37999578506022,9.579217401439521,334.67945636810316,1517.7298288431084,0.9385148844153345,0.6318931119885182
15,53,-5.031096466654842,5.031096466654842,True,1.4295053813329823,0.3640505153752223,0.8709611791780345,0.2953211070766637,77.0,23.0,0.7806281043535277,1.952860995376113,15.313237819508004,9.124503965553174,375.69466988202583,1714.3632270905869,0.8659860454958442,0.9194171336285045
16,248,-5.031085360465578,5.031085360465578,True,1.4476891876985352,0.35652237090953,0.8074307894892225,0.2958201142497891,78.0,23.0,0.6001323679132513,4.290532886224792,19.644663398027063,12.207236059795996,338.45040698904063,1299.9737320865588,0.9508486102111502,0.7890100932225154
17,26,-5.017776066981423,5.017776066981423,True,1.4852140769068,0.3827459754736884,0.886444542319951,0.2727316157592913,58.0,18.0,0.8296801003190679,3.7414832976642276,22.54368025575997,11.032174520973442,309.36787982391536,1670.5463061879361,0.9332244401142453,0.936510383363718
18,141,-5.016419482807783,5.016419482807783,True,1.4470348662278962,0.34722550776451583,0.8950436683897732,0.23931281705185461,94.0,22.0,4.226306623385058,3.214103401618781,16.144984625042365,9.12433849335202,424.92926621375136,2587.7463933609242,0.933170392742846,0.6058894929457678
19,55,-5.010230527415257,5.010230527415257,True,1.4665915050913514,0.34809391794635114,0.8634751683421745,0.22755271380389197,82.0,16.0,0.5166399086029054,4.244132109804994,21.111155048592035,11.354130014323697,355.2779219475291,1038.3230792838635,0.8427507216192456,0.7346950991699013
20,40,-4.996513259616103,4.996513259616103,True,1.4756443740251979,0.31657173329489074,0.8461733216048066,0.237190431723921,99.0,4.0,0.9380010754259915,3.8410797549408033,14.676561316818459,8.184123047854754,455.31363510138317,1018.8636359383275,0.921886741827731,0.9491753686438764
21,107,-4.991722629882034,4.991722629882034,True,1.4680399452550628,0.3083189287583193,0.8780560242832255,0.15618624137493056,80.0,16.0,0.6923862769250473,3.571001677761327,18.46047224643012,11.220524580244783,362.77066734455536,1826.8484146185701,0.8673767534539589,0.8372255391729497
22,153,-4.989482261436766,4.989482261436766,True,1.4993477252901681,0.3046071880955421,0.8107206530902653,0.21511519706183224,61.0,20.0,0.8501980166602352,3.1713085517049575,11.852462451672995,7.706141764763381,494.7235406895278,1336.4289890397902,0.8248682064952488,0.8344727955442903
