case,label,changed_group,percent_change,run_dir,score,ground_score,m1_score,m2_score,m3_score,ducks_num,pucks_num,payload_count,banner_length_m,wing_span_m,wing_chord_m,wing_area_m2,resolved_fuselage_width_m,m1_lap_time_s,m2_lap_time_s,m3_lap_time_s,m1_mass_kg,m2_mass_kg,m3_mass_kg,nfev,nit,success,regime
baseline,baseline,baseline,0.0,data_dump\opt_sensitivity\baseline\run_20260810_101010,5.364358508916554,0.056818181818181816,1.0,2.0,2.3075403270983723,74,21,95,1.3785309928806293,1.4545448973744872,0.3732148951151236,0.5428578213138575,0.23520000000000002,27.083629628903623,32.422060851405995,31.110562437530234,3.8315772113652766,8.73357721136526,4.0621138330005495,6480,40,False,cargo
mission_time_limit_m25,mission_time_limit -25%,mission_time_limit,-0.25,data_dump\opt_sensitivity\mission_time_limit_m25\run_20260810_101059,5.263112190943354,0.045871559633027525,1.0,2.0,2.2172406313103266,92,26,118,0.9792401797532906,1.4884179233321781,0.32249362075203747,0.48000528528762265,0.2882,27.482367176034188,34.158945110911986,32.71459015875365,3.778413283591568,9.854413283591548,3.9938219966816977,5520,40,False,cargo
mission_time_limit_m10,mission_time_limit -10%,mission_time_limit,-0.1,data_dump\opt_sensitivity\mission_time_limit_m10\run_20260810_101200,5.337600302954885,0.0556792873051225,1.0,2.0,2.281921015649763,77,19,96,1.1972904803489666,1.5185375024653969,0.34344529544356817,0.5215345611763663,0.2882,27.723820845150634,32.90328325008411,33.351692580670935,3.6348650866925354,8.250865086692519,3.857900020980803,6233,40,False,cargo
mission_time_limit_p10,mission_time_limit +10%,mission_time_limit,0.1,data_dump\opt_sensitivity\mission_time_limit_p10\run_20260810_101257,5.372068619595446,0.061124694376528114,1.0,1.9853166038750887,2.3256273213438288,72,14,86,1.9334337247847357,1.510244118784537,0.39221808803870994,0.5923450607413775,0.23520000000000002,27.354395873508235,31.354983803248516,40.92888144449772,3.753808546576693,7.429808546576678,4.013877006616379,7354,40,False,cargo
mission_time_limit_p25,mission_time_limit +25%,mission_time_limit,0.25,data_dump\opt_sensitivity\mission_time_limit_p25\run_20260810_101349,5.3484030856336355,0.05868544600938967,1.0,2.0,2.2897176396242456,76,13,89,1.305507558845128,1.4864123601702584,0.3665184509868365,0.5447975557772908,0.2882,27.778903633856274,31.794896758103388,30.758806759268463,3.8663590111796293,7.444359011179613,4.093746152337216,6523,40,False,cargo
ground_best_time_m25,ground_best_time -25%,ground_best_time,-0.25,data_dump\opt_sensitivity\ground_best_time_m25\run_20260810_101445,5.240225621955496,0.043503480278422275,1.0,1.9718830627044035,2.2248390789726704,77,13,90,1.129695510289582,1.43269163380825,0.35553892637097084,0.5093776453048573,0.2882,28.439838324518107,32.773502634130864,36.2209791681717,3.5636166956171187,7.159616695617102,3.7841241013695774,5018,40,False,cargo
ground_best_time_m10,ground_best_time -10%,ground_best_time,-0.1,data_dump\opt_sensitivity\ground_best_time_m10\run_20260810_101544,5.330508387225379,0.06446991404011461,1.0,1.99566431604438,2.2703741571408838,57,19,76,1.564331697972924,1.4782519694666014,0.39660492674091286,0.5862820140549116,0.23520000000000002,27.706244430648646,32.54779154869905,39.20111258470013,3.4174378755081607,7.673437875508148,3.6567607819273955,4728,40,False,cargo
ground_best_time_p10,ground_best_time +10%,ground_best_time,0.1,data_dump\opt_sensitivity\ground_best_time_p10\run_20260810_101625,5.325038836776216,0.05623721881390594,1.0,2.0,2.2906010500583367,82,24,106,1.3171016800346882,1.52164271633661,0.3840067722811191,0.5843211080654961,0.23520000000000002,29.55532504314065,35.364513289412024,33.05821735230221,4.22651729870758,9.782517298707562,4.454393046478834,5520,40,False,cargo
ground_best_time_p25,ground_best_time +25%,ground_best_time,0.25,data_dump\opt_sensitivity\ground_best_time_p25\run_20260810_101743,5.422189384574664,0.06868131868131869,1.0,2.0,2.3646503876389655,80,16,96,1.8541109227220036,1.5046068519224818,0.38816507676010475,0.5840358341702697,0.2882,27.18349016133788,31.612532021492164,36.59407348172361,3.878139039583215,8.038139039583198,4.1333797612456555,5994,40,False,cargo
m2_best_profit_m25,m2_best_profit -25%,m2_best_profit,-0.25,data_dump\opt_sensitivity\m2_best_profit_m25\run_20260810_101819,5.357750361584526,0.0496031746031746,1.0,2.0,2.3081471869813512,91,14,105,1.7825108283025188,1.4770022594362928,0.38873569094094507,0.5741634938433043,0.2882,30.607079498201117,35.36956283844184,42.15097389121346,3.8262182064099686,7.844218206409949,4.077274851289463,6183,40,False,cargo
