rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,-6.728341951881326,6.728341951881326,6.677418856950614,True,1.672950814759496,0.324027226343751,0.7248356385156514,0.1310514657590983,0.0,0.4534491022550081,8.895119597012544,3.060014311978376,23.3260300444541,13.03329132718703,346.8297065710284,1829.8959489911795,0.9365161541239633,0.7588596186841863,6
2,2560,-6.620909866194299,6.620909866194299,6.610821428571429,True,1.6798952059979717,0.29796869098252443,0.8545346164259084,0.1813813295032291,1.0,0.2701600471249577,7.42371153475512,1.9659827076144936,20.374207298938245,13.147087749980031,298.8795818367796,1991.597674377471,0.8376945576196355,0.6830123288804764,8
3,413,-6.600239234294997,6.600239234294997,6.5924248704663215,True,1.7675685188491301,0.3062955370150655,0.8945859834220937,0.19488425267735796,0.0,0.3521601941992948,8.583487566577436,3.2601565853222607,20.90075764755029,13.008326638450805,303.58486256479443,1953.752651869664,0.9427988028543505,0.8692858049299499,6
4,1536,-6.459262037346873,6.459262037346873,6.428729687121028,True,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6
5,1024,-6.286203366410964,6.286203366410964,6.285151892433037,True,1.7045695202658144,0.25644727548374563,0.8906209263950586,0.28966398478055577,2.0,0.22019077024995337,5.170322793447118,2.62615620411962,13.282892103851184,9.785678798819502,439.71917189890735,2230.582869740263,0.9039164559210884,0.6892427742785138,8
6,2904,-6.294096409157834,6.294096409157834,6.259393483709273,True,1.6815101798128618,0.38197329882679915,0.8029381291301434,0.1913632739380271,0.0,0.47377808885824935,7.6756663491559864,3.2186729767958853,16.867395956780495,11.933468376486744,220.5149243522201,1592.5316598555373,0.9437743413352002,0.9554664395104692,8
7,1566,-6.169760563943188,6.169760563943188,6.131552845153555,True,1.6965321954407817,0.3684760537320624,0.8700078199210557,0.09682187101548313,1.0,0.4685919938389084,5.239047964452453,1.9708389976437402,21.38292841983381,12.215983326383142,301.78986759856343,1105.8339426298503,0.967207408934535,0.9434763193130493,6
8,1349,-6.1217504581542865,6.1217504581542865,6.118857142857142,True,1.6889957512398799,0.34960909314147115,0.824959320452284,0.21351990224990164,2.0,0.3785806733718309,4.1385913107125765,1.4850168130763453,15.315704767375134,8.682203345613262,445.1166821891285,2755.5880076152375,0.9673120277583571,0.8655686491165853,6
9,1623,-6.093180461673114,6.093180461673114,6.071357142857143,True,1.5929263965253067,0.39614801767748875,0.7832556732693634,0.13215025873157504,3.0,0.43115838579492227,3.817921911247402,2.638042386846776,17.670342418032888,9.035467785599046,496.06716959667017,1954.4750061566438,0.9605981071106382,0.7432872561210051,6
10,1502,-6.051404320896522,6.051404320896522,6.032678571428572,True,1.7873829874156255,0.327754584922931,0.8844569033011795,0.08133347876369953,3.0,0.5100107799441451,3.562135902083323,2.0473843133077025,15.512951486743987,9.078178243256943,482.14833779233373,2101.576774097435,0.9391288138402947,0.8080763278289635,6
11,3023,-5.912186827612505,5.912186827612505,5.90365967009436,True,1.5388081440097072,0.354257283445039,0.8331922861812685,0.15666184064293429,0.0,0.4208158498089589,5.5116499107902275,2.188578483409683,19.53139041996628,15.035480731366706,221.34675017935433,1884.4322972581233,0.8328799278694512,0.8959340574219823,8
12,2048,-5.875990931584447,5.875990931584447,5.866962550548648,True,1.8021886754855951,0.3141403581424506,0.8151211146265269,0.22724112828597007,1.0,0.284200858207047,3.973042518609775,4.301798672917416,17.589456889305023,9.326760973232325,421.6715828515589,2879.454266299971,0.945398323019448,0.8112588729709387,6
13,1154,-5.814270038962927,5.814270038962927,5.811644037780401,True,1.7647441109019093,0.2777004343714521,0.7964595065279455,0.1680627266268927,0.0,0.16191722193115365,5.21530694694735,2.270637851601512,24.028277277165618,13.532014250953136,307.72125104076815,1223.2332510354186,0.9383307549002795,0.7955710740641384,6
14,2028,-5.8454380105361,5.8454380105361,5.80574846766779,True,1.4877379031827087,0.35938201505690814,0.7156897245779853,0.2254633037536521,0.0,0.1708891387659045,5.438787717780686,3.498300324372101,12.731931314190073,9.372774000863727,412.8932195715606,2633.511900067198,0.9045212851368846,0.9872138745084187,6
15,2895,-5.80582755553311,5.80582755553311,5.7938214285714285,True,1.6582556869986083,0.39081546082562746,0.8560543283735704,0.19664186087113997,5.0,0.28139510621138697,1.9619627149718886,2.2980199127238876,18.472087904818274,13.656858481693241,445.3899307471961,2682.191233995405,0.6698468711452573,0.5958179038217899,6
