generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,1024,10.41384900000412,98.33059803340674,281.17392300011124,8.85444919448819e-06,-1.607671817374948,1.607671817374948,1.657012007587403,0.33411053612828256,0.8784750094637275,0.2944793393276632,1.0,0.4595357725001871,5.4549006869101415,4.495527850929648,24.434928577393293,12.512812356848842,399.2749959230423,2188.5077580809593,0.8623110074549913,0.956887086853385,6.0
2,0,1536,13.56189649994485,113.25849596376482,239.59350483235903,7.0816402264434e-06,-1.607671817374948,1.607671817374948,1.657012007587403,0.33411053612828256,0.8784750094637275,0.2944793393276632,1.0,0.4595357725001871,5.4549006869101415,4.495527850929648,24.434928577393293,12.512812356848842,399.2749959230423,2188.5077580809593,0.8623110074549913,0.956887086853385,6.0
3,0,2048,16.229240100015886,126.191983566624,210.98012130020652,6.0444958909151255e-06,-3.4106216023238236,3.4106216023238236,1.4651924744327947,0.39170429830286957,0.7507302033740423,0.14244461289953575,1.0,0.29914150680750734,7.818391624618555,2.9946492758079053,23.30356637459278,12.919595936345154,483.74875262379646,2494.585368782282,0.7137089915340573,0.8269177567311596,6.0
4,0,2560,20.647659500013106,123.98499694352162,210.60612690013366,5.109852144151877e-06,-3.5474241115000384,3.5474241115000384,1.6538540325260944,0.36298626902650516,0.8776051962143746,0.096465712128834,2.0,0.4200284041095297,5.107341883113685,2.627019564620372,22.751447072771846,10.525626260639289,263.8405625527152,2387.513691329989,0.8188711725788811,0.7993500961765585,8.0
5,0,3072,24.83788020000793,123.68205238380283,206.9823350000661,3.946810594863313e-06,-5.575050253834115,5.575050253834115,1.4594673715701878,0.3549280779779055,0.657538202404976,0.10980416741821243,4.0,0.2318141389144019,1.5802485779874642,1.8772613877722004,24.755526853874393,12.81886876145029,336.4660254851521,2201.8006092372643,0.9577329960009014,0.7619245602752885,6.0
6,0,3584,28.478266099933535,125.85035856548741,199.34786269953474,3.2899766920262165e-06,-6.728341951881326,6.728341951881326,1.672950814759496,0.324027226343751,0.7248356385156514,0.1310514657590983,0.0,0.4534491022550081,8.895119597012544,3.060014311978376,23.3260300444541,13.03329132718703,346.8297065710284,1829.8959489911795,0.9365161541239633,0.7588596186841863,6.0
7,0,4096,32.5078380999621,126.00038142815703,195.0470285997726,2.9895460635789066e-06,-6.728341951881326,6.728341951881326,1.672950814759496,0.324027226343751,0.7248356385156514,0.1310514657590983,0.0,0.4534491022550081,8.895119597012544,3.060014311978376,23.3260300444541,13.03329132718703,346.8297065710284,1829.8959489911795,0.9365161541239633,0.7588596186841863,6.0
8,0,4608,36.83438070002012,125.10051512817978,192.3573214334384,2.582186359308834e-06,-6.728341951881326,6.728341951881326,1.672950814759496,0.324027226343751,0.7248356385156514,0.1310514657590983,0.0,0.4534491022550081,8.895119597012544,3.060014311978376,23.3260300444541,13.03329132718703,346.8297065710284,1829.8959489911795,0.9365161541239633,0.7588596186841863,6.0
9,0,5120,41.29303780000191,123.99184639304409,189.9479738800088,2.313148164666269e-06,-6.728341951881326,6.728341951881326,1.672950814759496,0.324027226343751,0.7248356385156514,0.1310514657590983,0.0,0.4534491022550081,8.895119597012544,3.060014311978376,23.3260300444541,13.03329132718703,346.8297065710284,1829.8959489911795,0.9365161541239633,0.7588596186841863,6.0
10,1,5632,51.80742359999567,108.7102891563299,211.93946018180048,8.924836678511383e-06,-2.861926770425396,2.861926770425396,1.5841204339258372,0.34567254949361087,0.8644241491332652,0.1645222246646881,1.0,0.6192931229989975,1.333373926112973,2.4163166088983417,15.740694613195956,11.750180217259576,340.37226159125566,1466.7822625488043,0.8432127665728331,0.7797898650169373,6.0
