extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,6.728341951881326,-6.728341951881326,6,0,1.672950814759496,0.324027226343751,0.7248356385156514,0.1310514657590983,0.4534491022550081,8.895119597012544,3.060014311978376,23.3260300444541,13.03329132718703,346.8297065710284,1829.8959489911795,0.9365161541239633,0.7588596186841863,6
1,6.620909866194299,-6.620909866194299,47,0,1.6798952059979717,0.29796869098252443,0.8545346164259084,0.1813813295032291,0.2701600471249577,7.42371153475512,1.9659827076144936,20.374207298938245,13.147087749980031,298.8795818367796,1991.597674377471,0.8376945576196355,0.6830123288804764,8
2,6.286203366410964,-6.286203366410964,24,0,1.7045695202658144,0.25644727548374563,0.8906209263950586,0.28966398478055577,0.22019077024995337,5.170322793447118,2.62615620411962,13.282892103851184,9.785678798819502,439.71917189890735,2230.582869740263,0.9039164559210884,0.6892427742785138,8
3,6.093180461673114,-6.093180461673114,32,87,1.5929263965253067,0.39614801767748875,0.7832556732693634,0.13215025873157504,0.43115838579492227,3.817921911247402,2.638042386846776,17.670342418032888,9.035467785599046,496.06716959667017,1954.4750061566438,0.9605981071106382,0.7432872561210051,6
4,5.575050253834115,-5.575050253834115,5,0,1.4594673715701878,0.3549280779779055,0.657538202404976,0.10980416741821243,0.2318141389144019,1.5802485779874642,1.8772613877722004,24.755526853874393,12.81886876145029,336.4660254851521,2201.8006092372643,0.9577329960009014,0.7619245602752885,6
5,5.80582755553311,-5.80582755553311,47,335,1.6582556869986083,0.39081546082562746,0.8560543283735704,0.19664186087113997,0.28139510621138697,1.9619627149718886,2.2980199127238876,18.472087904818274,13.656858481693241,445.3899307471961,2682.191233995405,0.6698468711452573,0.5958179038217899,6
6,5.2885344270311005,-5.2885344270311005,28,505,1.34159728618823,0.385344743240309,0.7953293476809512,0.25433617446183054,0.2627871510531753,0.7239500482526013,2.6138706074076143,14.606360135518655,10.367552844400784,359.95620334509954,2578.742366963378,0.957855173225642,0.8217980813791932,8
7,-2.0870207637847327,2.0870207637847327,35,415,1.0232992056936026,0.36777512401342394,0.7976242074742914,0.2573615965247154,0.3398085103478282,0.9658080658334658,1.720220304094255,19.363170759752393,12.147330816241062,441.97353441268206,1899.160599336028,0.6174373012036085,0.5131114195100963,6
8,0.5322857142857143,-0.5322857142857143,6,345,1.0398179324434238,0.3868423466011882,0.8714204496811465,0.22400368737056847,0.22858145121674012,0.5118038929241866,2.8416057161431807,21.243033494458714,10.221487831773185,260.2758920751512,1454.3232880532742,0.8678090436488022,0.824683268348344,6
9,0.5334285714285715,-0.5334285714285715,1,501,1.3494905789222569,0.35818680793046953,0.5419623015448451,0.2040725065767765,0.17457293531633905,0.5287437298503086,4.476469269488007,12.678294638171792,8.092447349540667,361.20655480772257,1188.8686008751392,0.9316043108701706,0.76396006019786,6
10,-6.348872542331466,6.348872542331466,21,19,1.3931962109626361,0.3128460751080503,0.6508256929733047,0.17204226214040155,0.18210732523167744,1.4092919543396514,1.802349667067778,24.493433539574063,13.208081443542007,246.98280384764075,1714.915942192501,0.8926895734938933,0.6033848808147013,6
