extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,7.229531550824985,-7.229531550824985,88,0,1.7083958638898031,0.39419421943651445,0.7675520608196428,0.28965551943374684,14.573582130610939,12.973052914518941,2.6115012009206993,16.69771989623217,13.178447039500849,317.45732873612707,2787.4563046979274,0.8307756650925899,0.7044518959200647,8
1,6.089880535358727,-6.089880535358727,96,487,1.6563545578052374,0.36897844649550565,0.8900613256042883,0.1818186441450907,8.734557904558232,6.862410335777745,2.9086527640425186,20.052051904891112,10.679287746884945,414.96047811950984,2566.476934875347,0.7274853581657701,0.5630350711454163,8
2,2.2482007887915803,-2.2482007887915803,14,193,1.8151392197426408,0.16439795916166206,0.6869674491563877,0.2580539169099328,6.494573471297419,6.273951938118288,2.9493230017287884,22.544612308868746,11.599555400579455,299.159824371702,1792.5585322082043,0.9129531903530066,0.6936351056210697,8
3,-7.505428571428571,7.505428571428571,51,264,1.0637957492489367,0.2975073908641934,0.8870574094355108,0.15742360953241585,15.789441566938706,6.621358202718062,2.0602913913317025,17.8893740195781,12.475924191230389,387.36149799078703,1459.3077450990677,0.989500405266881,0.5554469106718898,6
4,-7.500285714285714,7.500285714285714,21,99,1.341190109122172,0.20023144662380218,0.36064812205731867,0.15582957994192836,15.873258074777883,10.348745092792187,3.378378378378378,12.059243870899081,9.31367978379784,370.29919475317,1247.432017698884,0.7940050545148551,0.7802578005939722,8
5,-7.501428571428571,7.501428571428571,27,240,1.486137388798883,0.24278610013641352,0.3866832077861915,0.2829608686573471,15.852354333660994,14.73248433704417,2.9509975370920345,21.866239512757588,14.572202846074873,298.1797205954663,2674.0063466131687,0.6327712213353983,0.5091759543065668,8
6,-7.5362857142857145,7.5362857142857145,53,351,1.123383135893578,0.27455641411923826,0.7704498039280819,0.2236618352521823,15.297920041911693,6.8555410843158455,2.6827919855918596,19.619424065739096,10.787573448735783,284.8818943102496,1999.942641831444,0.9387469725024883,0.5079374524729391,8
7,-7.543142857142858,7.543142857142858,1,16,1.7167768224865196,0.25952531352639197,0.805020353011787,0.276055866535753,15.192775145969375,5.650374030765454,2.1787815233692527,16.244307784363627,9.395965121842067,423.91599752008915,1993.0394552648067,0.8935510599985719,0.673604897223413,6
8,-7.5122857142857145,7.5122857142857145,11,108,1.2174713961184025,0.3778045289218426,0.7833863396197558,0.09990222765132785,15.678808762693993,9.732590764616512,4.063122077379376,13.9785180054605,8.133074875599231,433.45916951075196,2280.1672238856554,0.9260791628621519,0.8246763269416988,6
9,-7.5442857142857145,7.5442857142857145,33,354,0.9971254968229681,0.16184905518052906,0.8384034113958478,0.23488880771662918,15.173879182853643,14.59742354641105,2.6469291696644865,20.961021486861007,14.700790832204639,408.0419293604791,1444.9207559227943,0.9892241642810404,0.7406630171462893,8
10,-7.522571428571428,7.522571428571428,11,61,1.5701631113760173,0.15214211270213127,0.8989532344043256,0.27824484499171376,15.515939746199717,15.40926862517744,3.231700996402651,13.107176437042654,10.14269925167698,398.505702894181,1260.139899328351,0.8689479413442314,0.6233344115316868,6
