extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,7.5,-7.5,211,0,1.730458842000902,0.38820463432946867,0.4614396055730682,0.15101786738432377,0.4851273221243006,16.57701424824319,15.774418201764057,2.46279785015052,17.290072975554903,12.3992074968126,279.3778677418744,2966.4808339465308,0.9815366726959506,0.8723014532434628,8
1,3.062486918972852,-3.062486918972852,181,321,1.7525024396325355,0.34584631101955166,0.4120260642141371,0.1513912006048066,0.3070148657168881,7.385983356039684,4.090655997863171,2.941418835049993,18.495451326143897,14.198930938226255,314.6359072014199,2026.0960718621122,0.7000015833372027,0.6856110237105498,8
2,2.5400201185865807,-2.5400201185865807,122,420,1.7097697669608933,0.3437936293875262,0.30553704504781565,0.20733597351073715,0.3306066989287794,5.989268357064787,4.018009714701478,2.8789805688220635,17.903476171882705,10.199664826800472,381.51964507997036,2482.9789301016494,0.9057782783536723,0.8232246584527916,8
3,-2.04136056821638,2.04136056821638,272,224,1.7475089319025592,0.3543928945801974,0.574333612754367,0.1529849513912212,0.46871564586242886,4.7152613497027165,1.9222902385307723,4.287007759123631,21.616699369361868,9.472515137064192,451.21448055557033,2063.9763745108808,0.7847339753061533,0.7087332491629073,6
4,-2.110134686876492,2.110134686876492,33,207,1.6044606020285241,0.29931622836738825,0.5239185813814402,0.18760515971084585,0.28194811450835466,3.252391168174765,1.9973885959824624,3.0292672610186897,15.229520532795593,11.893144983060276,303.20325568318367,1486.5761063992977,0.9582450801131441,0.8774376805561932,8
5,-2.5229424311411943,2.5229424311411943,51,402,1.7556459877088666,0.2622331645339727,0.3035158585757016,0.22635046362876893,0.05487257224675268,1.9643768156229005,1.585956835956054,3.378378378378378,22.84793859347701,10.541655205015333,313.72488578781486,1142.0207805931568,0.770301153883338,0.7442134087905288,8
6,-2.389686642814411,2.389686642814411,163,390,1.6677169751856475,0.30794311306040173,0.5783362639691882,0.24948358537629245,0.12334534508958458,1.8912173366169238,1.6373461999980137,3.013395855112482,16.116604055278003,10.754206174277506,427.01564732076656,2673.045374453068,0.8980962046258147,0.9492006704139762,6
7,-3.8250912941616386,3.8250912941616386,43,33,1.6800765331091339,0.3419674413161081,0.8777045024558903,0.2794958960818419,0.18264587246158306,1.6525230609442616,0.9020490004298498,3.378378378378378,15.645135592024896,10.884163666935066,467.8215957321729,2081.3367298922644,0.9063532181279821,0.7152426932007074,6
8,-9.914521378774268,9.914521378774268,94,55,1.6974897942215863,0.38254981756210327,0.649289813029781,0.2647547197059273,0.21943010333813723,1.9806569364091935,1.9751191802552874,3.2479518381056502,19.23607975122811,15.192876088321203,297.20064513385296,2879.1868425905704,0.8576564446175854,0.837805947065984,8
9,-4.434047934720374,4.434047934720374,31,109,1.2718261682882905,0.3959316870197654,0.668806379288435,0.12887101968750359,0.1882415935438126,0.10182248517317305,0.05891214538221945,2.160390696488321,14.340705364011228,11.216277791817205,426.76495807245374,2019.3448550999165,0.8475527637638152,0.7858977140858769,8
10,-13.6735750233317,13.6735750233317,21,171,1.3142480510056018,0.22401599492877722,0.5930021982640028,0.2880935126170516,0.2621201414065435,0.32790635282511715,0.07102723752846529,1.896302382927388,14.379753088578582,8.061800014893041,454.7394333407283,2129.5921579003334,0.7155106556601822,0.7908718250691891,8
