rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
1,2560,-5.696825380866448,5.696825380866448,5.696825380866448,True,1.4722640556614277,0.3803528538255275,0.6653600518525459,0.14153360944038684,0.0,0.270038733371907,0.08336461042812249,6.770552435187966,5.5660348810623645,3.34289035714576,22.0,13.0,20.0,15.0,217.69406165510617,1505.4975711502334
2,3072,-5.696825380866448,5.696825380866448,5.696825380866448,True,1.4722640556614277,0.3803528538255275,0.6653600518525459,0.14153360944038684,0.0,0.270038733371907,0.08336461042812249,6.770552435187966,5.5660348810623645,3.34289035714576,22.0,13.0,20.0,15.0,217.69406165510617,1505.4975711502334
3,2745,-5.5974094524100995,5.5974094524100995,5.5974094524100995,True,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027543,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
4,3073,-5.5974094524100995,5.5974094524100995,5.5974094524100995,True,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
5,3053,-5.483638639286562,5.483638639286562,5.483638639286562,True,1.511241331499825,0.3932528816839837,0.6671989807821589,0.2324754148192642,0.0,0.17591804949366566,0.08237274558304176,5.514015216668064,2.5998757607494483,2.872783620409488,22.0,13.0,22.0,13.0,217.8543075481008,1167.3499437226337
6,3074,-5.483638639286562,5.483638639286562,5.483638639286562,True,1.511241331499825,0.3932528816839837,0.6671989807821589,0.2324754148192642,0.0,0.17591804949366568,0.08237274558304176,5.514015216668064,2.5998757607494483,2.872783620409488,22.0,13.0,22.0,13.0,217.8543075481008,1167.3499437226337
7,3075,-5.483638639286562,5.483638639286562,5.483638639286562,True,1.511241331499825,0.3932528816839837,0.6671989807821589,0.2324754148192642,0.0,0.17591804949366566,0.08237274558304176,5.514015216668064,2.5998757607494483,2.872783620409488,22.0,13.0,22.0,13.0,217.8543075481008,1167.3499437226337
8,0,-5.396849599688652,5.396849599688652,5.396849599688652,True,1.406652922842622,0.34020922121262676,0.567853649962652,0.0892358241654255,0.0,0.48388556227505153,0.0805899595460716,5.298861621382763,2.8410656708179545,2.916108348166104,14.0,10.0,22.0,13.0,347.4616804085232,1268.0779134775298
9,3076,-5.396849599688652,5.396849599688652,5.396849599688652,True,1.406652922842622,0.34020922121262676,0.567853649962652,0.0892358241654255,0.0,0.48388556227505153,0.0805899595460716,5.298861621382763,2.8410656708179545,2.916108348166104,14.0,10.0,22.0,13.0,347.4616804085232,1268.0779134775298
10,295,-5.129805689119659,5.129805689119659,5.129805689119659,True,1.5125774147180708,0.33379229228943585,0.5661702223728592,0.2330851153131808,0.0,0.3343791476250167,0.1070939516746188,3.6337728621012104,1.189871327145248,2.2129797836815985,15.0,10.0,16.0,12.0,291.61312878131866,1561.5803987694267
11,3077,-5.129805689119659,5.129805689119659,5.129805689119659,True,1.5125774147180708,0.33379229228943585,0.5661702223728592,0.2330851153131808,0.0,0.3343791476250167,0.1070939516746188,3.6337728621012104,1.189871327145248,2.2129797836815985,15.0,10.0,16.0,12.0,291.61312878131866,1561.5803987694267
12,2740,-5.064640813259919,5.064640813259919,5.064640813259919,True,1.6489866924818217,0.3624980868014864,0.8305373057370504,0.1821197146172145,0.0,0.3394875415102505,0.11238046532867382,3.6019012465021873,0.18408435567972248,2.4416005147457374,20.0,15.0,21.0,13.5,248.79217739720238,2510.6628562534743
13,3078,-5.064640813259919,5.064640813259919,5.064640813259919,True,1.6489866924818217,0.3624980868014864,0.8305373057370504,0.1821197146172145,0.0,0.3394875415102505,0.11238046532867382,3.6019012465021873,0.18408435567972248,2.4416005147457374,20.0,15.0,21.0,13.5,248.79217739720238,2510.6628562534743
14,2756,-5.013201093018148,5.013201093018148,5.013201093018148,True,1.4399372461902455,0.3774844436584023,0.7148556700976131,0.26982481837712646,0.0,0.31425950896558086,0.0801132436088695,2.5491309575086802,1.448319850849927,2.505080773526336,18.0,12.0,18.0,12.0,238.75574299578125,1092.0318149522357
15,3079,-5.013201093018148,5.013201093018148,5.013201093018148,True,1.4399372461902455,0.3774844436584023,0.7148556700976131,0.26982481837712646,0.0,0.31425950896558086,0.0801132436088695,2.5491309575086802,1.448319850849927,2.505080773526336,18.0,12.0,18.0,12.0,238.75574299578125,1092.0318149522357
16,3080,-4.9955677543397865,4.9955677543397865,4.9955677543397865,True,1.2492867483008654,0.392762570604682,0.7148556700976131,0.25833244212042916,0.0,0.3210165144771337,0.04759915852332487,2.5491309575086802,1.448319850849927,2.505080773526336,20.0,15.0,19.0,10.0,260.0567811466857,2194.3169362933754
