extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
0,5.696825380866448,-5.696825380866448,99,0,1.4722640556614277,0.3803528538255275,0.6653600518525459,0.14153360944038684,0.270038733371907,0.08336461042812249,6.770552435187966,5.5660348810623645,3.34289035714576,22.0,13.0,20.0,15.0,217.69406165510617,1505.4975711502334
1,0.3961777158292721,-0.3961777158292721,44,0,1.80392284203656,0.3554246959038724,0.5945660440251231,0.21076684304785004,0.34656712419949465,0.045219935841662784,2.968145204058956,1.856429992355018,2.9491332964876467,15.0,10.0,21.0,13.5,330.01605313932487,1269.4601844996214
2,-5.401838237411343,5.401838237411343,75,0,1.7411838875152297,0.20495770185517018,0.6054394180175604,0.14875675384468715,0.22002293590757419,0.07884220173938242,0.5215768428604193,0.19338100110683598,2.83867575884751,20.0,12.0,16.0,12.0,231.97328730311293,2869.2939006231013
3,-5.672137947841518,5.672137947841518,5,51,1.7080232994641813,0.3443887193220944,0.5368049305245168,0.1349346349748976,0.45278766864329456,0.09667288682757982,1.365455781815207,0.3433305233959274,2.244300728807726,20.0,15.0,22.0,13.0,242.11726394203512,1317.146400374077
4,-5.435942975845,5.435942975845,21,0,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
5,-15.256380893402433,15.256380893402433,25,508,1.6773383183485855,0.3590181301534176,0.3030407996848225,0.21989930840786137,0.22524319620759656,0.04523797408834027,0.8923348647983502,0.38738962874200666,2.046076780798315,15.0,8.0,18.0,12.0,346.15989035930767,2800.511461396939
6,-5.926960786888625,5.926960786888625,59,314,1.6176668965224177,0.39302580781281,0.807454761194945,0.08008671456947923,0.18001566706316915,0.05841590455025883,0.23022754995011496,0.22993183385927551,1.3467565168802802,16.0,12.0,21.0,12.0,248.01928166243678,2516.1593724042177
7,-26.798871497597375,26.798871497597375,37,165,1.3094183817761311,0.3838812763109143,0.8932691708207132,0.25024542100727554,0.16047797864216484,0.1051717280931415,0.7673192776798885,0.21125021569992697,3.263631109960089,13.0,10.0,22.0,10.0,521.7753791641122,1290.773839168216
8,-32.613798297704605,32.613798297704605,1,345,1.2659354393336921,0.39420133251696826,0.8640687324106695,0.2798592145182192,0.1636529284022748,0.02875378856090828,0.8342063066199898,0.601276853080968,2.3264295730639146,15.0,6.0,19.0,10.0,256.47643208503723,2801.8425907939672
9,-23.755047619047623,23.755047619047623,21,290,1.5443611391615124,0.39652341529726987,0.8553913984447719,0.09899324445053935,0.17264246218800539,0.06377540210857988,1.2437520431704527,0.5374013750335962,1.2544422296656141,21.0,13.0,15.0,10.0,336.7399183101952,1880.689987912774
10,-28.26140875717706,28.26140875717706,43,353,1.5712127970295735,0.3083693162351847,0.8950577964191424,0.1824165709984679,0.3152105310056358,0.013055731015652411,0.3312551541333022,0.1860046959453001,3.3770310090016054,16.0,12.0,24.0,12.0,447.0179223949335,2112.908089471798
