extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
0,-28.5,28.5,2,384,1.0763212540545528,0.3038690581209012,0.7212441187617611,0.2173453241214156,19.674434921863465,1.8711667094517628,15.513178324167232,7.769920581306931,267.4819464763592,1919.4031054392742,0.7493567385772495,0.8835173704390991
1,-28.5,28.5,1,166,1.0159861064758153,0.39427348699502357,0.8074335749422994,0.10446272028477586,20.803259315771488,1.182580228759903,20.21175051573664,9.978089875433199,333.36434246550107,2242.43751811727,0.814908514264971,0.9795619823321067
2,-28.5,28.5,1,3,1.0320056360966336,0.3442017530948439,0.8466563898214341,0.12730034910142424,19.165626998835727,2.0707328827120364,12.85685851238668,6.471303342493703,250.62289591878653,1332.6680584720953,0.7005091795489862,0.8439588522466648
3,-28.5,28.5,1,14,1.07450568338048,0.363497994315272,0.8085935358172384,0.10752046758309008,21.387982245628873,1.4055091470984422,19.854507903793845,14.866463986409407,438.2932172603687,1849.0508484581742,0.8295806801392466,0.7204812164418399
4,-28.5,28.5,1,144,1.2532941611725839,0.3729149773943151,0.8946678115152646,0.13300165378657725,18.744083773162057,4.138099251211983,19.592843555107194,9.03403767105192,473.5949104600949,1797.1573815725271,0.9357473472985395,0.7652674657292664
5,-28.5,28.5,1,0,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
6,-28.5,28.5,1,437,1.2077250890356983,0.299397431918648,0.8769650512370782,0.09197348678035988,18.730263204801734,2.9527166852460183,22.009670497958396,12.67714790172662,485.39798064157367,2428.906239569187,0.7683949180324541,0.9674773499600116
7,-28.9735,28.9735,1,230,1.0261600903198125,0.39164881300181154,0.868961600214243,0.12926018016412855,9.553775021255888,1.7481948444619775,18.337770397774875,9.582397198304534,478.48614482209086,1385.1711060851812,0.8076201458461583,0.6697756587527692
8,-29.1765,29.1765,1,131,1.3905025921631835,0.36792874345852433,0.6144331957778251,0.16781975273672486,5.868262459562768,1.4967592161496825,21.65103378785152,10.4275360731408,333.9165924529708,1440.1467446638344,0.7380281174339856,0.89336955910596
9,-29.66945484681836,29.66945484681836,2,257,1.4116116745595515,0.36983420054576227,0.7868015349807507,0.12950572457164528,7.767853083357143,2.066398150929773,19.486772978517784,13.458485856914642,374.8802821749355,1728.4907863003148,0.8474640738999528,0.5943618822752023
10,-38.6435,38.6435,1,115,1.5106966602299363,0.19086440641433,0.830732055567205,0.27598103687167164,15.54145438342346,3.7024774635210633,14.027542751282454,9.537286764010787,226.32517432793975,2365.797832608223,0.8390837339684367,0.7774035311304033
