rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,512,-5.974254234460282,5.974254234460282,5.974254234460282,True,1.7386498336595917,0.38261480892652766,0.5617099118342356,0.16047464233923972,0.0,0.5365480814874165,0.0637116468495907,8.880452507792207,3.821238842987988,3.348323508440957,20.0,13.0,22.0,13.0,218.57340895813334,2287.910729928571,22.4875969306977
2,3072,-5.974254234460282,5.974254234460282,5.974254234460282,True,1.7386498336595917,0.38261480892652766,0.5617099118342356,0.16047464233923972,0.0,0.5365480814874165,0.0637116468495907,8.880452507792207,3.821238842987988,3.348323508440957,20.0,13.0,22.0,13.0,218.57340895813334,2287.910729928571,22.4875969306977
3,689,-5.896564669986528,5.896564669986528,5.896564669986528,True,1.7667614146043573,0.3280191560144432,0.5843542778528665,0.19560990234745396,0.0,0.49167979439143605,0.07250546521428486,8.512628150037159,2.9450198893153896,3.265001735620162,19.0,12.0,20.0,15.0,247.29529225887333,1894.4073943586225,22.41852527451198
4,3073,-5.896564669986528,5.896564669986528,5.896564669986528,True,1.7667614146043573,0.3280191560144432,0.5843542778528665,0.19560990234745396,0.0,0.49167979439143605,0.07250546521428486,8.512628150037159,2.9450198893153896,3.265001735620162,19.0,12.0,20.0,15.0,247.29529225887333,1894.4073943586225,22.41852527451198
5,630,-5.807394372688356,5.807394372688356,5.807394372688356,True,1.67679351204877,0.3218452134122659,0.5034463231358678,0.136051164008677,0.0,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,11.0,243.61560040831407,1780.8928825793532,31.082196753969484
6,3074,-5.807394372688356,5.807394372688356,5.807394372688356,True,1.6767935120487703,0.3218452134122659,0.5034463231358678,0.136051164008677,0.0,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,11.0,243.61560040831407,1780.8928825793532,31.082196753969484
7,3075,-5.807394372688356,5.807394372688356,5.807394372688356,True,1.67679351204877,0.3218452134122659,0.5034463231358678,0.136051164008677,0.0,0.6084749431871136,0.05984750441946089,7.8649831636820196,4.008351538705568,3.0899222376021385,20.0,15.0,20.0,11.0,243.61560040831407,1780.8928825793532,31.082196753969484
8,735,-5.796744059813285,5.796744059813285,5.796744059813285,True,1.8141805784835408,0.2466032729690041,0.5077583641003616,0.16251334881612023,0.0,0.3600625095568327,0.1181289158951229,7.623784706812998,3.991202532623774,2.80034465822142,19.0,12.0,20.0,13.0,261.90603818018144,1888.89938155519,20.24519538186606
9,3076,-5.796744059813285,5.796744059813285,5.796744059813285,True,1.8141805784835408,0.2466032729690041,0.5077583641003616,0.16251334881612023,0.0,0.3600625095568327,0.1181289158951229,7.623784706812998,3.991202532623774,2.80034465822142,19.0,12.0,20.0,13.0,261.90603818018144,1888.89938155519,20.24519538186606
10,780,-5.770784134404279,5.770784134404279,5.770784134404279,True,1.7630940706786584,0.35357605657149316,0.6155237701887762,0.1743129817443567,0.0,0.2107298936760228,0.08753356006458815,7.871215244854511,3.628536603693874,2.559192386041793,22.0,13.0,21.0,13.5,232.6982623865731,2981.4102614060685,23.56140678259188
11,3077,-5.770784134404279,5.770784134404279,5.770784134404279,True,1.7630940706786584,0.35357605657149316,0.6155237701887762,0.1743129817443567,0.0,0.2107298936760228,0.08753356006458815,7.871215244854511,3.628536603693874,2.559192386041793,22.0,13.0,21.0,13.5,232.6982623865731,2981.4102614060685,23.56140678259188
12,663,-5.765028388258101,5.765028388258101,5.765028388258101,True,1.8056124509983882,0.35795359185385495,0.6928456576166417,0.23309434171321572,0.0,0.4154287477735345,0.14628585120810825,7.43922541577701,3.6798829261850656,3.25185690299299,20.0,15.0,21.0,13.5,245.23989624347755,1561.3681116609193,27.537362131362343
13,3078,-5.765028388258101,5.765028388258101,5.765028388258101,True,1.8056124509983882,0.35795359185385495,0.6928456576166417,0.23309434171321572,0.0,0.4154287477735345,0.14628585120810825,7.43922541577701,3.6798829261850656,3.25185690299299,20.0,15.0,21.0,13.5,245.23989624347755,1561.3681116609193,27.537362131362343
14,1536,-5.721295938559538,5.721295938559538,5.721295938559538,True,1.6872888401855988,0.34629672442817094,0.6428401829713456,0.22111469253935362,0.0,0.3560751333694917,0.07637347660577856,8.280324937964139,1.9449059459178173,2.8828129453154894,20.0,11.0,20.0,15.0,244.092459084845,2837.7788366856807,38.92037793116595
15,3079,-5.721295938559538,5.721295938559538,5.721295938559538,True,1.6872888401855988,0.34629672442817094,0.6428401829713456,0.22111469253935362,0.0,0.3560751333694917,0.07637347660577856,8.280324937964139,1.9449059459178173,2.882812945315489,20.0,11.0,20.0,15.0,244.092459084845,2837.7788366856807,38.92037793116595
16,3080,-5.721295938559538,5.721295938559538,5.721295938559538,True,1.6872888401855988,0.34629672442817094,0.6428401829713456,0.22111469253935362,0.0,0.3560751333694917,0.07637347660577856,8.280324937964139,1.9449059459178173,2.8828129453154894,20.0,11.0,20.0,15.0,244.092459084845,2837.7788366856807,38.92037793116595
17,753,-5.686779244996093,5.686779244996093,5.686779244996093,True,1.5826838412725825,0.36162547202462325,0.5216897579890858,0.1499199592600369,0.0,0.5557554713730515,0.10626573253645782,7.234560538544692,2.6875699884453113,3.234221036565658,20.0,15.0,22.0,13.0,220.1713876993556,1984.5507750064253,19.04473853433966
18,3081,-5.686779244996093,5.686779244996093,5.686779244996093,True,1.5826838412725825,0.36162547202462325,0.5216897579890858,0.1499199592600369,0.0,0.5557554713730515,0.10626573253645782,7.234560538544692,2.6875699884453113,3.234221036565658,20.0,15.0,22.0,13.0,220.1713876993556,1984.5507750064253,19.04473853433966
19,631,-5.659230765917825,5.659230765917825,5.659230765917825,True,1.735059239428775,0.3293866336664407,0.6229482085067536,0.15910007671113655,0.0,0.25064508377687067,0.08834000668770799,6.730285810474108,3.184805426659075,2.7669121600173576,20.0,15.0,20.0,15.0,223.82548850911704,2357.302719649413,28.252778934895236
20,3082,-5.659230765917825,5.659230765917825,5.659230765917825,True,1.735059239428775,0.3293866336664407,0.6229482085067536,0.15910007671113655,0.0,0.2506450837768707,0.08834000668770799,6.730285810474108,3.184805426659075,2.7669121600173576,20.0,15.0,20.0,15.0,223.82548850911704,2357.302719649413,28.252778934895236
21,3083,-5.659230765917825,5.659230765917825,5.659230765917825,True,1.735059239428775,0.3293866336664407,0.6229482085067536,0.15910007671113655,0.0,0.25064508377687067,0.08834000668770799,6.730285810474108,3.184805426659075,2.7669121600173576,20.0,15.0,20.0,15.0,223.82548850911704,2357.302719649413,28.252778934895236
22,732,-5.655599090333144,5.655599090333144,5.655599090333144,True,1.6527578771305067,0.23773510907543638,0.5839221860751703,0.15892556326140245,0.0,0.5621232758516614,0.05111347848748623,7.3008788134236795,3.240261528137758,2.2604375790004387,21.0,13.5,20.0,13.0,227.1528473655005,1478.8318659484012,35.98475843806703
23,3084,-5.655599090333144,5.655599090333144,5.655599090333144,True,1.6527578771305067,0.23773510907543638,0.5839221860751703,0.15892556326140245,0.0,0.5621232758516614,0.05111347848748623,7.3008788134236795,3.240261528137758,2.2604375790004387,21.0,13.5,20.0,13.0,227.1528473655005,1478.8318659484012,35.98475843806703
24,661,-5.650821253771819,5.650821253771819,5.650821253771819,True,1.7376528488480978,0.3333429293337462,0.6162491451077345,0.20029872288325,0.0,0.3981271380028226,0.06889987099921202,6.457919455057834,3.0771307895080824,3.3560579024093373,20.0,15.0,20.0,11.0,247.3251255518462,2478.9183975354704,17.213395471902434
25,3085,-5.650821253771819,5.650821253771819,5.650821253771819,True,1.7376528488480978,0.3333429293337462,0.6162491451077345,0.20029872288325,0.0,0.3981271380028226,0.06889987099921202,6.457919455057834,3.0771307895080824,3.3560579024093373,20.0,15.0,20.0,11.0,247.3251255518462,2478.9183975354704,17.213395471902434
26,3086,-5.614964143739563,5.614964143739563,5.614964143739563,True,1.7376528488480978,0.3333429293337462,0.6162491451077345,0.20042858391182147,0.0,0.47504362599136074,0.06889987099921202,6.457919455057834,2.6692260697527104,3.0348961956261356,20.0,15.0,16.0,12.0,244.9263803902433,2031.3371269054057,17.213395471902434
27,961,-5.612913640943787,5.612913640943787,5.612913640943787,True,1.7421317497334878,0.3586873606060478,0.49010761961769567,0.20018838547528672,0.0,0.31461354924933077,0.06863694908052008,7.234925732880242,3.506711667659353,2.7912614559833973,20.0,15.0,16.0,12.0,319.08585999687534,2622.3691083401777,16.111322562322133
28,3087,-5.612913640943787,5.612913640943787,5.612913640943787,True,1.7421317497334878,0.3586873606060478,0.49010761961769567,0.20018838547528672,0.0,0.31461354924933077,0.06863694908052008,7.234925732880242,3.506711667659353,2.7912614559833973,20.0,15.0,16.0,12.0,319.08585999687534,2622.3691083401777,16.111322562322133
29,1803,-5.5772818431995095,5.5772818431995095,5.5772818431995095,True,1.5343537840993238,0.33377962706920394,0.5775274764182498,0.1794211224535283,0.0,0.5340941453226028,0.06532980899721723,6.9432178115529695,2.2871875542167928,2.5964246856835813,18.0,12.0,20.0,11.0,252.90288384829137,2225.2273556623177,22.138073722102135
30,3088,-5.5772818431995095,5.5772818431995095,5.5772818431995095,True,1.5343537840993238,0.33377962706920394,0.5775274764182498,0.1794211224535283,0.0,0.5340941453226028,0.06532980899721723,6.9432178115529695,2.2871875542167928,2.5964246856835813,18.0,12.0,20.0,11.0,252.90288384829137,2225.2273556623177,22.138073722102135
31,850,-5.57572577939492,5.57572577939492,5.57572577939492,True,1.7533683684212953,0.31823285462076795,0.6049723883555094,0.10745258387644593,0.0,0.5193952830211369,0.05650735084932336,5.590621328246115,3.523273261535998,3.044031860796755,14.0,10.0,16.0,10.0,313.53757428481947,1374.7428876600075,21.423153970068682
32,3089,-5.57572577939492,5.57572577939492,5.57572577939492,True,1.7533683684212953,0.31823285462076795,0.6049723883555094,0.10745258387644593,0.0,0.5193952830211369,0.05650735084932336,5.590621328246115,3.523273261536005,3.044031860796755,14.0,10.0,16.0,10.0,313.53757428481947,1374.7428876600075,21.423153970068682
33,3090,-5.57572577939492,5.57572577939492,5.57572577939492,True,1.7533683684212953,0.31823285462076795,0.6049723883555094,0.10745258387644593,0.0,0.5193952830211369,0.05650735084932336,5.590621328246115,3.523273261535998,3.044031860796755,14.0,10.0,16.0,10.0,313.53757428481947,1374.7428876600075,21.423153970068682
34,2048,-5.575394567186952,5.575394567186952,5.575394567186952,True,1.4923811829910751,0.2877938232337815,0.492339280344832,0.2939383343167319,0.0,0.2450940031620947,0.10014544939827201,6.649154234728492,2.6143418015111664,2.6369797503959824,18.0,12.0,21.0,13.5,247.77035652036167,1817.6607559444851,20.684475975631656
35,3091,-5.575394567186952,5.575394567186952,5.575394567186952,True,1.4923811829910751,0.2877938232337815,0.492339280344832,0.2939383343167319,0.0,0.2450940031620947,0.10014544939827201,6.649154234728492,2.6143418015111664,2.6369797503959824,18.0,12.0,21.0,13.5,247.77035652036167,1817.6607559444851,20.684475975631656
36,590,-5.570847577320962,5.570847577320962,5.570847577320962,True,1.7426424443346944,0.3488470113176251,0.4850198944533998,0.19580934949051568,0.0,0.4163074591890204,0.07809571038434221,5.808754949749982,3.916320115818145,2.6906839445751487,20.0,13.0,20.0,15.0,238.88854965869598,2924.5602167503203,37.00609288405704
37,3092,-5.570847577320962,5.570847577320962,5.570847577320962,True,1.7426424443346944,0.3488470113176251,0.4850198944533998,0.19580934949051568,0.0,0.4163074591890204,0.07809571038434221,5.808754949749982,3.916320115818145,2.6906839445751487,20.0,13.0,20.0,15.0,238.88854965869598,2924.5602167503203,37.00609288405704
38,552,-5.569810383136089,5.569810383136089,5.569810383136089,True,1.4048514620861847,0.3427235216594928,0.4448324441496627,0.09996251735066457,0.0,0.5842593047190701,0.08809919828752132,5.907713544450168,3.9015702697179933,3.1912570991732454,18.0,12.0,20.0,11.0,245.97331651673176,2065.432679062391,21.04128518820636
39,3093,-5.569810383136089,5.569810383136089,5.569810383136089,True,1.4048514620861847,0.3427235216594928,0.4448324441496627,0.09996251735066457,0.0,0.5842593047190701,0.08809919828752132,5.907713544450168,3.9015702697179933,3.1912570991732454,18.0,12.0,20.0,11.0,245.97331651673176,2065.432679062391,21.04128518820636
40,829,-5.563289601009544,5.563289601009544,5.563289601009544,True,1.530234915454196,0.35162457239047523,0.6896673809155397,0.17385429408220124,0.0,0.5208601551405424,0.05292981590895326,6.454404986677474,1.8939273311039528,3.2682922386089652,20.0,13.0,20.0,15.0,233.76942010875987,2219.238034183623,16.858377668938413
41,3094,-5.563289601009544,5.563289601009544,5.563289601009544,True,1.530234915454196,0.35162457239047523,0.6896673809155397,0.17385429408220124,0.0,0.5208601551405424,0.05292981590895326,6.454404986677474,1.8939273311039528,3.2682922386089652,20.0,13.0,20.0,15.0,233.76942010875987,2219.238034183623,16.858377668938413
