extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
0,5.974254234460282,-5.974254234460282,136,0,1.7386498336595917,0.38261480892652766,0.5617099118342356,0.16047464233923972,0.5365480814874165,0.0637116468495907,8.880452507792207,3.821238842987988,3.348323508440957,20.0,13.0,22.0,13.0,218.57340895813334,2287.910729928571,22.4875969306977
1,0.7682360333223599,-0.7682360333223599,181,357,1.6725990637023935,0.3282156145951223,0.34329785191383844,0.24234789992814135,0.3177841239592395,0.0697248520165338,3.1852147938575612,0.9368606603241005,3.0128147815362505,18.0,12.0,20.0,15.0,298.9228553259439,1398.4304731040804,36.93544290111277
2,-0.15101988614184414,0.15101988614184414,130,176,1.8202659638534988,0.35982494645511065,0.4170537231627989,0.17274633247158294,0.3529529901733547,0.12741295718062112,0.7842173259802081,0.25132184757111986,1.4971717066109849,14.0,10.0,16.0,12.0,277.20566905167277,1773.04509947141,8.52926511006476
3,-5.913330099270978,5.913330099270978,122,273,1.771364442959054,0.34108683351547986,0.5245103338994814,0.28921445713212846,0.359650923404817,0.09196281594767916,0.4876497152002557,0.4833892023416908,1.8908905841520132,16.0,12.0,16.0,12.0,397.5852523491381,1100.52455447447,28.60879910219253
4,-5.6563244679594735,5.6563244679594735,98,159,1.7042264255736006,0.2975264829388333,0.6672343622893095,0.1869255908523259,0.300915909575693,0.0615514135129329,0.8062914922413427,0.5179942694740731,3.3017895134205726,20.0,15.0,20.0,15.0,254.22664461657405,2135.6131994917214,29.152686541800673
5,-18.276024224846537,18.276024224846537,89,233,1.7056263032142072,0.34971131950048473,0.756971980445087,0.12473691498860717,0.2649414537852073,0.06242475130780578,0.593491451361011,0.27192096123506815,2.465725200251117,13.0,10.0,21.0,13.0,479.0644749067724,2647.3765052312833,32.1296575701879
6,-16.638337767853493,16.638337767853493,83,28,1.4424821080589332,0.2433280864453125,0.8778204238142764,0.18196671614009444,0.3356321302620883,0.04969686424298349,0.5107929859626381,0.07272118561148488,2.560206673754376,17.0,12.0,13.0,10.0,310.57700851593745,2070.8235030857054,37.18264719953809
7,-28.114006342334957,28.114006342334957,31,34,1.0314575807321817,0.2296060086041689,0.7904980503022672,0.24556310757994645,0.1633434092033654,0.014338430338818584,0.20704482273347224,0.1408175348715659,2.4144969667131835,11.0,8.5,20.0,8.0,532.3980004992336,2697.9804188013077,35.2907932177186
8,-26.261812975213186,26.261812975213186,84,290,1.1350778796515368,0.39587213672697547,0.7441009729592905,0.286066254302529,0.18064739065915345,0.07827694053743563,0.5684419742725808,0.2750019363707068,2.8072981012776723,11.0,8.5,16.0,12.0,517.1670226789572,1516.1464605480433,14.834205645958498
9,-29.200165658514948,29.200165658514948,184,171,1.6142675952397827,0.378193534091115,0.449112888272031,0.2054270356951717,0.16048973263800131,0.10100884041297925,1.059593798222835,0.7037246876833265,2.815839267380913,17.0,8.0,20.0,13.0,274.92695835958136,1868.5211155037437,19.442820836020424
10,-34.77847619047619,34.77847619047619,31,286,1.2787674901034682,0.1321390339359641,0.8368836957961321,0.16728134788572788,0.32905476823858915,0.020729284518491473,0.8717588228560658,0.390539650487014,1.884517061951998,14.0,10.0,20.0,13.0,244.0185112413019,2841.8093509972095,2.931484133005142
