extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
0,5.763199516606509,-5.763199516606509,92,0,1.788451306001178,0.1814529119683276,0.49005641171155484,0.22314163731385284,0.4100933277605101,7.428393693322542,4.7955853964556665,2.8136906853383756,20.0,15.0,22.0,13.0,231.0295662397389,1984.4993524116353,38.410493912345146
1,-5.354731627251764,5.354731627251764,67,189,1.4426617956427747,0.27684998804792765,0.5443999745563521,0.14447550777454993,0.4672459327904048,0.8138517861007291,0.6899674732972727,2.9016033290936467,17.0,12.0,20.0,13.0,238.18233505492873,1390.5287403142884,34.62702678413106
2,-7.254684361802954,7.254684361802954,54,194,1.7744100600518284,0.3392615302065329,0.31474083010107273,0.28613342141432363,0.3188675575030771,1.8414919494297841,0.26488609209126324,2.784269234696104,16.0,10.0,18.0,8.0,316.4257568103935,2310.272262540184,30.795322400430255
3,-16.201589908545394,16.201589908545394,49,167,1.5022904850187428,0.26633517368078796,0.6735073258550199,0.08550882118955304,0.28458963785188707,1.2039148494447236,0.714542853025506,2.4991492073985864,13.0,10.0,22.0,12.0,388.9982249761357,1762.71807154388,11.649390205449823
4,-12.177611164558058,12.177611164558058,56,223,1.5839355337473522,0.2357298213488924,0.7823086345830488,0.18957200141623615,0.443156442038156,0.5811306659593107,0.15827100019396667,2.8415256097256005,20.0,15.0,16.0,12.0,286.7985985930222,1505.3173921102875,16.274973627602737
5,-18.103835230687455,18.103835230687455,41,182,1.6051556590773166,0.16457485720515252,0.6978501794859767,0.2380589197948575,0.10791725235562769,0.24101083204660334,0.22729154085413583,1.8765181917193772,11.0,8.0,18.0,10.0,504.9369830172509,1283.6262825876474,0.7342468202114105
6,-5.887784530971892,5.887784530971892,31,0,1.7895018267326055,0.3382422830536962,0.8124090766534209,0.2246562679670751,0.10355550386868417,0.22336153989444973,0.2205415594722453,2.4270584619528535,10.0,8.0,11.0,8.5,373.8788593094796,2473.2112903147936,20.953271239995956
7,-23.722476190476193,23.722476190476193,37,2,1.1140401732426293,0.36104506327957014,0.5793554874073746,0.1997247162147924,0.08474115399204643,1.7595262759237755,1.4020596239816001,1.5200597453852724,16.0,12.0,10.0,7.0,405.0492682623186,2276.663640868576,35.20979832857847
8,-22.89805182244488,22.89805182244488,99,406,1.4966709029369056,0.3603748412057758,0.6530120514109454,0.10840375108510716,0.1469075295012444,0.25985831237401413,0.08506550795643975,2.822090864037376,11.0,5.5,19.0,10.0,591.8112590498688,1200.9806018322706,14.80950563704277
9,-24.574006005377207,24.574006005377207,31,109,1.2718261682882905,0.3959316870197654,0.668806379288435,0.12887101968750359,0.1882415935438126,0.10182248517317305,0.05891214538221945,1.7885280408569284,13.0,10.0,20.0,10.0,512.7974873874336,2143.5908563435078,27.691836431622505
10,-28.332990988824076,28.332990988824076,20,46,1.771298777579458,0.3382593952410947,0.4582593344876692,0.27243763032527457,0.03190304182488474,1.1420932743381638,1.104653951121783,1.2649697977546097,17.0,8.0,20.0,10.0,282.2781463793939,1713.1666971189277,12.390300559184041
