rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
1,355,-6.2294625174097735,6.2294625174097735,6.177115554156079,True,1.82492741088871,0.2815421975250818,0.6029079360006129,0.10012557207734757,11.615336863661964,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
2,96,-6.229138444638031,6.229138444638031,6.177115554156079,True,1.8122920354401972,0.28482710356296254,0.6346370392042443,0.1658180130058773,8.710732251260143,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
3,561,-6.229406252102256,6.229406252102256,6.176817697433226,True,1.8074384735900095,0.2852403796113157,0.6710387711140541,0.1363938886616283,14.854094631258182,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
4,862,-6.22915580602471,6.22915580602471,6.1765625907933455,True,1.822058106236709,0.2804853271450748,0.7152292975187021,0.25421060348221414,13.861526393212442,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
5,442,-6.2287238664733815,6.2287238664733815,6.176052928103455,True,1.8189897700035627,0.2810053966655158,0.5011543220601945,0.22957181423088885,19.285098166732833,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6,458,-6.227964002231993,6.227964002231993,6.17601048931224,True,1.8169648173325197,0.28036214658323433,0.7355251293959749,0.09931307130716176,7.875779358128128,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
7,174,-6.228857184883287,6.228857184883287,6.175883203462779,True,1.8216929137281026,0.27894027972870006,0.6034272615007575,0.2310400611575931,22.972062453715502,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
8,578,-6.2023709069273485,6.2023709069273485,6.1756711620727565,True,1.8278437179782738,0.2808771369156764,0.3368508511476679,0.14687925371685262,0.6030795350670815,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
9,255,-6.228375306195339,6.228375306195339,6.175628769040388,True,1.811920822987589,0.2807883009077736,0.6522258684617227,0.2562202033334715,18.385638559374854,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
10,889,-6.227909964818104,6.227909964818104,6.175586381087767,True,1.813509961995898,0.2810053966655158,0.516102803501458,0.22957181423088885,13.397205296235361,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
11,890,-6.227909964818104,6.227909964818104,6.175586381087767,True,1.813509961995898,0.2810053966655158,0.516102803501458,0.22957181423088885,13.39720529623536,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
12,535,-6.2280182498524175,6.2280182498524175,6.175501620418116,True,1.8188466480953807,0.27868354090922687,0.8805028265840976,0.14740970740068893,13.403950308109874,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
13,163,-6.228324306590205,6.228324306590205,6.175416880056503,True,1.815618359160085,0.2795223493150706,0.5729948611629881,0.27052113009583,22.841880124793725,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
14,883,-6.228044403150526,6.228044403150526,6.1753321599956275,True,1.8140720680308102,0.27944482094345846,0.6325667641550958,0.2844594198483114,17.897468335811638,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
15,156,-6.2273660559553266,6.2273660559553266,6.174528330523573,True,1.8279444187203782,0.2736701179784492,0.6185739499836345,0.2717421647235092,19.586553318940098,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
