generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg
1,0,256,56.52696490008384,4.528812053725183,3108.983069504611,9.862729520690876e-06,-6.23554433530467,6.23554433530467,1.7930126697108149,0.33194114323705437,0.46873529478907583,0.2792004206031561,22.77599658817053
2,0,384,85.34151370008476,4.499568654822426,3100.741664436413,6.318174654866612e-06,-6.23554433530467,6.23554433530467,1.7930126697108149,0.33194114323705437,0.46873529478907583,0.2792004206031561,22.77599658817053
3,0,512,116.91631969995797,4.379200451347974,3156.7406318988656,3.0889760157084286e-06,-6.23554433530467,6.23554433530467,1.7930126697108149,0.33194114323705437,0.46873529478907583,0.2792004206031561,22.77599658817053
4,0,640,152.1434472000692,4.206556455621763,3255.869770081481,8.036788711058939e-07,-6.23554433530467,6.23554433530467,1.7930126697108149,0.33194114323705437,0.46873529478907583,0.2792004206031561,22.77599658817053
5,0,768,188.86401690007187,4.066417799460178,3336.5976319012693,3.393324221500682e-06,-6.23554433530467,6.23554433530467,1.7930126697108149,0.33194114323705437,0.46873529478907583,0.2792004206031561,22.77599658817053
6,0,896,228.36908209999092,3.9234733167937694,3425.536231499864,8.278682298989996e-06,-6.23554433530467,6.23554433530467,1.7930126697108149,0.33194114323705437,0.46873529478907583,0.2792004206031561,22.77599658817053
7,0,1024,369.30479110009037,2.772777458287758,4800.962284301175,1.4939148853222915e-05,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
8,0,1152,473.32344889990054,2.4338536421076986,5416.92391518775,1.79039025071989e-05,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
9,0,1280,677.0269774000626,1.8906189010598822,6905.675169480638,2.2985701560955594e-05,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
10,0,1408,863.8821149999276,1.6298520082223464,7932.00851045388,3.955518401325098e-05,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
