rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,1536,9.73382860881335,-9.73382860881335,-9.73382860881335,True,1.81204261467594,0.37655418864334783,0.8443949855879365,0.18895673056602488,0.0,15.076793486420232,12.894146894359178,3.3751074157557697,24.0,12.0,21.0,13.5,229.3391962733981,2421.418843936359,20.26090105716706
2,3072,9.73382860881335,-9.73382860881335,-9.73382860881335,True,1.81204261467594,0.37655418864334783,0.8443949855879365,0.18895673056602488,0.0,15.076793486420232,12.894146894359178,3.3751074157557697,24.0,12.0,21.0,13.5,229.3391962733981,2421.418843936359,20.26090105716706
3,0,9.835863454767477,-9.835863454767477,-9.835863454767477,True,1.8000958890896186,0.37493181649185003,0.4637257387516169,0.22123840228436695,0.0,15.03051214391592,14.501116382507862,3.3649698386058127,22.0,10.0,21.0,12.0,269.70284223165686,2197.148555811937,14.417483844375434
4,3073,9.835863454767477,-9.835863454767477,-9.835863454767477,True,1.8000958890896186,0.37493181649185003,0.4637257387516169,0.22123840228436695,0.0,15.03051214391592,14.501116382507862,3.3649698386058127,22.0,10.0,21.0,12.0,269.70284223165686,2197.148555811937,14.417483844375434
5,1563,9.9246369732012,-9.9246369732012,-9.9246369732012,True,1.808145467328812,0.3735260974087908,0.6961366465207353,0.2817633618307298,0.0,15.101255840325887,12.647420996269124,3.3062556328960317,24.0,12.0,20.0,15.0,233.4425851089646,2320.393180892586,14.297986762723664
6,3074,9.9246369732012,-9.9246369732012,-9.9246369732012,True,1.808145467328812,0.3735260974087908,0.6961366465207353,0.2817633618307298,0.0,15.101255840325887,12.647420996269124,3.3062556328960317,24.0,12.0,20.0,15.0,233.4425851089646,2320.393180892586,14.297986762723664
7,512,9.9255441942023,-9.9255441942023,-9.9255441942023,True,1.8108275608772064,0.33164413022716943,0.41125107007577055,0.08279907185758491,0.0,15.052052350439153,14.557357766966675,3.371529129236417,17.0,10.0,16.0,12.0,374.86209507411354,2373.328039922118,26.015727928223207
8,3075,9.9255441942023,-9.9255441942023,-9.9255441942023,True,1.8108275608772064,0.33164413022716943,0.41125107007577055,0.08279907185758491,0.0,15.052052350439153,14.557357766966675,3.371529129236417,17.0,10.0,16.0,12.0,374.86209507411354,2373.328039922118,26.015727928223207
9,2043,9.959216231751645,-9.959216231751645,-9.959216231751645,True,1.8105552950097898,0.358167952157705,0.7937160670317897,0.17657486446273624,0.0,15.120785530265309,10.617855506006133,3.3535076482518438,25.0,12.5,20.0,15.0,220.09513030080905,2379.8570829084015,18.681051229715926
10,3076,9.959216231751645,-9.959216231751645,-9.959216231751645,True,1.8105552950097898,0.358167952157705,0.7937160670317897,0.17657486446273624,0.0,15.120785530265309,10.617855506006133,3.3535076482518438,25.0,12.5,20.0,15.0,220.09513030080905,2379.8570829084015,18.681051229715926
