generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,1024,62.01498969999375,16.512136903573545,13643.297733998625,4.1581234523083855e-05,1.0,0.24049310018557732,12.575918722733155,-12.575918722733155,-12.575918722733155,1.5991488802030682,0.3984489644691348,0.6053027892485261,0.11658680802211166,0.0,16.09529959471778,4.968736095878726,3.144125309344884,21.0,13.5,22.0,12.0,251.54261044226587,2432.5593765825033,33.56717396527529
2,0,1536,86.44839070001035,17.76782641715291,12650.281172434848,4.3287996037001684e-05,1.0,0.23101092486360877,12.575918722733155,-12.575918722733155,-12.575918722733155,1.5991488802030682,0.3984489644691348,0.6053027892485261,0.11658680802211166,0.0,16.09529959471778,4.968736095878726,3.144125309344884,21.0,13.5,22.0,12.0,251.54261044226587,2432.5593765825033,33.56717396527529
3,0,2048,111.90894439999829,18.300592602140846,12254.029411799813,4.104595468287912e-05,1.0,0.24362936804028437,12.575918722733155,-12.575918722733155,-12.575918722733155,1.5991488802030682,0.3984489644691348,0.6053027892485261,0.11658680802211166,0.0,16.09529959471778,4.968736095878726,3.144125309344884,21.0,13.5,22.0,12.0,251.54261044226587,2432.5593765825033,33.56717396527529
4,0,2560,137.75984210000024,18.58306427312605,12040.21019954002,4.1168195061064336e-05,1.0,0.24290596139002696,12.575918722733155,-12.575918722733155,-12.575918722733155,1.5991488802030682,0.3984489644691348,0.6053027892485261,0.11658680802211166,0.0,16.09529959471778,4.968736095878726,3.144125309344884,21.0,13.5,22.0,12.0,251.54261044226587,2432.5593765825033,33.56717396527529
5,0,3072,169.81039220001549,18.09076558978538,12339.55516653446,4.0601932404638504e-05,1.0,0.24629369608175491,12.347634994177696,-12.347634994177696,-12.347634994177696,1.825949122647849,0.38952265666842045,0.5506455643102527,0.16534931415527468,0.0,15.008921679746548,10.032721964312424,2.686423547631107,17.0,12.0,15.0,10.0,341.75854734403134,2808.8899833220235,35.45363203700388
6,0,3584,197.87038800001028,18.112866893452566,12296.231254286353,3.929080563421871e-05,1.0,0.2545124702480242,12.27836766548916,-12.27836766548916,-12.27836766548916,1.8263550879683343,0.31393199789782145,0.6996876201343896,0.2662575346520314,0.0,17.075675012375722,10.943081685527332,3.1993447848941035,16.0,10.0,21.0,13.5,380.39405175932,2557.3973089207407,32.243683885701884
7,0,4096,225.12302269999054,18.19449628418734,12212.923981474485,3.8385655821251024e-05,1.0,0.2605139807058814,11.967646794550355,-11.967646794550355,-11.967646794550355,1.7817097610780166,0.36183715206567457,0.8890137019884167,0.2846703120385811,0.0,16.186067146801122,10.007386033345794,3.232582544372474,16.0,10.0,20.0,11.0,413.67716109536383,2708.806421174343,35.79974562544052
8,0,4608,249.69879250001395,18.45423421500824,12013.28635027845,3.776327130350088e-05,1.0,0.2648075671101336,11.917661059957403,-11.917661059957403,-11.917661059957403,1.8189049493768366,0.3349152063167559,0.7252300249632884,0.1839103001084525,0.0,16.680519671129915,11.034595318822909,3.024499839534895,16.0,8.0,18.0,10.0,407.34352503910435,2239.954422668776,16.96128630303732
9,0,5120,274.07710369999404,18.680874581936525,11840.130879839742,3.720790202638283e-05,1.0,0.26876011426038854,11.917661059957403,-11.917661059957403,-11.917661059957403,1.8189049493768366,0.3349152063167559,0.7252300249632884,0.1839103001084525,0.0,16.680519671129915,11.034595318822909,3.024499839534895,16.0,8.0,18.0,10.0,407.34352503910435,2239.954422668776,16.96128630303732
10,0,5632,304.4050937000138,18.501661491743114,11927.145034973268,3.663975561506732e-05,1.0,0.27292758459032146,11.917661059957403,-11.917661059957403,-11.917661059957403,1.8189049493768366,0.3349152063167559,0.7252300249632884,0.1839103001084525,0.0,16.680519671129915,11.034595318822909,3.024499839534895,16.0,8.0,18.0,10.0,407.34352503910435,2239.954422668776,16.96128630303732
11,1,6656,362.972356400016,18.337484611816315,11978.087761200528,4.502743645788846e-05,1.0,0.2220868160982784,17.5,-17.5,-11.917661059957403,1.391541563325748,0.37564766969531777,0.5426642009988427,0.2740836336277425,0.0,18.850267017468195,2.6527899260313443,1.7757239990137719,10.0,6.0,15.0,8.0,611.6114584729075,1090.2891904115677,26.343734301626682
12,1,7168,379.3972223000019,18.893127252081,11598.715081742916,4.4344821913104695e-05,1.0,0.2255054720840994,17.5,-17.5,-11.917661059957403,1.391541563325748,0.37564766969531777,0.5426642009988427,0.2740836336277425,0.0,18.850267017468195,2.6527899260313443,1.7757239990137719,10.0,6.0,15.0,8.0,611.6114584729075,1090.2891904115677,26.343734301626682
