rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,1536,-6.991938393368541,6.991938393368541,6.938935064935064,True,1.5696654229112323,0.39461127455464573,0.8436382556885236,0.21136601520798806,0.0,14.662523155916242,9.509068580005872,2.9292800873493627,18.655399046074468,13.862581565592913,254.0351076434967,2454.011240712183,0.8494843764719323,0.8135062727684159,8
2,1616,-6.934975288550609,6.934975288550609,6.882504542818481,True,1.597000509056745,0.34183673713469404,0.8209798510845715,0.23304397630353474,0.0,13.398324855664239,11.149407134453098,2.672710014847427,18.864526516394633,13.729013615761177,233.64087126302445,2332.688687775006,0.8987777422045207,0.9287843490059253,8
3,0,-6.723223441634039,6.723223441634039,6.667213021526635,True,1.7620877778786814,0.31555973879838123,0.8280184838630513,0.22339601043629043,0.0,12.836291862018815,8.603408824133446,2.0463281012878136,15.177647614463767,9.423031672694323,337.9810384108576,2363.336337117618,0.8694646031865273,0.8495333886955149,8
4,512,-6.716203634013728,6.716203634013728,6.6455399044484285,True,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8
5,2048,-6.680736349098275,6.680736349098275,6.629419807186678,True,1.7057988822337373,0.2886305685743329,0.8073254535472871,0.16367072634044955,0.0,11.25547015353633,9.87252126406204,3.0917937533812907,16.597393586897038,12.642674455455918,391.5254688316263,1592.2290196074607,0.9686758660603841,0.8132315685345777,6
6,1983,-6.686138114988746,6.686138114988746,6.627486468579583,True,1.6630219469953555,0.37532099935528557,0.7077855354769613,0.22470880065418397,0.0,11.401867245615144,9.92575940192753,2.679932361804381,24.733564201499,17.845573704552766,234.925877825601,1365.7343306923585,0.9935422634374381,0.9683960973610095,6
7,1024,-6.658122647475315,6.658122647475315,6.609,True,1.8226530388344913,0.2947417148553772,0.8245794908571218,0.14387173053837074,1.0,8.44260181550392,8.14551069194925,3.5661543576058574,15.796857934408724,12.031033204863135,403.5591363330789,1645.1423883161724,0.9502153487231862,0.9480654870599693,6
8,2476,-6.602945099899274,6.602945099899274,6.590543116122309,True,1.56151272743655,0.39211465676759577,0.7097320958758707,0.14998957745673003,1.0,9.238849057329379,8.171903102631827,3.131959969742757,16.878059771714135,12.996179582984837,398.66590411259085,2145.9847556325767,0.9042878460036142,0.7998870307020616,6
9,796,-6.556036524815854,6.556036524815854,6.523490040952327,True,1.6886726503627405,0.33678950040658673,0.8286600599776921,0.08308490503901228,0.0,10.588078699459336,10.357454966988119,2.992228923423703,15.015648168053552,11.331962798176242,265.4991485580385,1444.3194238545416,0.9553280881157532,0.9440095363654759,8
10,2560,-6.5294319229094455,6.5294319229094455,6.4904192410179515,True,1.710703156362578,0.32633788790620677,0.823212695057246,0.11704139116230138,0.0,10.36667164182191,10.361703002101066,2.267219307075303,13.079340670871613,10.16117495844648,337.1127007780446,2907.692114552865,0.8605566383252385,0.8817522164574998,8
11,1510,-6.5189422879816,6.5189422879816,6.487357142857142,True,1.800493220456296,0.29008230347122593,0.8243040378488169,0.1545124028404891,1.0,8.498892407933262,6.377892616219644,3.121718841082213,18.141928398024685,12.462335016489641,365.4930628414797,1976.5078417602626,0.9918380257120576,0.8668193073974657,6
12,1499,-6.532783331019633,6.532783331019633,6.484571428571428,True,1.688393440396847,0.3723442990365913,0.7620754903778184,0.16606471506111864,1.0,9.124417107260069,6.502649702536359,2.611873681051247,16.663422668596027,11.418240195782188,396.2102452113968,2030.1859825849533,0.9180094976749356,0.7674297824400214,6
13,1047,-6.507506619727582,6.507506619727582,6.479442566675468,True,1.3398712582171732,0.3420280968936305,0.5744218611263054,0.24305763857324336,0.0,11.53435988627843,7.6616398410288795,3.848396249737867,18.106052673262823,11.763689500362343,426.68748248744697,2775.6753931557932,0.9827132337021747,0.7612505575906701,6
14,631,-6.5195030678375,6.5195030678375,6.474389993585632,True,1.4586715849474732,0.3255001788029555,0.6226255757692459,0.14610614264702582,0.0,12.07246285603609,7.435221794040639,3.291895965579897,15.019128041506926,10.701572206723966,377.16766316028645,2687.2387201753854,0.7623649632524574,0.7356071955316666,8
15,658,-6.496676632708856,6.496676632708856,6.461440732527363,True,1.2724758270326209,0.3587576269647928,0.5598359705323743,0.08205977929585642,0.0,11.979804720658263,6.937087591709265,2.2283949670975103,16.696278470329318,12.136694310306249,297.4330852029338,1509.9452814843032,0.9610840035942168,0.8043033802379635,8
16,2239,-6.470957946481315,6.470957946481315,6.452035714285714,True,1.811493115551562,0.34503614395856863,0.8051905973484879,0.24554927133868193,1.0,8.290181212732904,6.064706985148947,3.143579572536802,23.309301453493212,12.799941364854734,309.2500394754877,2379.321465818837,0.9654712516839737,0.8764285955685872,6
17,1543,-6.497839499658461,6.497839499658461,6.443063975835193,True,1.7844312967604394,0.3953330560077953,0.8456278074475325,0.16456814320259724,0.0,10.513070600705165,9.19456057926486,3.31456129801421,19.33672165155334,13.470884865894362,365.9493193603913,2993.3148811983465,0.7694837981321515,0.7748998940687267,6
