generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,1024,21.583510041004047,47.443627012224574,1187.0930522552226,1.7425857097258465e-05,-3.8038773432703925,3.8038773432703925,1.6341670016046614,0.1292101925984025,0.42111659087240694,0.26004490721970797,0.0,8.177157887858417,7.329243687672346,3.378378378378378,14.491049773059785,10.379398625752088,419.3696836940944,2696.2309814989567,0.6137350369244814,0.6303589818999171,8.0
2,0,1536,25.860662583028898,59.39522991990169,939.6040738500499,1.6495105072235862e-05,-3.8038773432703925,3.8038773432703925,1.6341670016046614,0.1292101925984025,0.42111659087240694,0.26004490721970797,0.0,8.177157887858417,7.329243687672346,3.378378378378378,14.491049773059785,10.379398625752088,419.3696836940944,2696.2309814989567,0.6137350369244814,0.6303589818999171,8.0
3,0,2048,28.938858708017506,70.76989527000946,781.3491851164727,1.5949965906820682e-05,-4.334918913827145,4.334918913827145,1.4440742395659885,0.19576107863405534,0.4000593129981497,0.13982257153838873,0.0,14.276894856855527,9.638653025071127,2.4353863121941686,13.093594909438101,9.207407706785968,407.0835802089139,2575.0449430597505,0.8447118778033686,0.741704842930138,8.0
4,0,2560,32.61346041603247,78.49519699361704,697.9280529030948,1.526858833766072e-05,-4.334918913827145,4.334918913827145,1.4440742395659885,0.19576107863405534,0.4000593129981497,0.13982257153838873,0.0,14.276894856855527,9.638653025071127,2.4353863121941686,13.093594909438101,9.207407706785968,407.0835802089139,2575.0449430597505,0.8447118778033686,0.741704842930138,8.0
5,0,3072,37.15121795801679,82.68907908945417,656.3381839249632,1.4943198561973966e-05,-4.334918913827145,4.334918913827145,1.4440742395659885,0.19576107863405534,0.4000593129981497,0.13982257153838873,0.0,14.276894856855527,9.638653025071127,2.4353863121941686,13.093594909438101,9.207407706785968,407.0835802089139,2575.0449430597505,0.8447118778033686,0.741704842930138,8.0
6,0,3584,40.59586995799327,88.28484285984159,608.9380493698991,1.4869961778005296e-05,-5.482425287574439,5.482425287574439,1.5025095705408826,0.2079829173513255,0.6152446959817621,0.15627137430764254,0.0,14.196874903045622,10.840423606605748,2.7478907956308603,16.989287339345818,10.549471268212406,365.34400285886215,1649.260678659246,0.8486478083633331,0.7973201764644351,8.0
7,0,4096,45.41158837504918,90.19724142154197,590.3506488756393,1.4736677791186977e-05,-5.482425287574439,5.482425287574439,1.5025095705408826,0.2079829173513255,0.6152446959817621,0.15627137430764254,0.0,14.196874903045622,10.840423606605748,2.7478907956308603,16.989287339345818,10.549471268212406,365.34400285886215,1649.260678659246,0.8486478083633331,0.7973201764644351,8.0
8,0,4608,51.54955312504899,89.3897176726616,589.9559968755607,1.4691979440165555e-05,-5.482425287574439,5.482425287574439,1.5025095705408826,0.2079829173513255,0.6152446959817621,0.15627137430764254,0.0,14.196874903045622,10.840423606605748,2.7478907956308603,16.989287339345818,10.549471268212406,365.34400285886215,1649.260678659246,0.8486478083633331,0.7973201764644351,8.0
9,0,5120,56.76022070803447,90.20401852093677,578.9542512219516,1.4037518979015564e-05,-5.482425287574439,5.482425287574439,1.5025095705408826,0.2079829173513255,0.6152446959817621,0.15627137430764254,0.0,14.196874903045622,10.840423606605748,2.7478907956308603,16.989287339345818,10.549471268212406,365.34400285886215,1649.260678659246,0.8486478083633331,0.7973201764644351,8.0
10,0,5632,62.390387541032396,90.27031602097347,572.8571946949338,1.424316177965093e-05,-5.838505514171061,5.838505514171061,1.4727352786794508,0.3040242511225996,0.5272176747770843,0.146246389452461,0.0,14.847188806629601,6.174917009636987,2.708324432375532,20.326274862786256,9.739946902022155,317.24440799014235,2037.1676665193977,0.8040992871308053,0.8173007589462666,8.0
11,1,6144,89.28774375002831,68.8112359205857,744.064531250236,1.763143124347704e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
12,1,6656,93.4554955830099,71.22106579690593,711.6995432859985,1.7066687433746004e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
