rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-0.15517241379310345,0.15517241379310345,True,1.1687052210946025,0.25554776275834806,0.7664434247733105,0.2434668975511011,11.0,18.0,4.409460702833675,1.6224383503576414,18.243850113866685,10.398090849198866,297.455892029283,1847.5348072151055,0.6446669609873203,0.5704694725271126
2,1,-0.05013927576601671,0.05013927576601671,True,1.1313985712375532,0.3886012631492267,0.6840959965614949,0.24597395146915962,62.0,14.0,4.2556642224182815,2.2688739974415606,15.598811483711055,11.762664006576083,279.895756026908,2018.9707821307848,0.6135660319521057,0.7276859308418427
3,24,1.6012074174158135,-1.6012074174158135,True,1.1664248810337365,0.3842840659641513,0.512901299126047,0.16189450083280296,55.0,18.0,4.848253729129066,1.9909847614381615,23.01544490623001,9.321248760233253,303.81640890018014,2404.9654429332177,0.6891312178161318,0.7175095422408746
4,14,2.592076721703597,-2.592076721703597,True,1.2456708715738511,0.37479154156695216,0.8247528688337642,0.22822732723442854,31.0,22.0,1.7094126277036197,2.6603314892671355,18.962507947921196,8.053150128234133,399.24681132202943,2175.0458809386287,0.7072147139354219,0.6690192780319637
5,22,2.741373238213431,-2.741373238213431,True,0.9522670460234621,0.2576074036751796,0.705063706539925,0.1993902086087992,59.0,21.0,2.5592098929461855,2.61507069078847,14.16025547577767,7.052301778774975,296.0803888299664,2417.660111385243,0.6321093766285131,0.6205884708408973
6,7,2.815367266079658,-2.815367266079658,True,1.1958076144701288,0.22513660995739637,0.7956939978764975,0.1252763547850569,71.0,5.0,1.266031815171352,3.9034093630210984,21.983565052877296,15.44830132821422,329.57601461058067,1873.5256128451992,0.8475064946148554,0.6548321307226026
7,19,3.0010557643155042,-3.0010557643155042,True,1.1786569737144845,0.39694157603183744,0.8278500464752414,0.27965901459468745,67.0,5.0,3.699541924697045,3.278320023392827,21.69615457279164,16.91603792470706,326.55136457592323,1694.846866106134,0.5502926613099768,0.662989935942493
8,16,4.797536759358827,-4.797536759358827,True,1.0049835180565105,0.3462752614509921,0.5559768418014304,0.10643499505678702,3.0,30.0,2.4248496550133263,4.073955371648562,13.864882769697978,8.83086757002634,465.4258594838242,1678.3907486711526,0.8773047620475037,0.513498946591932
9,25,6.981899046769661,-6.981899046769661,True,1.237351232819457,0.18893092753077112,0.722118816204995,0.17913756438642542,7.0,25.0,3.4783114802893564,1.73861005350241,10.349137990752915,5.417956574208519,433.8927676572465,1796.0804564423736,0.507815210826178,0.6425611418862331
10,3,7.980593678533977,-7.980593678533977,True,1.0524206192271504,0.3015733058423,0.39306369772017147,0.11280019985534262,16.0,2.0,3.9630132611960045,4.43409325189007,21.24801893662858,15.177036868491049,206.72927639731319,1315.4546003420219,0.7934015504507613,0.7836088252050517
11,8,8.125743131335994,-8.125743131335994,True,1.2229005574825165,0.24300008034593729,0.5070457942258696,0.19958942461087176,48.0,21.0,2.18408520197234,2.846391344425859,19.9494495989808,12.474806494175361,231.6039323730679,2453.863595064273,0.6435231384778558,0.6918341308824401
12,23,10.907213889651343,-10.907213889651343,True,1.441972640036962,0.2920996736321973,0.5634882427249335,0.14209470900960436,49.0,17.0,4.1945914527238966,2.11211952870528,23.81786346139797,9.673200505807621,488.7123167547699,1386.7556868887896,0.5331912233551841,0.704552972891784
13,11,11.950205238498263,-11.950205238498263,True,0.9685213562727157,0.13476169539702892,0.742109432891652,0.14441495779842645,84.0,32.0,3.273171580451289,3.4731246259676416,20.198776488405965,13.936138856566327,287.77496679670037,1045.6467660622202,0.9844924202371184,0.9398753182953514
14,21,13.070098080590368,-13.070098080590368,True,0.9516815816932587,0.28005507141895103,0.8986554047334141,0.2723396823594435,92.0,7.0,3.2270397496159546,1.980997893018668,16.34426651037158,8.558114568232364,497.2148844382847,2442.0507678556423,0.7336345960157136,0.8744630338334616
15,20,15.294332284181266,-15.294332284181266,True,0.9532928499290907,0.2222348534376594,0.6973906206977436,0.23762022711031786,40.0,13.0,3.7698296139495864,1.3831705598645716,17.068246753532705,12.63732526378886,426.962158601989,2805.53886173732,0.6354443296392231,0.8671846508686557
16,17,15.330748974736151,-15.330748974736151,True,0.923108285799227,0.23992393494538902,0.894774579339081,0.2104807821628176,59.0,27.0,0.8376963285404697,2.616564754097781,18.386994608997185,13.634972867387932,471.556208062542,1856.561514624815,0.7226075045261845,0.8344260532383212
17,5,17.108228184287807,-17.108228184287807,True,0.9192949464059805,0.19047782112388983,0.69992837942576,0.13359282949839119,37.0,13.0,3.677090548491379,1.2141020998532384,17.348741496597864,12.804285925241286,455.03508814914846,2955.6837615662644,0.6396205921902071,0.8938130151358264
18,27,1000000.0,-1000000.0,True,0.936954434078648,0.14138213639888147,0.46226703478345144,0.21430123181301963,81.0,13.0,2.8119575746779946,2.4197246678236874,11.67694490921008,8.61537753413629,462.447607730862,2197.10467000433,0.6359444907841872,0.9190348673803217
19,4,1000000.0,-1000000.0,True,1.0384040123283935,0.14605838671194687,0.6105488868963012,0.10056475738475305,77.0,23.0,2.6964983631341437,1.3781784807912023,17.82008378260528,7.767190412192914,240.71348151261992,2395.9212191012907,0.9234193907198589,0.5041346863952122
20,15,1000000.0,-1000000.0,True,1.415464489787085,0.20411726413399203,0.35933183539932556,0.25311307218916,72.0,18.0,2.696424323417909,3.022949002242967,21.031003577024272,9.133457515883276,308.1748912714715,1964.7840471506836,0.5241961330650947,0.9619669278917149
21,9,1000000.0,-1000000.0,True,1.1260818285365832,0.3761841854811743,0.48569455987852445,0.11643918923064828,67.0,13.0,4.751002401057148,3.3494514155134705,24.071650873658008,15.915639470311149,355.5796099133803,2242.5206208683667,0.7184450727422182,0.9746462694310682
22,2,1000000.0,-1000000.0,True,1.3467175827660405,0.22720790266688484,0.5335114735282414,0.25668465663321804,41.0,34.0,4.371522131455553,3.775574694206287,24.381947548219326,17.451853460177265,310.717292896123,2754.6917589299965,0.6280343072414079,0.5350988567819008
23,6,1000000.0,-1000000.0,True,1.1453754301921952,0.2713382536042323,0.6089863656026623,0.15539749895660235,99.0,10.0,3.8366810910060054,2.9813855827536644,17.436046708378864,9.546631172685514,250.91313339939921,1630.8084717860966,0.7036880668112622,0.507664557189287
24,10,inf,-inf,False,1.0794358399487902,0.2460182824549944,0.5388453409910335,0.2126112476510953,96.0,31.0,3.6817884246397288,4.141061469352257,14.670206983887407,13.305538289203012,268.96911942318746,1764.152236149935,0.6678327241479858,0.9141103254953478
25,12,inf,-inf,False,1.3607971960917908,0.3782965285443096,0.7751466624998704,0.2198017239384191,85.0,40.0,3.9570356498868406,1.5671816621836534,20.373942201877334,6.56923896993427,213.84167887737937,2739.6293328780603,0.918158088508853,0.8396257057873477
26,13,inf,-inf,False,1.0922869366468244,0.2832415861743145,0.6227170135925385,0.08554517511263067,68.0,3.0,2.986733144624065,3.3295908925242292,20.158394496469136,7.490040705866864,362.6524258915679,2196.271835339354,0.9121319431282742,0.7124373926193128
27,18,inf,-inf,False,1.0081501239464599,0.20530292783167453,0.8182224242724996,0.26283481353295585,84.0,10.0,4.626461771373299,3.4908507436094003,22.655522917191206,8.02953679849116,387.82236161788717,2529.923909955819,0.5816246250749098,0.6809884315271174
28,26,inf,-inf,False,1.5066832999942386,0.3134036405243848,0.45322639885207994,0.21131561619235428,20.0,40.0,2.995111662838626,2.4556040248839666,14.82688460319615,14.676894091014672,344.09999228664304,1936.4871253807082,0.8070173485109959,0.7360521948635079
