generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,1024,9.185818666010164,111.47618271510815,505.220026630559,0.0,-3.1033661498128717,3.1033661498128717,1.6485714187532663,0.3111427301186531,0.5956111860592727,0.21717826156861816,0.0,0.5326781857861911,5.426711769337695,3.899003196813098,3.1401708623914697,24.852000697795404,17.429985396440163,321.54838397810533,2148.990244078757,0.6519199051357667,0.7821542463908491,6.0
2,0,1536,11.356927791028284,135.24784415847085,412.63504307402764,0.0,-3.653164755756256,3.653164755756256,1.3566697215813766,0.339566223755104,0.6756851009839709,0.22312028066955952,0.0,0.3955708051620859,5.989268357064786,4.720920389571042,2.8327170339938053,21.31473144860359,11.226095437411155,302.6197184977025,2541.5345150977373,0.9050459741912921,0.6995008233858093,8.0
3,0,2048,13.5730695000384,150.88701932854656,366.4728765010368,0.0,-4.398511045150876,4.398511045150876,1.3622931182440803,0.29447361187262067,0.6855118501008199,0.20284017344796926,0.0,0.40917514335438604,5.994959404401298,5.3653778828411305,3.5052310619847598,19.16906947735697,14.101016623670697,475.3399632153663,2113.5139835608516,0.585184526629746,0.6440178957252614,6.0
4,0,2560,15.253458375053015,167.83079201152654,326.4240092261345,0.0,-4.398511045150876,4.398511045150876,1.3622931182440803,0.29447361187262067,0.6855118501008199,0.20284017344796926,0.0,0.40917514335438604,5.994959404401298,5.3653778828411305,3.5052310619847598,19.16906947735697,14.101016623670697,475.3399632153663,2113.5139835608516,0.585184526629746,0.6440178957252614,6.0
5,0,3072,16.815055750019383,182.69341747478055,297.0659849170091,0.0,-4.398511045150876,4.398511045150876,1.3622931182440803,0.29447361187262067,0.6855118501008199,0.20284017344796926,0.0,0.40917514335438604,5.994959404401298,5.3653778828411305,3.5052310619847598,19.16906947735697,14.101016623670697,475.3399632153663,2113.5139835608516,0.585184526629746,0.6440178957252614,6.0
6,0,3584,18.791821000049822,190.72127176980337,281.87731500074733,0.0,-4.398511045150876,4.398511045150876,1.3622931182440803,0.29447361187262067,0.6855118501008199,0.20284017344796926,0.0,0.40917514335438604,5.994959404401298,5.3653778828411305,3.5052310619847598,19.16906947735697,14.101016623670697,475.3399632153663,2113.5139835608516,0.585184526629746,0.6440178957252614,6.0
7,0,4096,20.658157041005325,198.275189401923,268.5560415330692,0.0,-4.428245866374731,4.428245866374731,1.6998706852188947,0.3899156549479892,0.4842693564069572,0.23359324845159948,1.0,0.4499815999630917,8.32155290961811,5.511982352825641,4.426650003538002,22.09757668075404,17.359538661417396,324.795605773608,2158.1704096027115,0.6939944079643676,0.7549213418736266,6.0
8,0,4608,22.9740645000129,200.57399943303076,262.92540483348097,0.0,-4.428245866374731,4.428245866374731,1.6998706852188947,0.3899156549479892,0.4842693564069572,0.23359324845159948,1.0,0.4499815999630917,8.32155290961811,5.511982352825641,4.426650003538002,22.09757668075404,17.359538661417396,324.795605773608,2158.1704096027115,0.6939944079643676,0.7549213418736266,6.0
9,0,5120,26.226557125046384,195.22196434660484,267.5108826754731,0.0,-4.765822134490493,4.765822134490493,1.7324651373666526,0.3423794086543099,0.38545114778869516,0.18352903463530396,0.0,0.40748987983248286,12.472261399964802,3.2298301916284293,3.059069156630914,20.803835779057785,13.103325129617975,415.23232485888735,2307.300260194498,0.8698366093449295,0.7080215484843158,6.0
10,0,5632,28.90153645799728,194.86853261884565,265.3686529325205,0.0,-5.081487452309678,5.081487452309678,1.2418130466754822,0.29190477963536976,0.5733475209290196,0.20270251515176435,0.0,0.5022135156236954,10.080441689810641,5.868536380230478,2.9564351965263294,23.410785295921638,13.832891478659818,420.79857535628986,1481.8287211528464,0.851739247318992,0.577893955649581,6.0
11,1,6144,38.448446916008834,159.79839220610532,320.40372430007363,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
