extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,5.993275361406435,-5.993275361406435,11,0,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8
1,4.428245866374731,-4.428245866374731,7,0,1.6998706852188947,0.3899156549479892,0.4842693564069572,0.23359324845159948,0.4499815999630917,8.32155290961811,5.511982352825641,4.426650003538002,22.09757668075404,17.359538661417396,324.795605773608,2158.1704096027115,0.6939944079643676,0.7549213418736266,6
2,4.434770439315063,-4.434770439315063,15,170,1.7405326235188419,0.3895540510118008,0.5034461486269123,0.09023922147795721,0.2120992077478957,2.9538529606753414,2.5864472845522917,4.175158186350018,18.04959210329678,10.318284112101274,354.81932611105697,1221.7056695371866,0.9346994926791079,0.9953101938009824,6
3,-0.03195350561189425,0.03195350561189425,53,497,1.6957740924506444,0.39032757698237175,0.7715149573981763,0.09404299447934886,0.23232392054222156,4.274577549304988,3.288514408854118,3.974269658293265,23.187925502732703,11.42418480925483,334.87428428740407,2559.624580666423,0.9270806924196139,0.8475090175363791,6
4,-0.6071048410016573,0.6071048410016573,95,245,1.817815099082806,0.300442699547622,0.4647706052268541,0.2149744602665305,0.24087151190066833,1.840417001235373,0.943583331819533,3.0946701963685577,19.097678613597896,11.868573213426458,402.6846966089638,1643.1314480383712,0.7567196711274103,0.7403733017403705,6
5,-0.5612593425434351,0.5612593425434351,23,188,1.588651835594346,0.3302922726795078,0.6623434645320473,0.20735021199684633,0.4162945825855029,2.7980124101897967,1.4211671584315066,3.378378378378378,21.604925978787904,15.281081065332314,372.40435164421797,2648.0781226983227,0.8069043597713759,0.6625764576220619,6
6,-0.9174873560870775,0.9174873560870775,53,290,1.8035076892884185,0.3542763295769692,0.34756394560803155,0.25243137228416407,0.14869641197694627,2.649878811383987,1.1545063292979618,3.051271413326893,24.562828914854105,14.46285525041868,376.33290319766985,2616.781127282876,0.8455936661810576,0.7006751416878984,6
7,-10.618906262071263,10.618906262071263,21,76,1.1713505750350655,0.3442793290317059,0.4092408338561654,0.20746217314153909,0.13183421685174107,1.6195910927970676,0.18814532985960408,3.378378378378378,17.41175262723118,10.655458112237435,360.69316267967224,2793.5656793415546,0.9200835647061467,0.7672844803892076,8
8,-7.64108692843431,7.64108692843431,89,411,1.2385974783215672,0.3160449508577585,0.8459693308077574,0.28580691264604063,0.07165673052694413,0.2768571941867064,0.21115046278856475,2.450147141236812,24.049643578842478,12.603701511138663,317.03942757907754,2751.6376135161217,0.6167129526110078,0.6589812762103975,8
9,-2.434891587035559,2.434891587035559,58,194,1.679059694978612,0.35900051668286326,0.6401429286384034,0.131850797967013,0.19267820529755078,1.3021572242351542,1.2165731550740713,3.312298582498179,19.505587159740244,13.410408862980725,417.71907821365585,1730.133932791496,0.6468311122997437,0.6171941829867044,6
10,-8.584264256906948,8.584264256906948,95,252,1.3134656118154526,0.3077376084774733,0.6854082779958844,0.09323056615889072,0.1294175468113273,0.6558058439191408,0.5679360265740483,1.0239631431177258,18.98059721570462,10.452825270612363,434.2619365081191,2787.463778629899,0.8321906011551619,0.7657176535576582,6
