rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-5.410570156856262,5.410570156856262,True,1.45820388278293,0.37181920444422667,0.83251157054361,0.2211033383819268,76.0,23.0,1.5955761748895112,2.968505744222801,20.244389531130803,12.008738129371883,344.65854254492973,2013.9977514860188,0.9066758551305818,0.8280285596720138
2,115,-5.3653216245337845,5.3653216245337845,True,1.5165788922802463,0.33323584712744564,0.8211532484587971,0.12849976946071934,94.0,17.0,1.439963818153278,4.12402752134817,23.88354744643074,16.799335341862108,301.5322401639046,1785.902111316444,0.7202309656898906,0.7578449103603019
3,91,-5.34915785851075,5.34915785851075,True,1.4644136706161044,0.397750328367677,0.8076468941152837,0.10881542138489167,95.0,20.0,1.3605483621399828,2.4874402282426336,17.42860940000126,9.298707269985906,359.8442573948666,1400.1970539378274,0.9551808655950479,0.9601582910435511
4,74,-5.3378997961772585,5.3378997961772585,True,1.4841445758673488,0.34030030977628967,0.7585625911679139,0.17424322629788921,77.0,17.0,1.2678516135363125,3.504504073772001,22.832978766283627,15.645165195008321,285.5159329470051,1771.2751999253242,0.8799087252325679,0.7945924698748226
5,218,-5.3330878526243914,5.3330878526243914,True,1.4856979624634663,0.368904862103948,0.8698001003064338,0.28514044016718515,70.0,19.0,1.2286850738029234,2.803051495299222,20.670404199372552,12.119894900300917,350.28770124754874,1502.8425160120175,0.8868510656191778,0.8230448034669053
6,243,-5.331910089635268,5.331910089635268,True,1.4210537211788439,0.3607861370468332,0.7917779641962812,0.19473782302598364,69.0,21.0,1.210974487295888,3.544430016058969,18.47858035425312,13.686433419356085,306.04946912332184,1668.93373446427,0.997818140837014,0.8246215377506837
7,87,-5.326390228881009,5.326390228881009,True,1.508266545657061,0.3059181112791466,0.7758991139511476,0.20292546975916187,81.0,15.0,1.2286681866851357,4.205348420566203,23.52003345168087,16.273829322364676,289.8675573589638,2395.9093594326955,0.9829996294846656,0.8549927517243576
8,12,-5.319579173492692,5.319579173492692,True,1.3868531576067005,0.36704094511265395,0.7932998793733059,0.14029925571432644,81.0,25.0,1.1936842387732522,2.6441069122282244,18.215851364301983,13.00386889871082,331.14864014801066,2011.2776567260812,0.9029598640384714,0.783398120317523
9,166,-5.3067278036052326,5.3067278036052326,True,1.5047204246830594,0.35844232893238187,0.7146807425372512,0.11379709052439305,79.0,16.0,1.1352363231176328,2.9266578653023925,24.320344417114427,15.444561815147297,273.7420560370012,1991.4351631950028,0.779427965015967,0.851525801524609
10,120,-5.3066007672103925,5.3066007672103925,True,1.3873999529547465,0.3688959138447495,0.8714076352395498,0.2186606480487276,78.0,19.0,1.114929572280699,2.670546099050249,20.78706758633034,12.8207920513705,313.7939336670988,1742.94815501613,0.8764511468168078,0.8903333941669489
11,242,-5.301786647533691,5.301786647533691,True,1.5078900312392112,0.3581851920962398,0.789908934902257,0.17634915307207097,75.0,21.0,1.1106611089325593,2.2417650582704836,19.285776604169197,12.107997491425648,330.0177463567875,2169.7615687007683,0.9309231111217356,0.847292767242085
12,23,-5.299681975759626,5.299681975759626,True,1.521394953158412,0.3799715970848857,0.835241602608014,0.10968797729164528,79.0,18.0,1.1097310266599882,4.109593022380059,23.600689769769055,16.624345844402267,340.1054382598946,1989.5042398968276,0.7285934991860114,0.6777183731136311
13,39,-5.289218536960955,5.289218536960955,True,1.419157450143247,0.37746510483339984,0.8133482489718885,0.18530297700690476,90.0,16.0,0.9613741862623426,3.1459273607305347,21.522540500551884,14.341530230927392,327.6315700986697,1894.7177172935865,0.8242976090893457,0.7770471646388954
14,247,-5.286843926098333,5.286843926098333,True,1.4586013610668243,0.3672133025684393,0.8836106658764844,0.22659918406073656,89.0,24.0,1.0726251203631223,2.8089510475090647,23.118046001573152,12.598187327516866,363.8526792107203,1785.3817941231737,0.8128428397844363,0.7732326243693282
