generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,512,3.3733538000378758,151.77773525986254,65.78039910073858,0.0,-4.54016699971175,4.54016699971175,1.3840624438934028,0.30986287442991517,0.5961694711543689,0.12130278059362155,19.0,6.0,2.5540439696651482,1.7902040943071316,21.564997495152056,15.192976552963078,223.68713976200914,2333.662869116619,0.7552314809488682,0.7087143651356
2,768,3.916845600004308,196.07614862305405,49.61337760005457,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
3,1024,4.7126463000895455,217.28768398777197,43.591978275828296,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
4,1280,5.659088800079189,226.1848232496526,40.74543936057016,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
5,1536,6.641163900028914,231.28476018989872,38.740122750168666,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
6,1792,7.315170800080523,244.9703566703151,35.53082960039111,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
7,2048,8.637470700079575,237.10644830102083,35.62956663782825,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
8,2304,10.015419900068082,230.04527248870895,35.61038186690874,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
9,2560,11.464969300082885,223.28886654598307,35.54140483025694,0.0,-5.053995680345572,5.053995680345572,1.2851315116658808,0.2869284068721174,0.8050874986577874,0.15722667796537282,84.0,12.0,4.6292317219268,1.6003314000554383,24.245989495576012,14.180555665530758,238.37540540844202,1769.1373032818108,0.7927441511047955,0.6074764718192427
10,2816,12.867385899997316,218.8478702578266,35.09287063635632,0.0,-5.05787037037037,5.05787037037037,1.4893249030436575,0.3334682369020316,0.7265635095583198,0.16897996023838324,76.0,15.0,1.132934142369777,1.3851948225564645,16.586356270898595,10.522031076632514,295.90161160165724,2236.125561765001,0.829339670157303,0.6513413470032219
11,3072,14.105118400068022,217.79327991923734,34.087369466831056,0.0,-5.0625,5.0625,1.4417187001935914,0.3132489653564714,0.810785457859827,0.15520186937767985,69.0,16.0,2.2243225109557496,1.6132521711408438,19.532735995172164,9.265832687080081,330.12531353984264,1366.8576579307505,0.7847212531357094,0.653998978056745
12,3328,16.058030800078996,207.24832586468997,34.586527877093225,0.0,-5.065104166666667,5.065104166666667,1.3505510229709607,0.3710619571347905,0.8366611085001033,0.12753347283845085,64.0,19.0,2.617284654867219,2.0482560161028447,16.921458269534266,9.165157622352128,335.30707926730076,1205.9696026609945,0.8157053614068281,0.674247434627399
13,3584,17.38314980000723,206.17667345871396,33.52464604287109,2.016142889432045e-06,-5.065104166666667,5.065104166666667,1.3505510229709607,0.3710619571347905,0.8366611085001033,0.12753347283845085,64.0,19.0,2.617284654867219,2.0482560161028447,16.921458269534266,9.165157622352128,335.30707926730076,1205.9696026609945,0.8157053614068281,0.674247434627399
14,3840,18.331452000071295,209.47604150424448,31.77451680012358,1.6765994517077598e-06,-5.065104166666667,5.065104166666667,1.3505510229709607,0.3710619571347905,0.8366611085001033,0.12753347283845085,64.0,19.0,2.617284654867219,2.0482560161028447,16.921458269534266,9.165157622352128,335.30707926730076,1205.9696026609945,0.8157053614068281,0.674247434627399
15,4096,19.2519583000103,212.75757697843176,30.081184843766096,1.2597726208629233e-06,-5.068119891008174,5.068119891008174,1.2637255891513666,0.3783262382860705,0.8944041022839585,0.17512651255097164,60.0,20.0,4.277228032210903,2.1322632666098933,16.958364573366747,7.312691177354926,405.290944464585,1438.7019901528656,0.8217825077455144,0.7368211519599379
16,4352,20.22243220009841,215.20655660691602,28.549316047197756,1.0887805309447072e-06,-5.068119891008174,5.068119891008174,1.2637255891513666,0.3783262382860705,0.8944041022839585,0.17512651255097164,60.0,20.0,4.277228032210903,2.1322632666098933,16.958364573366747,7.312691177354926,405.290944464585,1438.7019901528656,0.8217825077455144,0.7368211519599379
17,4608,20.911841500084847,220.3536211758923,26.720686361219528,1.0887675571681024e-06,-5.173171662052248,5.173171662052248,1.4562551844486653,0.39244442791865897,0.749076223230926,0.16657018002527732,66.0,16.0,0.8760740163908456,2.556220108570228,13.77829080305041,9.183429211673802,326.572809375432,1783.843087245662,0.9059610016524384,0.8275156300359829
18,4864,22.249595600063913,218.61071488355626,25.762689642179268,6.259190654856493e-07,-5.173171662052248,5.173171662052248,1.4562551844486653,0.39244442791865897,0.749076223230926,0.16657018002527732,66.0,16.0,0.8760740163908456,2.556220108570228,13.77829080305041,9.183429211673802,326.572809375432,1783.843087245662,0.9059610016524384,0.8275156300359829
19,5120,23.467078100075014,218.17799293827014,24.640432005078765,6.258733199707116e-07,-5.173171662052248,5.173171662052248,1.4562551844486653,0.39244442791865897,0.749076223230926,0.16657018002527732,66.0,16.0,0.8760740163908456,2.556220108570228,13.77829080305041,9.183429211673802,326.572809375432,1783.843087245662,0.9059610016524384,0.8275156300359829
20,5376,24.288027700036764,221.34362107928024,23.131454952415968,7.971180179516786e-06,-5.173171662052248,5.173171662052248,1.4562551844486653,0.39244442791865897,0.749076223230926,0.16657018002527732,66.0,16.0,0.8760740163908456,2.556220108570228,13.77829080305041,9.183429211673802,326.572809375432,1783.843087245662,0.9059610016524384,0.8275156300359829
21,5632,25.41859240003396,221.57009764208956,21.952420709120236,9.757193764127181e-06,-5.240117187056134,5.240117187056134,1.4163366632642511,0.3971622397076011,0.8325458008108606,0.12514563415435082,59.0,17.0,1.0703870309101138,1.9539124589552288,16.17003405969206,8.572244351388873,343.69575010111,1214.9524557312666,0.853417076025114,0.8199364366742757
22,5888,26.292297500069253,223.94391361137198,20.57658065222811,1.0508284097467699e-05,-5.240117187056134,5.240117187056134,1.4163366632642511,0.3971622397076011,0.8325458008108606,0.12514563415435082,59.0,17.0,1.0703870309101138,1.9539124589552288,16.17003405969206,8.572244351388873,343.69575010111,1214.9524557312666,0.853417076025114,0.8199364366742757
