generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,512,7.732808500062674,66.21139007850127,150.78976575122215,0.0,-4.726407588254129,4.726407588254129,1.3146971177078643,0.3600383570232824,0.8860346714034677,0.1626274613494126,51.0,6.0,2.859883895787819,1.4310138216254007,13.613863044106324,8.19633508762829,406.46208450198174,1663.5272689873648,0.8142341773247026,0.6754866178247549,8.0
2,768,11.065701400046237,69.40364394766617,140.16555106725232,0.0,-4.726407588254129,4.726407588254129,1.3146971177078643,0.3600383570232824,0.8860346714034677,0.1626274613494126,51.0,6.0,2.859883895787819,1.4310138216254007,13.613863044106324,8.19633508762829,406.46208450198174,1663.5272689873648,0.8142341773247026,0.6754866178247549,8.0
3,1024,13.542949800030328,75.61129703055585,125.27228565028054,0.0,-4.726407588254129,4.726407588254129,1.3146971177078643,0.3600383570232824,0.8860346714034677,0.1626274613494126,51.0,6.0,2.859883895787819,1.4310138216254007,13.613863044106324,8.19633508762829,406.46208450198174,1663.5272689873648,0.8142341773247026,0.6754866178247549,8.0
4,1280,18.615725200041197,68.75907257146056,134.03322144029664,0.0,-5.0602409638554215,5.0602409638554215,1.2303447625428645,0.3816766438334106,0.7063312248606968,0.22275626011467548,69.0,21.0,1.9920288671647983,1.432911776982374,17.6004300899044,12.928029355265185,273.2793253862227,1110.4477387758175,0.9106910542243642,0.5159915403938976,7.0
5,1536,21.468156400020234,71.54782978935967,125.23091233345136,0.0,-5.0602409638554215,5.0602409638554215,1.2303447625428645,0.3816766438334106,0.7063312248606968,0.22275626011467548,69.0,21.0,1.9920288671647983,1.432911776982374,17.6004300899044,12.928029355265185,273.2793253862227,1110.4477387758175,0.9106910542243642,0.5159915403938976,7.0
6,1792,25.120705800014548,71.33557529259238,122.0148567429278,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
7,2048,28.011324100079946,73.1132877790006,115.54671191282976,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
8,2304,31.27069420006592,73.67920856695095,111.18469048912326,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
9,2560,34.90923460002523,73.33303148382835,108.21862726007821,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
10,2816,38.982086200034246,72.23830929801613,106.31478054554793,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
