rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,-0.0681198910081744,0.0681198910081744,True,1.3149551649860547,0.17985725002410136,0.8867018718633697,0.2702406959349208,69.0,5.0,4.2872429379180605,2.639873632828494,23.37152837611706,12.12335962572872,362.1726336776046,1002.2971950426652,0.5297514963895082,0.9315527421810418,6
2,48,-0.04892367906066536,0.04892367906066536,True,1.3118142101410777,0.1894470979667924,0.8392027510330081,0.23476839853450654,90.0,18.0,4.401203960346908,2.6753481370077927,22.658830026518718,10.657226047478616,279.3708280660212,1063.3279718458652,0.9795903046615422,0.5084843839005758,6
3,39,2.898880563862491,-2.898880563862491,True,1.168489855175004,0.24882821625288365,0.6264373288097611,0.16684476337960025,68.0,21.0,4.2711981839633335,3.037345392602286,23.9097036991924,13.140391178161481,214.83414579341098,1089.5250975724343,0.8301485153093655,0.659621678982233,7
4,28,8.87823856715595,-8.87823856715595,True,1.087727404609615,0.13424766290932894,0.8354357700114954,0.16800690793646839,56.0,11.0,4.463637844641979,3.8383677855555995,17.640398623717086,12.533860610115614,313.2903606630862,2712.4106931556353,0.8386470530983201,0.7324111080855951,7
5,6,9.948024948024948,-9.948024948024948,True,1.44150722792535,0.20553491757036108,0.897105739462062,0.2531741856453045,84.0,18.0,3.09802760835737,1.6760601801797748,17.997379947382477,11.346468718266491,263.65568581968546,1065.9731653098602,0.8797576489124047,0.9350042166188359,7
6,61,9.95748299319728,-9.95748299319728,True,1.285510905985011,0.18743881977325147,0.871917753420063,0.12830163264831204,100.0,27.0,4.0037473355788675,4.406550289131701,14.426420480012894,7.578687164932489,405.0960234799226,2319.405108690262,0.9008536330609112,0.5786953733854181,6
7,19,11.521369462841307,-11.521369462841307,True,1.1664626305154429,0.13812631064719913,0.8438260328024626,0.1662356231045053,80.0,2.0,4.307714554426483,3.335780353497075,17.771160308548083,13.051336217996647,468.74029683505955,1484.4779215708718,0.5101018780339872,0.7269800258800387,8
8,21,12.853317379947708,-12.853317379947708,True,1.0754549065936876,0.22125953438331386,0.7888675934379155,0.2908357356387395,87.0,26.0,1.5302554168856652,2.9461513636633754,22.913002711339004,12.6012840810528,288.15214602904257,1620.8041980862617,0.8210449444155635,0.7909363420502955,7
9,15,1000000.0,-1000000.0,True,1.1535143200016047,0.3275282767787576,0.8380147235394388,0.1631010562643178,98.0,14.0,3.9749878275486163,2.34348933412689,22.848065483772267,10.68958933323168,228.82019691009356,2868.199287661071,0.9740458969794132,0.6945443745433233,6
10,13,1000000.0,-1000000.0,True,1.4563608321886599,0.2889641651150074,0.8183283628738575,0.23713630226571564,106.0,12.0,2.3921314757317305,2.7028119096614267,19.07573909498751,9.955958275195439,400.8562336241066,1123.5250486719308,0.8330025297224517,0.8077491261226333,6
11,22,1000000.0,-1000000.0,True,1.2817062768152254,0.1929227942422712,0.7682605817914009,0.08839767057448628,116.0,23.0,4.307173462061871,1.4722728409043173,19.21505344456451,8.82998507740442,299.0600652356083,1410.4184564203024,0.9968459644901525,0.5333298577847189,8
12,23,1000000.0,-1000000.0,True,1.3846260798637158,0.28636153537780046,0.6649963094355393,0.2808874130204169,116.0,28.0,3.574734173965866,2.278763213711857,22.818938140411074,12.242156321923298,412.1620789004968,1240.0869418954376,0.8035563454031944,0.778070351161183,8
13,17,1000000.0,-1000000.0,True,1.3189931533601464,0.3133328289538622,0.8234487866399173,0.15275110709072998,135.0,37.0,4.9783927936122465,4.020893988383975,16.165980506408243,9.15720450275921,481.1042124405503,1493.7084200521658,0.9328419523547569,0.6264577050474653,7
14,12,1000000.0,-1000000.0,True,1.5168297733329237,0.3445075109887172,0.4866247141733765,0.22161778021603823,131.0,25.0,3.1370022211159307,1.1825270629487932,17.660567834574874,14.001120601780713,339.17471868917346,2176.275439432619,0.6799723697856696,0.565632493795786,7
15,5,1000000.0,-1000000.0,True,1.1622911264487965,0.18044898196128423,0.5502795894212423,0.2040407742875283,99.0,9.0,3.894829311222179,1.0908999766725411,18.066895199908032,8.65860671363771,408.16520361874393,1223.0656296014786,0.601715097669512,0.6137523300439687,6
16,1,1000000.0,-1000000.0,True,1.3059168441346611,0.21196879117638465,0.5052732292227576,0.2193857293693523,99.0,10.0,3.8835047761394703,2.777827491981279,21.25193402450684,11.16359872829104,333.72475203384454,1776.8343065918864,0.9499180438577749,0.5902831677312312,7
17,30,1000000.0,-1000000.0,True,1.143237472203315,0.20013336203992366,0.3756068526244632,0.1657230981139051,44.0,6.0,0.5974949784576893,1.3337295436148866,19.429808286949992,8.116754206678653,354.4395561304209,1921.1488004394014,0.9911537752486765,0.6958006731696195,8
18,29,1000000.0,-1000000.0,True,1.099777547528674,0.17740783310070637,0.6454368005424278,0.25442311715278626,121.0,23.0,4.437401621190949,2.706327969674021,19.59566108517571,8.12685938179493,311.01697651960217,1734.8255515098572,0.7436101865023375,0.6326906015171802,7
19,27,1000000.0,-1000000.0,True,1.2751256701113554,0.29783692240715026,0.49125447180122134,0.2518298902630489,102.0,15.0,4.64091984769675,2.8011389161945957,14.394301329409412,9.736404089257121,305.15361147843066,1465.394261541061,0.9434650583633362,0.6179837571770055,7
20,26,1000000.0,-1000000.0,True,1.0106736367724192,0.16584500820364312,0.45959591957503854,0.22883177580311895,118.0,36.0,4.49607440667777,4.357920695561916,11.027686847373843,8.820409020841002,241.0610857857787,1166.3597577292853,0.8135195345984089,0.7575691492678976,7
21,31,1000000.0,-1000000.0,True,1.4998852912618383,0.244783770665163,0.8786889890471263,0.2333657542517129,127.0,19.0,3.2479723698146334,1.9536613428544567,18.28028951611564,7.775155711751916,221.12756902351975,2448.8223892678416,0.6828030320332046,0.5152566328212675,7
22,16,1000000.0,-1000000.0,True,1.3563273867089303,0.18072395116090775,0.5522190654650331,0.23142226517455303,104.0,14.0,2.671800355426967,2.858670047482188,24.06210507696374,12.568414376587961,261.5706368962387,2427.3828637661745,0.6127533607040456,0.6603218052853876,7
23,25,1000000.0,-1000000.0,True,1.1477932638376223,0.2609848506910567,0.8329777440280315,0.2662239647276977,132.0,7.0,4.877163725729125,3.465625305820125,17.1912834638641,8.981770358292584,351.22916064501936,1963.2433735269249,0.9109412780512659,0.5780160931613882,7
24,47,1000000.0,-1000000.0,True,1.5195127772961032,0.29899069637507925,0.7597884978071894,0.27960633982963656,96.0,22.0,2.178479904492151,3.3899536991876693,19.801262160763144,8.096599002617209,303.1395073980093,1477.9212627869836,0.8532652989961207,0.7649996815873461,7
25,34,1000000.0,-1000000.0,True,1.4186015177828202,0.19136669751256705,0.8647347139123636,0.2488309691287577,120.0,38.0,2.732337817084044,2.857027479728355,20.500508125799985,8.700330132201763,495.375473696756,2618.316400796175,0.8130200509913266,0.5564748351731155,7
26,35,1000000.0,-1000000.0,True,1.3520979874543506,0.33708295140415434,0.5852009585776248,0.1527389629853437,114.0,30.0,2.3865591165432067,3.9246401719497137,15.704071128338546,11.538653409122043,289.13448185020343,1091.7748345584275,0.9987426918181362,0.6097295684739947,7
27,36,1000000.0,-1000000.0,True,1.2714343641862658,0.13896600613942572,0.4413628561422228,0.23345412954658887,85.0,8.0,2.7325738659981647,3.5452084355535485,13.849431779235601,8.967094270726387,498.6058640293777,1474.7138368559117,0.5145332855513655,0.6602554497206347,7
28,37,1000000.0,-1000000.0,True,1.1698507347293199,0.13981897134178123,0.5324882568536464,0.2912658115493468,146.0,21.0,3.582031380190754,3.9139625588431954,18.874340122565627,10.73993111823799,345.7041857042962,2831.113561987877,0.861933827906505,0.6514793104468664,7
29,32,1000000.0,-1000000.0,True,1.1512072369577924,0.12051830552518367,0.845672650162744,0.27416838907954255,129.0,1.0,4.007079128478769,2.4414885838384754,22.254028254393482,11.881716346368194,340.6007009459609,2179.321049916899,0.90916272772225,0.5646554082254356,6
