sensor_weight_lbf,simulated_peak_down_lbf,fitted_conservative_peak_down_lbf,representative_down_lbf
2.0,2.594822319490557,2.594822319490557,2.0758578555924454
4.0,5.111324039612682,5.695425247451037,4.55634019796083
6.0,7.759336673529876,8.917531031303023,7.1340248250424185
8.0,10.39748910796821,12.261139671046513,9.80891173683721
10.0,13.142091324734695,15.726251166681509,12.581000933345209
12.0,16.16874886205865,19.312865518208007,15.450292414566405
14.0,19.353291095232716,23.02098272562601,18.416786180500807
16.0,22.870851996523044,26.85060278893552,21.480482231148418
18.0,26.735470226141675,30.801725708136537,24.64138056650923
20.0,30.966791884107582,34.874351483229056,27.899481186583245
22.0,35.569705092970544,39.06848011421308,31.254784091370468
24.0,40.487599854381436,43.38411160108861,34.70728928087089
26.0,45.58388774261843,47.821245943855644,38.256996755084515
28.0,50.79009006344784,52.37988314251418,41.90390651401135
30.0,56.067329405362166,57.060023197064226,45.64801855765138
32.0,61.35490126793593,61.861666107505776,49.489332886004625
34.0,66.60116776957855,66.78481187383883,53.42784949907107
36.0,71.77916644811344,71.82946049606339,57.46356839685072
38.0,76.88029670712362,76.99561197417947,61.596489579343576
40.0,81.91013663338792,82.28326630818702,65.82661304654962
42.0,86.85115854803533,87.69242349808611,70.1539387984689
44.0,91.67736276365524,93.2230835438767,74.57846683510137
46.0,96.39048618518176,98.87524644555877,79.10019715644702
48.0,100.95943195196911,104.64891220313237,83.7191297625059
50.0,105.39492578606635,110.54408081659746,88.43526465327797
